d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
49 SOLUTIONS,2017-2018,1342607.40,1377398.75
49 SOLUTIONS,2018-2019,787172.56,801977.51
ADGA GROUP,2021-2022,39550.00,35750.86
ADRM TECHNOLOGY CONSULTING,2017-2018,19105.21,19600.29
ADVANCED BUSINESS INTERIORS,2017-2018,128164.41,131199.21
ADVANCED BUSINESS INTERIORS,2018-2019,320641.56,325784.41
ADVANCED BUSINESS INTERIORS,2019-2020,6448.07,6470.99
ADVANCED CHIPPEWA TECHNOLOGIES,2017-2018,6440.05,6592.94
ADVANCED CHIPPEWA TECHNOLOGIES,2018-2019,9074.62,9257.91
ALIKA INTERNET TECHNOLOGIES,2021-2022,2932919.59,2715440.18
ALTIS HUMAN RESOURCES,2017-2018,18581.06,19036.88
ALTIS HUMAN RESOURCES,2018-2019,0.00,0.00
ALTIS HUMAN RESOURCES,2019-2020,50032.64,49511.03
ALTIS HUMAN RESOURCES,2020-2021,58158.95,55289.99
ALTIS HUMAN RESOURCES,2021-2022,58158.95,53997.39
APPLIED ELECTONICS,2017-2018,160318.97,164114.24
ARTEMP PERSONNEL SERVICES,2021-2022,15051.60,14107.64
ASOKAN BUSINESS INTERIORS,2017-2018,44559.73,45614.86
ASOKAN BUSINESS INTERIORS,2019-2020,24278.05,24364.37
ASOKAN BUSINESS INTERIORS,2021-2022,21788.51,19786.57
AVI SPL,2017-2018,23860.81,24483.59
AVI SPL,2018-2019,17757.29,18025.52
AVI SPL,2019-2020,12460.04,12443.59
AVI SPL,2020-2021,4131.12,3912.87
AVI SPL,2021-2022,16706.24,15316.39
BDO CANADA,2017-2018,92039.09,94465.58
BLACKBERRY,2020-2021,2034.21,1915.45
BLACKBERRY,2021-2022,28501.10,26184.22
BRECKENHILL,2018-2019,24973.00,25218.71
CALIAN,2018-2019,24717.97,24961.17
CALIAN,2019-2020,97577.34,96464.61
CALIAN,2020-2021,106701.97,101496.20
CALIAN,2021-2022,61265.08,57546.44
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,13546.71,13897.75
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,38416.56,39008.65
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,22576.38,22383.24
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,16950.00,16147.24
CANADIAN CORPS OF COMMISSIONAIRES,2021-2022,13221.00,12274.97
CANON,2017-2018,1571.95,1609.00
CANON,2018-2019,8827.08,8964.35
CANON,2019-2020,8851.26,8776.57
CANON,2020-2021,8827.08,8391.64
CANON,2021-2022,8827.08,8195.46
CDW CANADA,2017-2018,19265.37,19719.49
CDW CANADA,2021-2022,130135.04,117537.97
CGI,2017-2018,238629.18,244711.38
CGI,2018-2019,320867.82,325807.34
CGI,2019-2020,204487.32,202761.66
CGI,2020-2021,203928.61,193868.87
CGI,2021-2022,81901.92,76500.16
CISTEL TECHNOLOGY,2017-2018,999696.33,1025606.54
CISTEL TECHNOLOGY,2018-2019,1611809.14,1633786.05
CISTEL TECHNOLOGY,2019-2020,2105002.73,2089719.97
CISTEL TECHNOLOGY,2020-2021,1518029.02,1443446.07
CISTEL TECHNOLOGY,2021-2022,250642.39,236638.36
COFOMO,2017-2018,89310.68,91591.53
COFOMO,2021-2022,39831.99,36366.69
CONEXSYS,2017-2018,155305.06,159268.15
CONEXSYS,2018-2019,55946.99,56820.71
CSDC SYSTEMS,2017-2018,7563.35,7758.83
CSDC SYSTEMS,2018-2019,8696.07,8831.31
CSDC SYSTEMS,2019-2020,2168.06,2175.77
DECISIVE GROUP,2020-2021,24147.17,22999.66
DECISIVE GROUP,2021-2022,34029.79,31594.79
DELL COMPUTER,2017-2018,19702.49,20213.05
DLS TECHNOLOGY,2021-2022,18266.56,16605.85
DYNAMIC PERSONNEL CONSULTANTS,2017-2018,9433.74,9656.12
DYNAMIC PERSONNEL CONSULTANTS,2018-2019,86082.90,87421.61
ECOLE DE LANGUES ABCE,2017-2018,10758.84,11042.49
ECOLE DE LANGUES EAGLE,2020-2021,29361.61,27898.04
ECOLE DE LANGUES EAGLE,2021-2022,11043.89,10442.67
EMCON SERVICES,2018-2019,23698.09,24053.06
EMCON SERVICES,2019-2020,9365.71,9383.52
EXCEL HUMAN RESOURCES,2017-2018,131433.76,135015.80
EXCEL HUMAN RESOURCES,2018-2019,14615.98,14921.51
FAST TRACK STAFFING,2018-2019,62432.50,63389.10
GARTNER,2017-2018,181993.97,186669.81
GARTNER,2018-2019,44231.33,44780.55
GARTNER,2019-2020,284937.67,282730.52
GARTNER,2021-2022,43647.30,39422.24
GLOBAL KNOWLEDGE,2017-2018,15481.00,15932.59
GLOBE AND MAIL,2021-2022,20427.33,19170.79
IBM CANADA,2017-2018,42975.99,44089.64
IBM CANADA,2018-2019,42975.99,43644.33
IBM CANADA,2019-2020,47631.53,47229.57
IBM CANADA,2020-2021,47501.39,45158.16
IBM CANADA,2021-2022,47501.39,44102.43
IDP GROUP,2017-2018,1758.87,1800.33
IDP GROUP,2018-2019,27042.57,27529.19
INFO TECH RESEARCH GROUP,2017-2018,37290.00,38197.41
INFO TECH RESEARCH GROUP,2018-2019,38646.00,39084.99
INFO TECH RESEARCH GROUP,2019-2020,22748.15,22383.24
INFO TECH RESEARCH GROUP,2020-2021,20417.85,19439.36
INFO TECH RESEARCH GROUP,2021-2022,29116.85,26870.29
INTERNATIONAL REPORTING,2018-2019,41217.88,41735.41
