d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,73441.61,75534.56
1_facilities_and_construction,2018-2019,335520.25,341281.52
1_facilities_and_construction,2019-2020,104344.67,102905.33
1_facilities_and_construction,2020-2021,24669.61,23248.53
1_facilities_and_construction,2021-2022,28535.33,26339.29
10_office_management,2018-2019,783298.33,792859.42
10_office_management,2019-2020,1648650.52,1653268.20
2_professional_services,2019-2020,126559.94,124013.91
9_human_capital,2018-2019,113366.12,115231.43
9_human_capital,2019-2020,19202.43,18745.02
9_human_capital,2020-2021,271714.42,259433.94
