d_most_recent_category,total,percentage
3_information_technology,53939358.79418476,0.5845384275503408
2_professional_services,25666976.157415826,0.2781518768192227
9_human_capital,5959126.837144338,0.06457879197727742
1_facilities_and_construction,2571351.495046787,0.027865621564561724
NA,1948565.7723899754,0.02111652044135996
10_office_management,859973.5537711541,0.009319495079175172
8_security_and_protection,582697.5625760569,0.006314667518857231
6_industrial_products_and_services,348755.7233848506,0.0037794502327035562
7_travel,247022.26,0.0026769692235551505
4_medical,124705.10253928804,0.001351423638978784
5_transportation_and_logistics,28306.469999999994,3.067559539674163e-4
