d_vendor_name,overall_total
SI SYSTEMS,17334151.22
MODIS CANADA,9965788.85
MAPLESOFT CONSULTING,7832600.09
MAXSYS STAFFING AND CONSULTING,5356803.00
BELL CANADA,3975320.10
ERNST YOUNG,2190097.55
NISHA TECHONOLOGIES,1864732.41
UNIVERSITY OF CALGARY,1749940.53
MDOS CONSULTING,1574902.05
EPERFORMANCE,1525458.84
INTERNATIONAL REPORTING,1260000.00
RICOH,1181080.21
EAGLE PROFESSIONAL RESOURCES,1000000.00
NORTHERN MICRO,998356.74
PROTAK CONSULTING GROUP,813126.40
ALTIS HUMAN RESOURCES,807275.37
ACT,790212.57
MICROSOFT CANADA,770210.70
QMR,652497.75
LIONBRIDGE,595699.69
ADGA GROUP,574476.13
XEROX,547840.29
ROGERS,525139.03
IHS GLOBAL,506047.64
SYSTEMATIX SOLUTIONS,476250.00
ADVANCED CHIPPEWA TECHNOLOGIES,426785.81
RAYMOND CHABOT GRANT THORNTON,418885.78
EXCEL HUMAN RESOURCES,395212.91
ESRI,390144.82
MICHAEL WAGER CONSULTING,362934.78
FREEBALANCE,351705.37
COMPUGEN,329816.70
ORANGUTECH,317188.66
RHEA,300000.00
LES TRADUCTIONS TESSIER,292084.18
ENVIRONICS RESEARCH GROUP,247779.92
CANADIAN CORPS OF COMMISSIONAIRES,246573.67
TURTLE ISLAND STAFFING,242950.58
DELL COMPUTER,238608.23
MNP,189261.05
SOFTCHOICE,186648.97
GARTNER,152662.09
CANADIAN STANDARDS ASSOCIATION,150472.44
SNC LAVALIN,133250.00
HATCH,131250.00
STANTEC,111380.85
DONNA CONA,109596.67
THOMSON REUTERS,101833.42
MOBILE RESOURCE GROUP,98364.24
AMEC FOSTER WHEELER AMERICAS,94697.72
HEMMERA ENVIROCHEM,93959.25
CAE,86551.59
KPMG,85732.50
UNIVERSITY OF ALBERTA,82625.00
OPROMA,73380.00
EBSCO CANADA,68064.65
BLACKBERRY,62559.52
WOOD CANADA,57730.02
ENGLOBE,55000.00
HYPERTEC,46945.50
BDO CANADA,43955.88
CISION CANADA,42799.00
CSDC SYSTEMS,35731.79
JOHNSON CONTROLS CANADA,35146.98
RANDSTAD,33604.91
JOHN WILEY SONS,25907.65
GENESIS INTEGRATION,24675.00
ST JOHN AMBULANCE,23044.83
CANADIAN HELICOPTERS,17057.61
TEKNION,14836.76
SDL INTERNATIONAL CANADA,14398.35
CARSWELL,13175.00
CARAHSOFT TECHNOLOGY,11515.88
VERITAS TECHNOLOGIES,10596.89
CDW CANADA,10572.19
MINDWIRE SYSTEMS,6224.23
