d_most_recent_category,total,percentage
3_information_technology,27808705.81606234,0.4752730743105243
2_professional_services,13194344.931994589,0.22550193169077523
9_human_capital,7827211.428028028,0.13377331772586978
6_industrial_products_and_services,3348682.137611936,0.0572316620902325
8_security_and_protection,2346649.8287727986,0.0401061266866621
1_facilities_and_construction,1572388.9939574297,0.026873388359501812
10_office_management,1282204.6455273381,0.021913905228305355
5_transportation_and_logistics,354329.38,0.006055773140434033
7_travel,330536.38275154005,0.005649131744601589
NA,266884.76,0.004561274487594518
4_medical,179067.93397953155,0.003060414535498755
