d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
2_professional_services,2017-2018,14205799.73,14641196.67
2_professional_services,2018-2019,14205799.73,14465467.23
2_professional_services,2019-2020,14244719.73,14130404.41
2_professional_services,2020-2021,12594580.38,12010209.69
2_professional_services,2021-2022,9345509.95,8745164.12
4_medical,2017-2018,393903.64,405941.71
4_medical,2018-2019,657168.78,669181.16
4_medical,2019-2020,2949544.06,2903712.48
4_medical,2020-2021,4217728.38,4024913.12
4_medical,2021-2022,202565.52,189552.92
