d_most_recent_category,total,percentage
3_information_technology,704389019.6263889,0.30540675229524766
5_transportation_and_logistics,464101113.41402745,0.20122348565224066
1_facilities_and_construction,457698134.5219098,0.1984473024154635
8_security_and_protection,291856183.6492311,0.126542076469157
6_industrial_products_and_services,159794108.72606733,0.06928302177087715
2_professional_services,132347239.09613267,0.057382695274028145
10_office_management,43711259.278740376,0.018952188865942795
9_human_capital,23610559.626286466,0.010236991398818368
4_medical,21155931.54282455,0.009172721556195843
7_travel,3930498.8581306613,0.001704173202186716
11_defence,2468874.37,0.0010704467022592237
NA,1333430.13,5.781443975829308e-4
