d_vendor_name,d_fiscal_year,total
3M CANADA COMPANY,2017-2018,3175682.4381091003
3M CANADA COMPANY,2018-2019,3175682.4381091003
3M CANADA COMPANY,2019-2020,3184382.9379395363
3M CANADA COMPANY,2020-2021,3175682.4381091003
ADAPT PHARMA CANADA,2017-2018,2214452.8
ADAPT PHARMA CANADA,2018-2019,203733.1
ADAPT PHARMA CANADA,2019-2020,1596281.1290697674
ADAPT PHARMA CANADA,2020-2021,324387.72093023255
AECOM,2017-2018,56932.5
AECOM,2018-2019,1179187.4221574636
AECOM,2019-2020,1354858.8166235585
AECOM,2020-2021,1351157.016578139
AIRBUS,2017-2018,9214051.04341506
AIRBUS,2018-2019,9035430.54167128
AIRBUS,2019-2020,811075.9434750305
AIRBUS,2020-2021,889658.8207755259
APPAREL TRIMMINGS,2017-2018,1557881.7218902672
APPAREL TRIMMINGS,2018-2019,1557279.4912792796
APPAREL TRIMMINGS,2019-2020,1471705.3284718841
APPAREL TRIMMINGS,2020-2021,1146652.0186933263
ARTEX SPORTSWEAR,2017-2018,2471395.396941791
ARTEX SPORTSWEAR,2018-2019,2436873.959232583
ARTEX SPORTSWEAR,2019-2020,1353191.260019158
ARTEX SPORTSWEAR,2020-2021,1552398.4825256758
AUTOCAR EXCELLENCE,2018-2019,3739218.88
BELL CANADA,2017-2018,9557265.170242177
BELL CANADA,2018-2019,12838244.173316488
BELL CANADA,2019-2020,10727788.421081629
BELL CANADA,2020-2021,20353987.36656031
BERVIN CONSTRUCTION,2017-2018,3675000
BROOK CONSTRUCTION 2007,2018-2019,1488656.4205601376
BROOK CONSTRUCTION 2007,2019-2020,6693891.962344524
BROOK CONSTRUCTION 2007,2020-2021,6892646.482388653
BUTTCON EAST,2018-2019,5041168.0658876905
BUTTCON EAST,2019-2020,8441416.722818011
BUTTCON EAST,2020-2021,3052233.89564715
CACHE COMPUTER CONSULTING,2017-2018,1805922.8638121365
CACHE COMPUTER CONSULTING,2018-2019,1333523.449469061
CACHE COMPUTER CONSULTING,2019-2020,1669644.2406409243
CACHE COMPUTER CONSULTING,2020-2021,4495135.671472055
CALIAN,2017-2018,208567.02684563756
CALIAN,2018-2019,1116586.6440318022
CALIAN,2019-2020,2654478.90955854
CALIAN,2020-2021,4041605.8949919883
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,63576462.84336775
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,98521750.54500233
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,82520099.416041255
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,47015567.030426435
COFOMO,2017-2018,690323.2366697849
COFOMO,2018-2019,1801643.8640239555
COFOMO,2019-2020,1986036.2508703726
COFOMO,2020-2021,1036455.8595933451
COLT CANADA,2017-2018,2361287.373509127
COLT CANADA,2018-2019,2247471.3181267735
COLT CANADA,2019-2020,1694545.5116127466
COLT CANADA,2020-2021,3375648.724109479
CON PRO INDUSTRIES CANADA,2020-2021,7733153.397574968
CONSTRUCTION RIC 9206,2017-2018,2875037.1747835497
CONSTRUCTION RIC 9206,2018-2019,2875037.1747835497
CORADIX TECHNOLOGY CONSULTING,2017-2018,901401.2679292331
CORADIX TECHNOLOGY CONSULTING,2018-2019,1069486.7363598177
CORADIX TECHNOLOGY CONSULTING,2019-2020,1513175.890423684
CORADIX TECHNOLOGY CONSULTING,2020-2021,1446309.4428074362
DECISIVE TECHNOLOGIES,2017-2018,1288287.6099999999
DECISIVE TECHNOLOGIES,2018-2019,3475848.1799999997
DECISIVE TECHNOLOGIES,2019-2020,156124.08
DECISIVE TECHNOLOGIES,2020-2021,9470353.610000001
DELL COMPUTER,2017-2018,961678.1563769508
DELL COMPUTER,2018-2019,1295615.6286842737
DELL COMPUTER,2019-2020,1169282.13
DELL COMPUTER,2020-2021,1131618.7970588235
DOLYN CONSTRUCTION,2018-2019,4648237.866262627
DOLYN CONSTRUCTION,2019-2020,2124463.993737374
ECLIPSYS SOLUTIONS,2017-2018,1390650.9189315068
ECLIPSYS SOLUTIONS,2018-2019,2383934.728274777
ECLIPSYS SOLUTIONS,2019-2020,1594147.8790505463
ECLIPSYS SOLUTIONS,2020-2021,816396.8737431694
ELLISDON,2018-2019,6348280.711008217
ELLISDON,2019-2020,12015020.39819174
ELLISDON,2020-2021,24083909.99311362
ESRI,2017-2018,609088.4512876712
ESRI,2018-2019,1201414.1200262362
ESRI,2019-2020,665535.8062395045
ESRI,2020-2021,2255238.8658903353
FCA CANADA,2017-2018,11330659.622472446
FCA CANADA,2018-2019,8545529.959038228
FCA CANADA,2019-2020,8468249.831266012
FCA CANADA,2020-2021,8233186.098976746
FLIGHTSAFETY CANADA,2017-2018,1232387.9707718696
FLIGHTSAFETY CANADA,2018-2019,871961.4204574041
FLIGHTSAFETY CANADA,2019-2020,874350.3558559176
FLIGHTSAFETY CANADA,2020-2021,863993.2284574042
FORD MOTOR COMPANY,2017-2018,39529011.07577868
FORD MOTOR COMPANY,2018-2019,31357992.023526926
FORD MOTOR COMPANY,2019-2020,31020602.493454896
FORD MOTOR COMPANY,2020-2021,44319004.0891407
GALA SLACKS,2017-2018,1481512.248475647
GALA SLACKS,2018-2019,1142717.850242015
GALA SLACKS,2019-2020,929351.6484684033
GALA SLACKS,2020-2021,822681.8299857033
GARTNER,2017-2018,2006964.1810536925
GARTNER,2018-2019,3299622.2556573944
GARTNER,2019-2020,1242722.5209003799
GARTNER,2020-2021,2614631.9254269344
GENERAL DYNAMICS,2017-2018,11786217.601472393
GENERAL DYNAMICS,2018-2019,5953189.893136986
GENERAL DYNAMICS,2019-2020,4981286.461663353
GENERAL DYNAMICS,2020-2021,5004120.660935606
GENERAL MOTORS,2017-2018,20953098.090873484
GENERAL MOTORS,2018-2019,26705224.213114053
GENERAL MOTORS,2019-2020,31806780.60976376
GENERAL MOTORS,2020-2021,23935400.69230268
GENESIS INTEGRATION,2017-2018,2258415.2655711346
GENESIS INTEGRATION,2018-2019,2723054.536974268
GENESIS INTEGRATION,2019-2020,1899712.119642111
GENESIS INTEGRATION,2020-2021,1656140.4580405913
GOVERNMENT OF THE NWT,2017-2018,5047783.407848981
GOVERNMENT OF THE NWT,2018-2019,4457424.242424242
