d_most_recent_category,total,percentage
2_professional_services,487707277.2272332,0.21301594074617664
1_facilities_and_construction,486539511.81851816,0.21250589576894663
10_office_management,434349059.7155221,0.1897106684434619
3_information_technology,318070896.14590865,0.1389238470086065
8_security_and_protection,290449434.4937708,0.1268596193184521
6_industrial_products_and_services,122370705.78918923,0.05344786151573584
5_transportation_and_logistics,105468333.0783857,0.04606541103374973
4_medical,20753226.325133763,0.009064388077824307
9_human_capital,18580896.43701915,0.00811557940439504
7_travel,3930498.8581306613,0.001716724254406356
NA,1314340.13,5.740644282450507e-4
