d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,1850481.70,1908080.00
1_facilities_and_construction,2018-2019,62295.77,63652.47
1_facilities_and_construction,2021-2022,1461563.99,1351540.13
1_facilities_and_construction,2022-2023,1885056.03,1686756.04
2_professional_services,2017-2018,35874.98,36983.92
2_professional_services,2018-2019,38704.56,39199.03
2_professional_services,2019-2020,86050.22,85363.80
2_professional_services,2020-2021,85815.11,81723.50
2_professional_services,2021-2022,85815.11,79784.51
2_professional_services,2022-2023,28683.41,25882.59
