d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,30863.60,31752.92
1_facilities_and_construction,2022-2023,6196.27,5496.09
10_office_management,2022-2023,7425.71,6587.51
11_defence,2019-2020,11548.60,11442.53
2_professional_services,2017-2018,6559851.81,6760391.08
2_professional_services,2018-2019,7694184.05,7836566.47
2_professional_services,2019-2020,8738597.02,8651289.90
2_professional_services,2020-2021,10511785.45,10006738.54
2_professional_services,2021-2022,13713769.94,12716435.35
2_professional_services,2022-2023,12673000.27,11333906.49
3_information_technology,2017-2018,589918.61,607916.70
3_information_technology,2018-2019,1036718.44,1057051.84
3_information_technology,2019-2020,1279038.97,1264094.64
3_information_technology,2020-2021,1156216.95,1098881.25
3_information_technology,2021-2022,1547899.04,1438096.02
3_information_technology,2022-2023,2144106.60,1913219.48
4_medical,2018-2019,29045.56,29768.92
4_medical,2019-2020,43810.33,43677.05
4_medical,2020-2021,21531.38,20504.77
4_medical,2021-2022,28085.38,25942.98
4_medical,2022-2023,54952.47,49234.55
7_travel,2017-2018,88708.06,91450.12
7_travel,2018-2019,88708.06,90407.98
8_security_and_protection,2019-2020,83055.00,81704.72
8_security_and_protection,2021-2022,37780.31,35232.27
8_security_and_protection,2022-2023,40020.00,35497.73
9_human_capital,2017-2018,105507.31,108684.64
9_human_capital,2018-2019,282174.17,286917.61
9_human_capital,2019-2020,236145.82,233177.36
9_human_capital,2020-2021,209874.98,199058.24
9_human_capital,2021-2022,660338.65,614180.63
9_human_capital,2022-2023,684318.54,612569.30
