d_most_recent_category,total,percentage
3_information_technology,747549480.6549853,0.42342470802069104
1_facilities_and_construction,532794697.1826416,0.30178395534683333
10_office_management,338950758.94657135,0.19198746016731177
2_professional_services,118764895.23419116,0.06727045150721554
11_defence,14369167.879494382,0.008138940459893456
6_industrial_products_and_services,9093249.72846996,0.005150570913196371
8_security_and_protection,3540105.5153851258,0.0020051758218078406
7_travel,316400,1.7921432772632508e-4
9_human_capital,68177.58333333333,3.861693983277129e-5
NA,36910.08,2.0906495491545122e-5
