d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2017-2018,17477.30,18021.36
10_office_management,2018-2019,15457.52,15686.43
10_office_management,2019-2020,26686.10,26473.22
10_office_management,2020-2021,22396.32,21269.98
10_office_management,2021-2022,36085.90,33540.20
10_office_management,2022-2023,34786.73,31127.31
2_professional_services,2017-2018,31531.77,32506.45
2_professional_services,2018-2019,522022.62,531249.31
2_professional_services,2019-2020,632868.73,627820.35
2_professional_services,2020-2021,190103.88,181004.50
2_professional_services,2021-2022,178336.92,165804.41
2_professional_services,2022-2023,178336.92,159576.62
4_medical,2017-2018,20666634.89,21305462.84
4_medical,2018-2019,20666634.89,21062672.56
4_medical,2019-2020,21860930.57,21685739.03
4_medical,2020-2021,22126596.68,21072041.19
4_medical,2021-2022,22464928.96,20886220.94
4_medical,2022-2023,24124733.86,21586913.00
