d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,17477.299671532845
10_office_management,2018-2019,15457.520328317372
10_office_management,2019-2020,26686.09641586867
10_office_management,2020-2021,22396.31806350626
2_professional_services,2017-2018,31531.76625659051
2_professional_services,2018-2019,522022.62402158225
2_professional_services,2019-2020,632868.7339347842
2_professional_services,2020-2021,190103.8759945539
4_medical,2017-2018,20597962.65105938
4_medical,2018-2019,20597962.65105938
4_medical,2019-2020,21723060.038487952
4_medical,2020-2021,21930516.620473128
