d_most_recent_category,total,percentage
2_professional_services,122696125.32284942,0.8442683367451445
3_information_technology,10131690.69400895,0.06971585800398726
1_facilities_and_construction,8415410.49763111,0.05790618575091648
9_human_capital,2173616.9643867402,0.014956592756414238
10_office_management,903651.8951162791,0.006218001428153827
4_medical,473370.41865413164,0.0032572475697164515
11_defence,259408.83862068967,0.001784984392481817
8_security_and_protection,103123.8,7.095917566732254e-4
NA,86778.2371209213,5.971184316291703e-4
6_industrial_products_and_services,55324.8,3.8068827971423535e-4
5_transportation_and_logistics,29849.7,2.0539488516878524e-4
