d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
1025178 RANDSTAD INTERIM,2017-2018,437906.71,445689.99
1025178 RANDSTAD INTERIM,2018-2019,1647325.89,1668467.49
1025178 RANDSTAD INTERIM,2019-2020,810248.40,808227.07
1025178 RANDSTAD INTERIM,2020-2021,654805.35,638124.89
1025178 RANDSTAD INTERIM,2021-2022,1494797.60,1110328.47
10647802 CANADA,2017-2018,50703.18,52062.31
10647802 CANADA,2018-2019,3342922.02,3384563.72
10647802 CANADA,2019-2020,2771754.86,2766173.92
10647802 CANADA,2020-2021,3387034.95,3307625.88
10647802 CANADA,2021-2022,3309005.63,2851445.15
11983890 CANADA CENTRE,2020-2021,65812562.19,64391394.99
11983890 CANADA CENTRE,2021-2022,1286837.81,1188643.19
1320376 ONTARIO,2017-2018,6798482.87,6980479.33
1320376 ONTARIO,2018-2019,24916.50,25289.50
1320376 ONTARIO,2019-2020,145680.98,145257.90
1320376 ONTARIO,2021-2022,2387274.85,1674215.37
14343878 ONTARIO,2018-2019,1646532.97,1672658.19
14343878 ONTARIO,2019-2020,3311159.70,3304377.57
14343878 ONTARIO,2020-2021,3302112.82,3232727.95
14343878 ONTARIO,2021-2022,1655579.85,1519645.64
1X1 ARCHITECTURE,2017-2018,370758.48,379737.55
1X1 ARCHITECTURE,2018-2019,796775.38,807090.25
1X1 ARCHITECTURE,2019-2020,1544821.39,1541318.09
1X1 ARCHITECTURE,2020-2021,1877544.60,1820392.26
1X1 ARCHITECTURE,2021-2022,1397036.43,1099946.10
2220742 ONTARIO,2017-2018,4030101.83,4108522.37
2220742 ONTARIO,2018-2019,7848154.71,7964102.97
2220742 ONTARIO,2019-2020,6672760.51,6658029.77
2220742 ONTARIO,2020-2021,2587421.58,2523096.66
2220742 ONTARIO,2021-2022,2049189.38,1599371.12
2536 4589 QUEBEC,2017-2018,2067482.22,2122902.16
2536 4589 QUEBEC,2018-2019,2067482.22,2093866.43
2536 4589 QUEBEC,2019-2020,2073146.56,2068900.21
2536 4589 QUEBEC,2020-2021,1495384.40,1481452.48
2KEYS,2017-2018,12018155.16,12347575.17
2KEYS,2018-2019,24296012.80,24645321.14
2KEYS,2019-2020,39810238.78,39726093.45
2KEYS,2020-2021,41676980.81,40798585.55
2KEYS,2021-2022,41739311.74,32054593.22
3469051 CANADA,2017-2018,1579310.60,1616652.43
3469051 CANADA,2018-2019,1925656.24,1948348.29
3469051 CANADA,2019-2020,558727.31,558262.77
3469051 CANADA,2020-2021,2237983.64,2151523.87
3469051 CANADA,2021-2022,4162806.84,2828130.89
3D DATACOMM,2017-2018,558650.20,570112.34
3D DATACOMM,2018-2019,664417.12,672469.47
3D DATACOMM,2019-2020,2411412.56,2411067.14
3D DATACOMM,2020-2021,1364313.97,1339794.26
3D DATACOMM,2021-2022,1426734.52,756732.00
3M CANADA COMPANY,2017-2018,2004165.49,2057708.24
3M CANADA COMPANY,2018-2019,3328476.28,3383550.78
3M CANADA COMPANY,2019-2020,1936660.98,1932739.80
3M CANADA COMPANY,2020-2021,1929599.26,1888757.37
3M CANADA COMPANY,2021-2022,2141810.13,1918183.20
4 OFFICE AUTOMATION,2017-2018,2090426.55,2149359.35
4 OFFICE AUTOMATION,2018-2019,941321.66,953730.15
4 OFFICE AUTOMATION,2019-2020,1198237.20,1195822.89
4 OFFICE AUTOMATION,2020-2021,1296529.80,1269475.58
4 OFFICE AUTOMATION,2021-2022,1181155.13,908992.55
4083261 CANADA,2017-2018,4139309.15,4257390.92
4083261 CANADA,2018-2019,1345967.14,1364243.02
4083261 CANADA,2019-2020,846020.03,844290.90
4083261 CANADA,2020-2021,1160834.09,1134382.40
4083261 CANADA,2021-2022,1023462.25,806354.06
49 SOLUTIONS,2017-2018,1357721.15,1394073.22
49 SOLUTIONS,2018-2019,811622.94,821000.29
49 SOLUTIONS,2020-2021,758520.45,726423.95
49 SOLUTIONS,2021-2022,2860016.07,1856122.22
4PLAN CONSULTING,2017-2018,1949289.55,2000345.24
4PLAN CONSULTING,2018-2019,1407209.24,1425221.17
4PLAN CONSULTING,2019-2020,1205227.20,1202940.24
4PLAN CONSULTING,2020-2021,1213354.76,1183569.66
4PLAN CONSULTING,2021-2022,308464.02,204626.25
529040 ONTARIO AND 880382,2017-2018,281043.62,287672.19
529040 ONTARIO AND 880382,2018-2019,510800.82,517567.11
529040 ONTARIO AND 880382,2019-2020,5599026.95,5587565.96
529040 ONTARIO AND 880382,2020-2021,5462061.07,5340399.29
529040 ONTARIO AND 880382,2021-2022,10115933.79,7718348.13
6834973 CANADA,2017-2018,2220441.46,2279961.56
6834973 CANADA,2018-2019,2220441.46,2248777.66
6834973 CANADA,2019-2020,2226524.87,2221964.36
6834973 CANADA,2020-2021,2220441.46,2173784.96
6834973 CANADA,2021-2022,2220441.46,1686737.09
727619 ALBERTA O A ROUGHRIDER,2017-2018,148884.04,151441.47
727619 ALBERTA O A ROUGHRIDER,2018-2019,2012691.59,2038376.59
727619 ALBERTA O A ROUGHRIDER,2019-2020,2018205.82,2014072.00
727619 ALBERTA O A ROUGHRIDER,2020-2021,2012691.59,1970400.39
7305516 CANADA,2017-2018,5598561.65,5716028.64
7305516 CANADA,2018-2019,990058.86,1000924.24
7305516 CANADA,2019-2020,3310898.76,3303164.03
7305516 CANADA,2020-2021,1867990.58,1829019.53
7305516 CANADA,2021-2022,2647141.35,1881507.82
736902 ONTARIO,2017-2018,873755.97,889873.96
736902 ONTARIO,2018-2019,1462707.26,1480076.87
