d_vendor_name,mean_years,n
4PLAN CONSULTING,0.64,2
A HUNDRED ANSWERS,0.14,2
ABB,0.13,1
ACCENTURE,0.13,4
ACKLANDS GRAINGER,0.05,2
ACT,0.4,29
ADGA GROUP,1.86,3
ADRM TECHNOLOGY CONSULTING,1.41,6
ADVANCED BUSINESS INTERIORS,0.2,65
AECOM,0.68,16
AERO SUPPLIES,0.05,348
AEROPRO,3,1
AGILENT,0.21,1
AINSWORTH,0.46,1
AIR INUIT,0.18,2
AIR TINDI,0.02,2
AIRBUS,0.13,1
ALPINE AEROTECH,0.05,138
ALTIS HUMAN RESOURCES,0.65,60
AMERICAN BUREAU OF SHIPPING,0.19,2
AON REED STENHOUSE,0.69,9
APRON FUEL SERVICES,0.11,8
APS AVIATION,1.85,3
ARI FINANCIAL SERVICES,1.09,8
ARTEMP PERSONNEL SERVICES,1.97,2
ASOKAN BUSINESS INTERIORS,0.14,1
ATLANTIC BUSINESS INTERIORS,0.16,1
ATTACHMATE,0.19,1
AV TECH,0.1,1
AVMAX AVIATION SERVICES,0.06,34
BDO CANADA,0.22,1
BELL CANADA,0.5,2
BELL TEXTRON,0.06,265
BOMBARDIER,0.04,121
BRANDT TRACTOR,0.13,3
CA,0.02,1
CAE,1.11,6
CALIAN,0.38,3
CANADA POST,1,4
CANADIAN CORPS OF COMMISSIONAIRES,0.92,76
CANADIAN HELICOPTERS,0.01,1
CANADIAN MARITIME ENGINEERING,1.55,4
CANON,5,1
CARAHSOFT TECHNOLOGY,0.43,7
CARLETON UNIVERSITY,0.61,7
CBCI TELECOM,0.4,1
CDW CANADA,0.37,13
CHANTIER DAVIE CANADA,1.55,2
CHARRON HUMAN RESOURCES,0.23,3
CHEVRON,0.85,2
CIMA,0.48,2
CISION CANADA,1.23,2
CLARIANT CANADA,0.32,25
CLOSEREACH,0.73,3
CNW GROUP,0.79,5
COFOMO,1.34,3
CONTRACT COMMUNITY,0.6,4
CONVERGINT TECHNOLOGIES,0.1,1
CORADIX TECHNOLOGY CONSULTING,2.6,7
COSSETTE COMMUNICATIONS,0.37,13
CPCS TRANSCOM,0.48,43
CRANDALL ENGINEERING,0.93,1
CSDC SYSTEMS,0.93,2
DALHOUSIE UNIVERSITY,4.81,1
DBC MARINE SAFETY SYSTEMS,0,1
DELCO AUTOMATION,0.36,2
DELL COMPUTER,0.96,1
DELOITTE AND TOUCHE,0.82,16
DEXTERRA,1.34,1
DILIGENS,2.4,3
DILLON CONSULTING,0.85,10
DLS TECHNOLOGY,1.36,4
DONNA CONA,0.71,5
DSS MARINE,1.06,3
ECOLE DE LANGUES ABCE,0.63,3
ECOLE DE LANGUES LA CITE,0.62,10
EKOS RESEARCH ASSOCIATES,1.06,3
ELBIT SYSTEMS,2.02,1
ELSEVIER,0.69,3
EMCON SERVICES,0.8,1
ENTRUST,0.67,4
ENVIRONICS RESEARCH GROUP,0.34,2
ERNST YOUNG,1.29,6
ESRI,0.44,22
EXCEL HUMAN RESOURCES,0.55,24
FAST FORWARD FRENCH,0.64,11
FAST TRACK STAFFING,0.57,14
FCA CANADA,0.15,8
FEDERAL EXPRESS CANADA,2.93,1
FELIX TECHNOLOGY,0.42,4
FIRST AIR,3.01,1
FLIGHT FUELS,0.23,7
FLIGHTSAFETY CANADA,0.28,3
FORD MOTOR COMPANY,0.54,15
FORRESTER RESEARCH,1,1
FORT GARRY FIRE TRUCK,0.89,1
FRANCIS CANADA TRUCK CENTRE,0.67,2
FREEBALANCE,1.25,9
FUJITSU,1.12,4
GARDA SECURITY GROUP,0.36,1
GARTNER,0.79,18
GATESTONE,1,1
GC STRATEGIES,0.53,4
GEMTEC,0.28,1
GENERAL ELECTRIC CANADA,0,1
GENERAL MOTORS,0.44,22
GHD,0.46,6
GLASSHOUSE SYSTEMS,0.45,2
GLOBAL KNOWLEDGE,0.13,3
GLOBAL UPHOLSTERY,0.19,16
GOLDER ASSOCIATES,0.58,9
GOSS GILROY,0.47,1
GRAND TOY,0.75,10
GRAYBRIDGE INTERNATIONAL CONSULTING,0.54,21
GREY ROCK SERVICES,0.02,1
HARNOIS ENERGIES,1.62,13
HAWORTH,0.3,7
HEDDLE MARINE SERVICES,1,1
HELITRADES,0.05,67
HITRAC,0.59,2
HOLMAN FENWICK WILLAN,0.18,1
HONEYWELL,0.01,25
HOULE ELECTRIC,0.61,2
HYPERTEC,0.4,82
IBISKA TELECOM,1.99,6
IHS GLOBAL,0.26,1
IMP GROUP,0.86,2
IMPERIAL OIL,1.04,20
INFO TECH RESEARCH GROUP,0.66,4
INSA,0.08,2
INSTITUT NATIONAL D OPTIQUE,1.18,1
INTER OUTAOUAIS,0.84,1
INTERNATIONAL SAFETY RESEARCH,0.13,1
IPSOS,0.33,1
IPSS,0.51,4
IRON MOUNTAIN,1.07,21
IRVING OIL,0.7,16
ITEX,0.03,1
J J TRAILERS MANUFACTURERS AND SALES,0.31,1
JASCO APPLIED SCIENCES CANADA,1.95,8
JHT DEFENSE,0.24,3
KENN BOREK AIR,0.2,2
KEYSTONE ENVIRONMENTAL,0.08,1
KONGSBERG,0.63,1
KONICA MINOLTA BUSINESS SOLUTIONS,4.54,44
KPMG,0.53,11
KUBOTA CANADA,0.31,4
L3HARRIS,0.44,3
LANGUAGE RESEARCH DEVELOPMENT GROUP,0.82,15
LANSDOWNE TECHNOLOGIES,0.18,3
LENGKEEK VESSEL ENGINEERING,0.66,12
LIONBRIDGE,2.17,2
