d_vendor_name,max_years,n
1037612 TT VISA SERVICES,5.68,1
10647802 CANADA,3.84,22
11983890 CANADA CENTRE,1,1
1320376 ONTARIO,1.74,7
1376387 FLEETWAY,0.64,2
14343878 ONTARIO,3,1
1456812 ALBERTA,0.42,2
152610 CANADA,2.18,6
1595769 ONTARIO,0.91,10
175303 CANADA,5,1
1E,3.01,27
1X1 ARCHITECTURE,6.18,59
2099042 ONTARIO,3.22,4
2145675 ONTARIO,1.87,2
2220742 ONTARIO,2.71,30
2347758 NOVA SCOTIA,2.3,6
2536 4589 QUEBEC,5.02,2
2553164 ONTARIO,0.6,4
2961 3403 QUEBEC,4,35
2KEYS,15.01,28
3388646 CANADA COMMERCIAL BUILDING CLEANERS,3,3
3469051 CANADA,3.2,92
3D DATACOMM,1.07,135
3M CANADA COMPANY,7.01,21
3V MECHANICAL,5.66,27
4 OFFICE AUTOMATION,7.21,217
4083261 CANADA,3.54,11
49 SOLUTIONS,3.43,17
520571 ONTARIO,5.58,8
529040 ONTARIO 880382 ONTARIO,5.95,4
529040 ONTARIO AND 880382,5.23,23
5581 NUNAVUT,2.1,4
674725 ONTARIO,1.04,1
6771581 CANADA,3,118
6834973 CANADA,6.87,1
6854265 CANADA,3,24
727619 ALBERTA O A ROUGHRIDER,3.08,1
7305516 CANADA,3.22,8
736902 ONTARIO,2.36,7
828778852PG0001 4527984CANADA,2,1
851791 NWT,3.75,5
9006 9311 QUEBEC,4.23,5
9034 3476 QUEBEC,5,16
9090 5092 QUEBEC,1.59,3
9099 3593 QUEBEC,1.58,1
9099 3593 QUEBEC INTER PROJE,2.48,2
9160 5188 QUEBEC,1.77,1
9170 7570 QUEBEC,3.19,1
9172 8766 QUEBEC,4,4
9205187 CANADA,1.48,2
9244 3175 QUEBEC,1.55,2
9275 0181 QUEBEC,3.57,43
9468269 CANADA,1.38,10
A C L CONSTRUCTION,1.56,3
A HARVEY COMPANY,2.56,7
A J HANNA,0.85,91
A J HANNA CONSTRUCTION,1.74,297
A NET SOLUTIONS,5.01,71
A O CONTRACTING,0.67,3
A SANTIN MASON CONTRACTOR,4.83,6
A TECH ROOFING,0.58,7
AA STURGEON CONSTRUCTION,1.83,5
AB SCIEX,5.01,102
ABB,5.21,101
ABBOTT,3,69
ABCO INDUSTRIES,3.49,5
ABCO MAINTENANCE SYSTEMS,3.47,59
ABS AMERICAS,5.01,3
ACADIAN CONSTRUCTION 1991,1.23,2
ACADIAN DREDGING,1.42,77
ACADIAN MARINE DIVING,2.4,8
ACART COMMUNICATIONS,7.01,28
ACCENTURE,6,138
ACCESS 2 NETWORKS,5.01,120
ACKLANDS GRAINGER,3.02,539
ACME FUTURE SECURITY CONTROLS,5,67
ACOSYS CONSULTING SERVICES,2.57,77
ACOSYS CONSULTING SERVICES PRICEWATERHOUSE COOPERS,4.09,19
ACRES ENTERPRISES,1.36,3
ACT,5,200
ACTION EXPRESS,0.29,17
ACTION PERSONNEL OF OTTAWA HULL,4.55,44
ADAMSON ASSOCIATES ARCHITECTS,3.34,1
ADGA GROUP,12.01,203
ADOBE,8.01,30
ADOR TECH,3.47,29
ADP CANADA,7.01,1
ADPEARL,2.6,6
ADRM TECHNOLOGY AND RANDSTAD IN JV,3.03,13
ADRM TECHNOLOGY CONSULTING,5.82,303
ADSS,2.69,34
ADSS 6175015 CANADA,3,54
ADVANCED BUSINESS INTERIORS,10.01,1127
ADVANCED CHIPPEWA TECHNOLOGIES,5.01,874
ADVANCED ENERGY MANAGEMENT,4.67,114
ADVANCED PARAMEDIC,5,4
