owner_org,mean_amendment_increase_percentage,n
aafc-aac,1.3195,989
aandc-aadnc,1.1037,523
acoa-apeca,0.5749,37
atssc-scdata,1.4761,156
cannor,0.2635,9
cas-satj,0.8992,164
casdo-ocena,0.5472,11
cbsa-asfc,1.2981,1122
ccohs-cchst,0.2655,10
ced-dec,0.7055,32
cer-rec,1.1449,146
cfia-acia,1.6079,458
cgc-ccg,1.1343,50
chrc-ccdp,1.0274,51
cic,1.0776,1567
cics-scic,0.1201,4
cihr-irsc,0.6647,170
cnsc-ccsn,0.8864,182
cpc-cpp,0.4135,30
cra-arc,2.6744,1874
crtc,0.8227,37
csa-asc,1.423,322
csc-scc,1.7571,2632
csps-efpc,4.4847,87
cta-otc,1.1609,88
dfatd-maecd,1.2297,2225
dfo-mpo,0.6173,4263
dnd-mdn,0.6785,8129
ec,1.3983,1103
elections,1.4775,300
erc-cee,0.3887,2
esdc-edsc,1.68,2325
fcac-acfc,2.6586,53
feddevontario,0.7375,31
fin,4.047,132
fintrac-canafe,0.5771,20
fja-cmf,0.9158,50
fpcc-cpac,0.6201,2
hc-sc,1.3589,1137
iaac-aeic,1.3081,56
ic,1.7583,926
iic-iac,0.4717,15
ijc-cmi,-0.1026,9
infc,2.5831,112
irb-cisr,1.4304,251
isc-sac,0.773,452
jus,1.9871,212
lac-bac,0.7989,133
mgerc-ceegm,0.5192,10
mpcc-cppm,1.5845,9
nbc-ccbn,-0.0377,9
nfb-onf,0.4961,59
nrc-cnrc,0.863,1686
nrcan-rncan,1.0482,1072
nserc-crsng,0.9768,145
nsira-ossnr,1.7204,4
oag-bvg,0.9289,117
oci-bec,1.5897,7
ocl-cal,1.2148,12
ocol-clo,1.1609,27
oic-ci,1.8791,23
opc-cpvp,0.2618,57
osfi-bsif,5.4952,286
osgg-bsgg,0.4645,68
pbc-clcc,0.3449,36
pc,1.0392,2559
pch,1.4392,351
pco-bcp,1.879,182
phac-aspc,2.2497,756
pmprb-cepmb,0.8299,7
polar-polaire,0.73,3
ppsc-sppc,4.6519,277
pptc,0.1897,1
ps-sp,3.7245,182
psc-cfp,1.1716,55
psic-ispc,1.5762,10
pwgsc-tpsgc,2.7687,6132
rcmp-grc,1.7196,2070
sirc-csars,0,1
ssc-spc,3.2945,2072
sshrc-crsh,2.6729,33
statcan,0.9456,56
swc-cfc,1.0448,6
tbs-sct,1.1622,225
tc,0.785,994
tsb-bst,1.6443,30
vac-acc,0.8385,189
vrab-tacra,0,3
wage,1.7375,34
wd-deo,0.5037,10
