d_vendor_name,total
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,6448745064.51
GENERAL DYNAMICS,3677124113.33
IRVING SHIPBUILDING,2505862975.14
VANCOUVER SHIPYARDS,2465749325.49
IBM CANADA,2284741291.06
PCL CONSTRUCTORS,2268454298.87
BELL CANADA,1912473885.71
CALIAN,1365840625.37
CHANTIER DAVIE CANADA,1291451905.31
CANADIAN CORPS OF COMMISSIONAIRES,1276281378.59
AIRBUS,1257092141.68
MACDONALD DETTWILER AND ASSOCIATES,1151048791.91
MICROSOFT CANADA,1052506932.38
D H PARTNERSHIP,950085944.55
SEASPAN VICTORIA SHIPYARDS,922160087.04
POMERLEAU,834719164.86
CAE,821047413.43
LOCKHEED MARTIN,756207307.83
L3HARRIS,727685966.52
SIGNATURE SUR LE SAINT LAURENT,722894981.98
THALES,665650977.69
NORTHERN MICRO,626641933.82
MACK TRUCKS,618452742.42
SNC LAVALIN,548852728.84
SIKORSKY AIRCRAFT,548453957.59
"NAVTECH",541680794.25
FEDERAL FLEET SERVICES,534403660.06
BABCOCK INTERNATIONAL GROUP,525066111.05
SWITCH HEALTH,523313959.67
ELLISDON,511180577.52
DELOITTE,508291840.18
WSP,505946712.94
I M P GROUP,490290056.41
TELUS CANADA,484695384.94
CASCADE AEROSPACE,446388816.52
SI SYSTEMS,435884302.53
COSSETTE COMMUNICATIONS,435584834.13
PRICEWATERHOUSE COOPERS,432000572.00
CANADIAN BANK NOTE COMPANY,431079500.60
ORACLE CANADA,426675374.46
KF AEROSPACE,413432619.06
VERITAAQ TECHNOLOGY HOUSE,403530428.97
MAPLE REINDERS CONSTRUCTORS,392434935.05
PROLINE ADVANTAGE,373182500.00
TOP ACES,370961426.88
MOTOROLA SOLUTIONS CANADA,357172842.92
RAYTHEON,349451509.82
FORD MOTOR COMPANY,343878807.16
ADGA GROUP,342634261.27
NISHA TECHONOLOGIES,331544395.99
SERCO,325837345.29
WCG INTERNATIONAL CONSULTANTS,313224347.51
IRVING OIL,312203149.15
HEWLETT PACKARD,307308178.54
TPG TECHNOLOGY CONSULTANTS,305943707.38
SAP,294820475.73
MODIS CANADA,293221357.87
BELL TEXTRON,288350520.12
RHEINMETALL,276100045.23
UNITED STATES DEPARTMENT OF THE NAVY,264258497.40
EXCEL HUMAN RESOURCES,260481789.37
TEKSYSTEMS CANADA,259314155.86
MUFACTOR,256160830.00
ACCENTURE,255033980.17
PARSONS CANADA,243596114.57
IBISKA TELECOM,243158048.48
CGI,240550285.55
FTI PROFESSIONAL GRADE,237300000.00
TERAMACH TECHNOLOGIES,236135978.91
GARTNER,226232514.07
LOGISTIK UNICORP,224271104.24
SUN LIFE ASSURANCE COMPANY,218990023.91
GENERAL MOTORS,217622455.78
COFOMO,211886395.06
ROGERS,210565721.38
VFS GLOBAL,210420651.02
WEIR CANADA,208049166.17
MAPLESOFT CONSULTING,202560206.08
STANTEC,202425764.79
THORNHILL MEDICAL,200950797.45
2KEYS,200513356.22
MCKESSON CANADA,199368699.59
PETER KIEWIT SONS,197129619.67
DONNA CONA,195744543.47
MEDAVIE,195648173.51
SYSTEMATIX SOLUTIONS,191277428.57
L3 MAS,187170547.50
COLLIERS PROJECT LEADERS,183530815.40
DECISIVE GROUP,174152107.15
SUPERMAX HEALTHCARE CANADA,173645010.81
WEATHERHAVEN CANADA,173197974.28
VIRTUAL POSSIBILITIES DIVISION,172977959.20
CDW CANADA,170146669.50
LEONARDO,169710803.28
CANADIAN EMERGENCY VENTILATORS,169500000.00
PAL AEROSPACE,165797154.80
CAMPBELL DRUG STORES,165206000.00
