d_vendor_name,total
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,7591387849.05
GENERAL DYNAMICS,4478506443.34
IRVING SHIPBUILDING,4032003831.05
VANCOUVER SHIPYARDS,3116733546.15
IBM CANADA,2848438950.04
PCL CONSTRUCTORS,2834236709.91
BELL CANADA,2129178976.22
MICROSOFT CANADA,1767810890.37
CANADIAN CORPS OF COMMISSIONAIRES,1637732795.53
AIRBUS,1499682906.08
L3HARRIS,1487833860.43
CHANTIER DAVIE CANADA,1450442951.08
MACDONALD DETTWILER AND ASSOCIATES,1276404438.82
CALIAN,1200324821.75
BABCOCK INTERNATIONAL GROUP,1092451009.40
SEASPAN VICTORIA SHIPYARDS,1060385578.94
D H PARTNERSHIP,984182919.64
POMERLEAU,969283351.12
CAE,871935740.62
SIGNATURE SUR LE SAINT LAURENT,868463922.30
DELOITTE,851651439.04
THALES,824171536.37
THE BOEING COMPANY,801283906.80
LOCKHEED MARTIN,780339367.80
NORTHERN MICRO,735947798.69
SIKORSKY AIRCRAFT,658084677.48
FEDERAL FLEET SERVICES,656086339.98
SNC LAVALIN,644725025.76
ELLISDON,628316205.12
SWITCH HEALTH,624329093.11
MACK TRUCKS,618452742.42
I M P GROUP,610636489.29
TELUS CANADA,586839729.08
CANADIAN BANK NOTE COMPANY,555989065.06
SI SYSTEMS,550337729.20
"NAVTECH",541732873.90
VERITAAQ TECHNOLOGY HOUSE,539057580.75
PRICEWATERHOUSE COOPERS,531660877.96
ORACLE CANADA,529616805.95
CASCADE AEROSPACE,515360215.85
COSSETTE COMMUNICATIONS,510075932.30
KF AEROSPACE,496633636.75
ADGA GROUP,463714953.35
VFS GLOBAL,453042296.02
ESAP PROJECT PARTNERSHIP,446872666.47
MAPLE REINDERS CONSTRUCTORS,437202242.46
WCG INTERNATIONAL CONSULTANTS,435665334.26
FORD MOTOR COMPANY,423332710.61
TEKSYSTEMS CANADA,417313630.42
IRVING OIL,416253499.86
TPG TECHNOLOGY CONSULTANTS,414101140.98
BELL TEXTRON,413974624.83
MOTOROLA SOLUTIONS CANADA,410294810.01
SERCO,403645712.68
WSP,401600804.67
TOP ACES,401428950.89
RAYTHEON,393627208.23
PARSONS CANADA,386487188.01
UNITED STATES DEPARTMENT OF THE NAVY,376974835.95
PROLINE ADVANTAGE,373182500.00
MODIS CANADA,372017201.14
NISHA TECHONOLOGIES,360670361.84
IBISKA TELECOM,354039714.21
SAP,342081930.47
KYNDRYL CANADA,336539751.14
LOGISTIK UNICORP,335386579.15
RHEINMETALL,331556014.17
HEWLETT PACKARD,330483968.75
EXCEL HUMAN RESOURCES,328131956.71
TERAMACH TECHNOLOGIES,323193283.49
ACCENTURE,298199632.79
GARTNER,292380326.18
CGI,285635941.67
ROGERS,276562490.14
MACDONALD DETTWILER AND ASSOCIATE,274547936.73
DONNA CONA,272679731.15
COFOMO,272289316.03
IMPERIAL OIL,265787366.56
SUN LIFE ASSURANCE COMPANY,264778960.92
MAPLESOFT CONSULTING,262457383.98
THE AIM GROUP,262338570.43
GENERAL MOTORS,257856426.53
MUFACTOR,256160830.00
SYSTEMATIX SOLUTIONS,255671877.60
COLLIERS PROJECT LEADERS,255379668.30
PETER KIEWIT SONS,249973688.69
STANTEC,246605527.24
MCKESSON CANADA,239311072.17
LEONARDO,239116441.36
FTI PROFESSIONAL GRADE,237300000.00
MONERIS,236474955.46
MEDAVIE,233960624.38
L3 MAS,224584156.39
DECISIVE GROUP,223920620.86
RANDSTAD,222241663.32
LIFELABS,220386017.61
CORADIX TECHNOLOGY CONSULTING,217312077.43
STONEWORKS TECHNOLOGIES,215706468.58
WEIR CANADA,208332993.96
INSA,208327281.18
CDW CANADA,208115297.48
COLT CANADA,207173409.45
THORNHILL MEDICAL,201206593.61
STEPPED CARE SOLUTIONS,194317417.78
2KEYS,192599550.61
ATLANTIC TOWING,186996372.09
VMWARE,186035268.36
MINDWIRE SYSTEMS,177968333.26
ATCO,176937920.61
AEG FUELS,176360614.21
SUPERMAX HEALTHCARE CANADA,173645010.81
WEATHERHAVEN CANADA,173567771.65
SAAB,173126247.18
VIRTUAL POSSIBILITIES DIVISION,172977959.20
COMPUCOM CANADA,172254010.53
ADVANCED CHIPPEWA TECHNOLOGIES,172138700.07
OPENTEXT,171273226.67
PURELOGIC,171245973.87
DYNACARE,170797349.08
CANADIAN EMERGENCY VENTILATORS,169500000.00
UNITED STATES DEPARTMENT OF THE AIR FORCE,168916084.38
PAL AEROSPACE,167872477.51
CAMPBELL DRUG STORES,165206000.00
SHELL CANADA PRODUCTS,164776564.71
