d_vendor_name,mean_original_value,mean_overall_value,n
10647802 CANADA,227998.79,672008.65,20
11983890 CANADA CENTRE,18769300.00,67099400.00,1
1320376 ONTARIO,1759995.24,2065875.93,7
1376387 FLEETWAY,1184452.62,1184452.62,2
14343878 ONTARIO,9915385.33,9915385.33,1
1456812 ALBERTA,1933102.50,1933102.50,2
175 303 CANADA,2400873.44,2509914.65,2
175303 CANADA,3784218.12,3865732.85,1
1X1 ARCHITECTURE,117809.37,131913.01,52
2099042 ONTARIO,895237.80,1232644.60,4
2145675 ONTARIO,1798395.00,2839628.12,2
2220742 ONTARIO,745831.68,821844.18,28
2536 4589 QUEBEC,3679200.00,10382725.79,1
2553164 ONTARIO,531616.18,1096616.18,4
2KEYS,7093202.38,11108689.86,23
3388646 CANADA COMMERCIAL BUILDING CLEANERS,3274113.80,3274113.80,3
3469051 CANADA,130877.45,203845.06,74
3955788 CANADA,323841.46,424879.68,11
3D DATACOMM,54683.98,54503.35,115
3M CANADA COMPANY,466709.61,658848.29,18
4 OFFICE AUTOMATION,48060.89,41057.17,212
4083261 CANADA,1080645.34,1189252.89,9
49 SOLUTIONS,325800.39,540785.48,16
5029406 MANITOBA,669551.20,669551.20,7
520571 ONTARIO,361055.40,853080.13,6
529040 ONTARIO AND 880382,1368293.58,2180876.15,23
6771581 CANADA,18308.31,18308.31,93
6834973 CANADA,9821164.50,15263253.79,1
727619 ALBERTA O A ROUGHRIDER,5739178.79,6192473.04,1
7305516 CANADA,3243281.90,3282602.03,7
736902 ONTARIO,1379201.81,1371236.75,7
73719 NEWFOUNDLAND LABRADOR,122774.53,155826.48,35
851791 NWT,6812742.22,6956704.74,4
898845 ALBERTA,1570360.82,1665318.36,3
9006 9311 QUEBEC,4688407.68,7127155.96,5
9034 3476 QUEBEC,393088.57,511758.74,10
9089 5657 QUEBEC,2183102.76,2348167.62,1
9090 5092 QUEBEC,4118376.30,4571255.44,3
9099 3593 QUEBEC INTER PROJE,5202494.67,5676966.40,2
9160 5188 QUEBEC,4121853.75,4425718.42,1
9168516 CANADA,661841.52,765413.93,7
9205187 CANADA,3669293.62,4675260.52,2
9244 3175 QUEBEC,2107278.16,2193258.93,2
9275 0181 QUEBEC,222594.84,242152.26,43
A B BUILDERS,1034433.75,1091057.44,2
A C L CONSTRUCTION,2605030.98,2605030.98,2
A J HANNA CONSTRUCTION,39861.49,39963.34,272
A NET SOLUTIONS,53922.71,66961.25,66
A SANTIN MASON CONTRACTOR,1561382.58,2202648.77,5
A TECH ROOFING,791006.79,791006.79,7
AA STURGEON CONSTRUCTION,680821.86,680821.86,5
AB SCIEX,102523.00,120340.39,89
ABB,647829.63,1211153.98,86
ABBOTT,923056.00,1033711.23,59
ABCO INDUSTRIES,3672071.24,3672071.24,4
ABCO MAINTENANCE SYSTEMS,200782.89,200305.65,58
ABS AMERICAS,4144000.42,4144000.42,3
ACADIAN CONSTRUCTION 1991,1595538.75,1611762.91,2
ACADIAN DREDGING,115430.44,111175.88,71
ACART COMMUNICATIONS,305586.47,545916.07,27
ACCENTURE,950808.76,2670742.48,117
ACCESS 2 NETWORKS,176452.66,180687.53,101
ACKLANDS GRAINGER,36034.37,35199.36,426
ACME FUTURE SECURITY CONTROLS,132814.16,182006.02,66
ACOSYS CONSULTING SERVICES,105253.02,159736.76,68
ACRES ENTERPRISES,2420780.60,2434560.75,3
ACT,115996.61,133273.36,149
ACTION PERSONNEL OF OTTAWA HULL,98647.89,195615.82,37
ADAPT PHARMA CANADA,62034.24,63413.11,87
ADGA GROUP,3138176.70,5196322.50,184
ADOBE,509415.83,1840134.90,29
ADP CANADA,737606.57,26611404.23,1
ADPEARL,663394.75,6109994.75,2
ADRM TECHNOLOGY CONSULTING,413419.02,565977.06,231
ADVANCED BUSINESS INTERIORS,61740.26,63943.99,983
ADVANCED CHIPPEWA TECHNOLOGIES,200517.22,247180.56,671
ADVANCED PARAMEDIC,1745930.60,3790518.56,4
AECOM,349647.54,569890.87,361
AEG FUELS,40003.21,39982.92,1294
AEREX AVIONICS,2380054.52,2380304.74,26
AERO FEU,796715.09,1087483.50,22
AERO SUPPLIES,22761.70,23301.65,352
AEROPORT DE QUEBEC,654068.42,1453899.27,3
AEROPORTS DE MONTREAL,3405368.26,8294161.13,1
AEROPRO,447217.93,1281411.50,7
AFC INDUSTRIES,2006896.49,2364042.76,3
AFN ENGINEERING,44539.09,50455.91,284
AFW CONSTRUCTION,107947.32,110469.55,49
AG CREATIONS,90174.64,92478.85,42
AGC AND ASSOCIATES,448987.23,455773.14,10
AGENCE SOCIALE SPECIALISEE DE L OUTAOUAIS,577616.80,4951335.32,1
AGILEC,799083.40,803131.35,13
AGILENT,75842.95,86659.44,547
AGRITEAM CANADA,5101419.50,5101419.50,15
AHS COMMUNITY INDUSTRIES,406720.70,2518980.15,4
AIM HEALTH GROUP,700381.48,2002569.24,10
AINSWORTH,128627.78,141364.71,145
AIR CHARTER SERVICE,1131684.29,1365449.22,3
AIR INDIA,1346559.92,1421888.98,3
AIR INUIT,100679.34,145236.20,72
AIR LIQUIDE CANADA,31429.69,33642.58,241
AIR NORTH,41000.57,41000.57,50
AIR PRODUCTS CANADA,74486.60,99458.12,62
AIR TINDI,100627.53,101624.71,163
AIRBORNE SYSTEMS,5372993.08,8114692.65,2
AIRBOSS DEFENSE,1221305.01,1221305.01,5
AIRBUS,18627886.76,19669383.27,150
AIRSIDE PROPERTIES,228246.90,8823289.44,1
AIWORX,1881892.69,1881892.69,3
AKM GROUP,2254350.00,2593350.00,1
ALBERTA SEVENTH STEP SOCIETY,1077807.04,4387370.76,2
ALCAIDE WEBSTER ARCHITECTS,344124.62,379264.39,26
ALDRICH PEARS ASSOCIATES,653568.33,716803.01,6
ALGONQUIN COLLEGE,88904.52,112045.24,97
ALIKA INTERNET TECHNOLOGIES,244323.75,460142.11,14
ALINEA INTERNATIONAL,5839304.03,5850885.39,11
ALIVAKTUK CONSULTING,727755.51,1425255.96,7
ALLEN HASTINGS,2038954.29,2079353.87,5
ALLIANCE ENERGY,887640.31,1087065.34,15
ALLIANCE ENGINEERING CONSTRUCTION,980448.48,1053600.99,7
ALLIANT TECHSYSTEMS OPERATIONS,5265479.51,5352224.63,7
ALLIED CONTAINER SYSTEMS,4725000.00,2500435.74,2
ALLIED PAVING,15120000.00,14131530.63,1
ALLIED SHIPBUILDERS,2191620.59,2749105.39,17
ALLSEATING,50977.58,51288.23,79
ALMIQ CONTRACTING,55857000.00,55857000.00,1
ALPINE AEROTECH,38725.72,39983.41,138
ALPINE HELICOPTERS,32185.01,32947.15,247
ALS CANADA,73101.02,102610.06,186
ALTERNATIVE CONCRETE TECHNOLOGIES,2242356.25,2489819.62,1
ALTIS HUMAN RESOURCES,108707.35,153037.15,1096
ALTO CONSTRUCTION,2038123.50,2098675.01,1
ALVA CONSTRUCTION,2322544.26,2497474.97,10
AMAN BUILDERS,28986316.50,28986316.50,2
AMAZON,354913.41,671297.82,85
AMD MEDICOM,56743434.00,56763996.26,2
AMDOCS,1198920.71,2745435.24,3
AMEC CONSTRUCTION,603458.51,688409.49,7
AMER SPORTS CANADA,1403886.89,1403886.89,7
AMERESCO CANADA,4983032.98,16586627.03,19
AMERICAN BUREAU OF SHIPPING,112196.02,108792.97,76
AMERICAN CHEMICAL SOCIETY,129743.05,139087.73,31
AMEX BANK OF CANADA,9504117.20,9515417.20,5
AMRON CONSTRUCTION,84740.93,82848.15,142
AMS IMAGING,52868.08,57706.77,61
AMTECH AERONAUTICAL,587790.00,584640.00,15
AMTEK ENGINEERING,379442.74,523343.62,32
ANALYTICAL GRAPHICS,84241.09,127346.38,43
ANCHOR QEA,4465885.74,5688107.96,3
ANIXTER,36944.12,37212.09,240
ANSYS CANADA,55499.08,58085.48,113
ANTHONY MACAULEY ASSOCIATES,63155.51,78161.07,43
ANTONIANI LAW PROFESSIONAL,467776.57,4975201.82,1
AON REED STENHOUSE,67219.23,154138.54,126
APEX STEEL GAS,79820.43,80116.77,82
APICA MEDICAL SERVICES,1325093.57,2052539.94,3
APOTEX,2912963.24,2833656.29,4
APPAREL TRIMMINGS,364355.19,552575.60,49
APPLIED ELECTONICS,107620.97,145142.03,456
APPLIED SYSTEMS ENGINEERING,6044170.82,6044170.82,1
APPTION,351661.17,902266.22,14
APRON FUEL SERVICES,66322.53,54766.54,419
APS AVIATION,1289521.34,2010405.42,7
AQUA GUARD SPILL RESPONSE,1157805.64,1765492.28,4
AQUA LUNG CANADA,265587.99,264349.04,67
AQUATIC INFORMATICS,97102.70,379229.90,16
ARCADIS CANADA,135152.68,169723.75,218
ARCHITECTURE 49,240954.44,339571.43,237
ARCHITECTURE EVOQ,1160013.38,4243699.15,31
ARCTIC CANADA CONSTRUCTION,1164445.17,1472260.84,5
ARDENT GLOBAL,7757708.97,7757708.97,2
ARI FINANCIAL SERVICES,29527.81,32516.37,576
ARISGLOBAL,923550.92,1687185.93,4
ARMSERV CONTRACTING,1002345.17,1044109.73,5
ARNASON INDUSTRIES,1087534.97,1092855.85,2
ARRM ELECTRIC,69751.14,83286.20,44
ARTEMP PERSONNEL SERVICES,92929.92,120005.28,202
ARTEX SPORTSWEAR,846227.57,984298.86,26
ARUP CANADA,19713958.43,21713958.43,1
ASBEX,207172.85,238929.13,84
ASC GERMANY,675976.78,679121.92,10
ASML US,76747.41,79361.31,31
ASOKAN BUSINESS INTERIORS,53076.26,56906.61,324
ASPEN PHARMACARE CANADA,4927984.24,3204320.00,1
ASSOCIATED ENGINEERING,197148.80,302171.55,75
ASSOCIATION CANADIENNE POUR LA SANTE MENTALE SECTION SAGUENAY,318844.00,2170302.67,2
ATCO,852712.48,645055.98,288
ATIRA WOMENS RESOURCE SOCIETY,578742.37,1411651.87,3
ATKINSON CONSTRUCTION,6070306.54,6068104.40,2
ATLANTIC BUSINESS INTERIORS,31844.40,37226.77,171
ATLANTIC HUMAN SERVICES,942153.38,3466694.28,2
ATLANTIC ROAD CONSTRUCTION AND PAVING,1440351.94,1719795.15,5
ATLANTIC ROOFERS,123332.71,124303.56,44
ATLANTIC TOWING,16491913.91,19314671.06,7
ATLANTICA MECHANICAL CONTRACTORS,263598.67,284343.83,29
ATS SERVICES,520895.31,581987.51,22
ATS TRAFFIC ALBERTA,176925.83,180418.60,20
ATWILL MORIN,2784590.42,3177539.79,10
AV NUNAVUT FUELS,7970037.64,7970037.64,1
AV TECH,127627.02,132090.77,136
AVALERION,196620.00,196620.00,13
