d_vendor_name,total
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,5306091076.67
VANCOUVER SHIPYARDS,1993321494.2
PCL CONSTRUCTORS,1857255458.11
IRVING SHIPBUILDING,1842335424.96
IBM CANADA,1768022395.96
BELL CANADA,1494982852.36
CHANTIER DAVIE CANADA,1059136893.43
CALIAN,1055356336.56
AIRBUS,1007684405.12
CANADIAN CORPS OF COMMISSIONAIRES,962566088.63
MACDONALD DETTWILER AND ASSOCIATES,883552856.09
D H PARTNERSHIP,782447250.33
MICROSOFT CANADA,745478252.06
CAE,709799272.81
LOCKHEED MARTIN,687994720.85
POMERLEAU,651450441.2
L3HARRIS,623152848.32
MACK TRUCKS,598954467.13
SIGNATURE SUR LE SAINT LAURENT,578395163.57
"NAVTECH",541680794.25
THALES,507860071.8
SNC LAVALIN,463237146.5
FEDERAL FLEET SERVICES,448951903.51
SIKORSKY AIRCRAFT,438823237.7
SEASPAN VICTORIA SHIPYARDS,422629733.41
WSP,407713460.12
TELUS CANADA,393430916.99
PROLINE ADVANTAGE,373182500
MAPLE REINDERS CONSTRUCTORS,369502696.18
ELLISDON,348765034.07
SI SYSTEMS,339825535.11
CASCADE AEROSPACE,334923394.35
DELOITTE AND TOUCHE,332831471.33
KF AEROSPACE,328830651.69
BABCOCK INTERNATIONAL GROUP,320399183.38
TOP ACES,317007823.51
ORACLE CANADA,314227108.67
MOTOROLA SOLUTIONS CANADA,313614756.98
PRICEWATERHOUSE COOPERS,312355440.95
RAYTHEON,310504376.65
NISHA TECHONOLOGIES,310014925.69
CANADIAN BANK NOTE COMPANY,309804773.84
VERITAAQ TECHNOLOGY HOUSE,308009966.07
HEWLETT PACKARD,295193832.3
COSSETTE COMMUNICATIONS,277899678.93
SERCO,269764363.2
FORD MOTOR COMPANY,267435069.8
MUFACTOR,256160830
TPG TECHNOLOGY CONSULTANTS,241272297.49
FTI PROFESSIONAL GRADE,237300000
IRVING OIL,224162958.3
MODIS CANADA,217342133.97
PARSONS CANADA,212426824.24
EXCEL HUMAN RESOURCES,208543781.02
THORNHILL MEDICAL,200695001.3
UNITED STATES DEPARTMENT OF THE NAVY,193943478.37
ROGERS,182161673.14
VFS GLOBAL,178758771.34
RHEINMETALL,177142102.49
TEKSYSTEMS CANADA,175758871.71
SUN LIFE ASSURANCE COMPANY,174383765.53
IBISKA TELECOM,173233494.7
VIRTUAL POSSIBILITIES DIVISION,172977959.2
GARTNER,171691451.75
MAPLESOFT CONSULTING,170231378.13
CANADIAN EMERGENCY VENTILATORS,169500000
MCKESSON CANADA,168925897.03
CGI,168204691.87
TERAMACH TECHNOLOGIES,167296478.89
COFOMO,167142809.07
WEIR CANADA,166349070.37
CAMPBELL DRUG STORES,165206000
PAL AEROSPACE,164051948.09
GENERAL MOTORS,163314411.48
ACCENTURE,161674821.38
STANTEC,158227731.04
SPARTAN BIOSCIENCE,149048550
DONNA CONA,147279619.49
SYSTEMATIX SOLUTIONS,146328852.89
WEATHERHAVEN CANADA,145628692.51
HOLMAN FENWICK WILLAN,144098850
WORLD FUEL SERVICES,143252658.96
SHELL CANADA PRODUCTS,142672008.37
ADGA GROUP,141868940.86
PMG TECHNOLOGIES,137803092.6
LOGISTIK UNICORP,136560502.39
SAAB,132313882.31
DECISIVE TECHNOLOGIES,132200265.13
COLLIERS PROJECT LEADERS,131996347.83
CDW CANADA,128385077.42
EXPRESS SCRIPTS CANADA,127094684.76
CUBIC DEFENSE APPLICATIONS,126877137.3
CORADIX TECHNOLOGY CONSULTING,126436008.21
VMWARE,124244351.09
MINDWIRE SYSTEMS,123477017.85
COLT CANADA,121342360.27
UNITED STATES DEPARTMENT OF THE AIR FORCE,119318309.3
MEDAVIE,117809010.9
2KEYS,117422180.75
ITEX,116652377.97
MONERIS,115212325.5
NEWDOCK ST JOHN S DOCKYARD,114989975.77
IMPERIAL OIL,114513032.27
COMPUTER ASSOCIATES CANADA,114302521.48
RANDSTAD,114272138.02
ISOPLEX,113565000
SAP,112289248.17
WCG INTERNATIONAL CONSULTANTS,110888474.27
WARTSILA,110596767.62
ATCO,110294041.7
THE STEVENS COMPANY,109820308.77
PETER KIEWIT SONS,106851380.45
ZAYO CANADA,106131256.66
ALTIS HUMAN RESOURCES,105630024.03
CISTEL TECHNOLOGY,104396539.37
TEKNION,104156837.09
INSA,103952599.33
LUMINULTRA TECHNOLOGIES,102986210.97
STONEWORKS TECHNOLOGIES,101997161.28
PARKLAND REFINING,99398481.81
TELESAT,95873543.13
AECOM,95121920.74
OKANAGAN AGGREGATES,94995216.26
DEXTER CONSTRUCTION,94644765.88
GOLDER ASSOCIATES,94479414.84
JOHN HOWARD SOCIETY,92145734.11
INMARSAT SOLUTIONS,91988981.88
ADVANCED CHIPPEWA TECHNOLOGIES,88611799.99
CACHE COMPUTER CONSULTING,88120850.73
SALVATION ARMY,86258352.44
MILESTONE ENVIRONMENTAL,84871243.56
HYPERTEC,84781034.16
HONEYWELL,84430639.71
BLACK MCDONALD,84295391.15
COMPUTERSHARE INVESTOR SERVICES,83667675.93
TIREE,82641974.06
HIKE METAL PRODUCTS,81123379.1
FFG,81066368.11
QUANTUM MANAGEMENT SERVICES,78990542.23
TOSHIBA CANADA,78956417.78
TOROMONT,78772902.13
THE AIM GROUP,77390836.54
SCA SHIPPING CONSULTANTS ASSOCIATED,75588123.64
FLUID ENERGY GROUP,74641995.15
INFOSYS,73291002.31
ATLANTIC TOWING,72193770.46
COMPUCOM CANADA,72102290.33
KPMG,71993177.06
ECLIPSYS SOLUTIONS,71476624.32
TISSEUR,69317959.97
SUPERMAX HEALTHCARE CANADA,69305076.93
ENGLOBE,69202737.09
"NAHANNI CONSTRUCTION",68949706.96
ABB,68901475.71
DELL COMPUTER,68103258.1
IRON MOUNTAIN,67804503.93
TELECOM COMPUTER SERVICES,67800239.04
DADS,67748840.32
FCA CANADA,66157280.53
11983890 CANADA CENTRE,65812562.19
OPENTEXT,65720706.76
ONX ENTERPRISE SOLUTIONS,65575729.88
QINETIQ,65401142.19
LEONARDO GERMANY FKA SELEX ES GMBH,65378648.48
XEROX,65365350.67
BROOKFIELD ASSET MANAGEMENT,65249697.4
