,Unnamed: 0,economic_object_code,description_en,category_x,category_y
0,0,414,Human resources services,2_professional_services,2_professional_services
1,1,0494,0493 Interpretation services,2_professional_services,
2,2,0473,0473 Information Technology and Telecommunications Consultants,3_information_technology,
3,3,0492,0492 Research Contracts,2_professional_services,
4,4,0859,0859 Other business services not elsewhere specified,,
5,5,0447,0447 Tuition fees and costs of attending courses including semina,9_human_capital,
6,6,0351,Communications professional services not elsewhere specified,2_professional_services,
7,7,0499,Other professional services not elsewhere specified,2_professional_services,
8,8,0491,Management consulting,2_professional_services,
9,9,0493,Interpretation services,2_professional_services,
10,10,473,0473 Information Technology and Telecommunications Consultants,3_information_technology,3_information_technology
11,11,499,0499 Other professional services not elsewhere specified,2_professional_services,2_professional_services
12,12,351,0351 Communications professional services not elsewhere specified,2_professional_services,2_professional_services
13,13,1231,"1231 Office furniture and furnishings, incl. Parts",10_office_management,10_office_management
14,14,0332,0332 Audio visual services,3_information_technology,
15,15,0424,0424 Interpretation Services,2_professional_services,
16,16,0361,0361 Communications - Web Services Subscriptions,9_human_capital,
17,17,813,Temporary help services,2_professional_services,2_professional_services
18,18,494,Translation services,2_professional_services,2_professional_services
19,19,491,Management consulting,2_professional_services,2_professional_services
20,20,1284,Client software related to Distributed Computing,3_information_technology,3_information_technology
21,21,447,Tuition fees and costs of attending courses including seminars not elsewhere specified,9_human_capital,9_human_capital
22,22,448,Purchase of training packages and courses,9_human_capital,9_human_capital
23,23,332,Audio-visual services,3_information_technology,3_information_technology
24,24,1223,"Image/Video communications equipment (includes telepresence/video conferencing equipment, cabling, parts and peripherals)",3_information_technology,3_information_technology
25,25,361,Electronic subscriptions and electronic publications,9_human_capital,9_human_capital
26,26,859,Other business services not elsewhere specified,,2_professional_services
27,27,1249,Other equipment and Parts,6_industrial_products_and_services,6_industrial_products_and_services
28,28,1283,Computer equipment related to Distributed Computing Environment (DCE) - Desktop/personal/portable (includes all related parts and peripherals),3_information_technology,3_information_technology
29,29,533,"Rental of machinery, office furniture and fixtures and other equipment",10_office_management,10_office_management
30,30,493,Interpretation services,2_professional_services,2_professional_services
31,31,460,Protection services,8_security_and_protection,8_security_and_protection
32,32,1285,Application software (including COTS) and application development and delivery software,3_information_technology,3_information_technology
33,33,672,"Computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",3_information_technology,3_information_technology
34,34,583,License/Maintenance fees for application software (including COTS) and application development and delivery software,3_information_technology,3_information_technology
35,35,585,License/Maintenance fees for networking software,3_information_technology,3_information_technology
36,36,446,Training consultants,9_human_capital,9_human_capital
37,37,401,Accounting and audit services,2_professional_services,2_professional_services
38,38,582,License/Maintenance fees for client software related to Distributed Computing Environment (DCE),3_information_technology,3_information_technology
39,39,212,POSTAGE AND PARCEL POST,10_office_management,10_office_management
40,40,668,"IMAGE/VIDEO COMMUNICATIONS EQUIPMENT (INCLUDES TELEPRESENCE/VIDEO CONFERENCING EQUIPMENT, CABLING, PARTS AND PERIFERALS)",3_information_technology,3_information_technology
41,41,1282,"COMPUTER EQUIPMENT RELATED TO PRODUCTION AND OPERATIONS (P&O) ENVIRONMENT - ALL SERVERS, STORAGE, PRINTERS, ETC. (INCLUDES ALL RELATED PARTS AND PERIFERALS)",3_information_technology,3_information_technology
42,42,301,ADVERTISING SERVICES,2_professional_services,2_professional_services
43,43,1289,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",3_information_technology,3_information_technology
44,44,0813,Temporary help services,2_professional_services,
45,45,0533,"Rental of machinery, office furniture and fixtures and other equipment",10_office_management,
46,46,0672,"Computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",3_information_technology,
47,47,0403,Financial management services,2_professional_services,
48,48,0446,Training consultants,9_human_capital,
49,49,0210,Transportation of things not elsewhere specified,5_transportation_and_logistics,
50,50,0582,License/Maintenance Fees Client Software,3_information_technology,
51,51,584,"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",3_information_technology,3_information_technology
52,52,1287,Networking software,3_information_technology,3_information_technology
53,53,0819,Non-professional personal service contracts not elsewhere specified,2_professional_services,
54,54,0585,License/Maintenance fees for networking software,3_information_technology,
55,55,311,Publishing services,2_professional_services,2_professional_services
56,56,410,Legal services,2_professional_services,2_professional_services
57,57,0410,Legal services,2_professional_services,
58,58,341,Communications Research Services,2_professional_services,2_professional_services
59,59,0664,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",3_information_technology,
60,60,0583,License/Maintenance fees for application software (including COTS) and application development and delivery software,3_information_technology,
61,61,0584,"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",3_information_technology,
62,62,1286,"Operating system and utility software related to servers, storage, peripherals and components",3_information_technology,3_information_technology
63,63,0460,Protection services,8_security_and_protection,
64,64,0448,Purchase of training packages and courses,9_human_capital,
65,65,1291,Image/Video communications software (includes telepresence/video conferencing software),3_information_technology,3_information_technology
66,66,0311,Publishing Services,2_professional_services,
67,67,0401,Accounting and audit services,2_professional_services,
68,68,0590,License/Maintenance fees for image/video communications software (includes telepresence/video conferencing software),3_information_technology,
69,69,0665,Other equipment,3_information_technology,
70,70,0668,"Image/Video communications equipment (includes telepresence/video conferencing equipment, cabling, parts, and peripherals)",3_information_technology,
71,71,819,Non-professional personal service contracts not elsewhere specified,2_professional_services,10_office_management
72,72,630,Office buildings,1_facilities_and_construction,1_facilities_and_construction
73,73,821,Membership fees,9_human_capital,9_human_capital
74,74,210,Transportation of things not elsewhere specified,5_transportation_and_logistics,5_transportation_and_logistics
75,75,331,Exposition services,2_professional_services,2_professional_services
76,76,611,Waterworks and Sewage Systems,1_facilities_and_construction,1_facilities_and_construction
77,77,213,Courier services,5_transportation_and_logistics,5_transportation_and_logistics
78,78,430,Scientific services,2_professional_services,2_professional_services
79,79,811,Contracted building cleaning,1_facilities_and_construction,1_facilities_and_construction
80,80,665,Other equipment,3_information_technology,6_industrial_products_and_services
81,81,420,Engineering services not elsewhere specified,1_facilities_and_construction,1_facilities_and_construction
82,82,645,Other buildings,1_facilities_and_construction,1_facilities_and_construction
83,83,658,"Electric lighting, distribution and control equipment",1_facilities_and_construction,1_facilities_and_construction
84,84,1261,Road motor vehicles,5_transportation_and_logistics,5_transportation_and_logistics
85,85,1242,"Electric lighting, distribution and control equipment and Parts",1_facilities_and_construction,1_facilities_and_construction
86,86,451,Other health services not elsewhere specified,4_medical,4_medical
87,87,656,"Heating, air-conditioning and refrigeration equipment",1_facilities_and_construction,1_facilities_and_construction
88,88,1264,Other vehicles,5_transportation_and_logistics,5_transportation_and_logistics
89,89,1243,"Measuring, controlling, laboratory, medical and optical equipment and parts",6_industrial_products_and_services,6_industrial_products_and_services
90,90,1364,Laboratories,1_facilities_and_construction,1_facilities_and_construction
91,91,1160,Ferrous metals,6_industrial_products_and_services,6_industrial_products_and_services
92,92,431,Scientific consultants,2_professional_services,2_professional_services
93,93,1339,Other engineering works,1_facilities_and_construction,1_facilities_and_construction
94,94,1124,Diesel fuel,5_transportation_and_logistics,5_transportation_and_logistics
95,95,628,Other engineering works,1_facilities_and_construction,1_facilities_and_construction
96,96,1122,Gasoline,5_transportation_and_logistics,5_transportation_and_logistics
97,97,1219,Other machinery and parts,6_industrial_products_and_services,3_information_technology
98,98,703,Sewer and water,1_facilities_and_construction,1_facilities_and_construction
99,99,1126,Heavy fuel oil,5_transportation_and_logistics,5_transportation_and_logistics
100,100,1340,Office buildings,1_facilities_and_construction,1_facilities_and_construction
101,101,496,Services related to the remediation of contaminated sites,1_facilities_and_construction,1_facilities_and_construction
102,102,421,Architectural services,1_facilities_and_construction,1_facilities_and_construction
103,103,660,"Measuring, controlling, laboratory, medical and optical instruments, apparatus and accessories",1_facilities_and_construction,1_facilities_and_construction
104,104,1245,Safety and sanitation equipment and parts,6_industrial_products_and_services,6_industrial_products_and_services
105,105,1139,Miscellaneous Chemical products,6_industrial_products_and_services,6_industrial_products_and_services
106,106,1111,"Live animals, including their fodder",6_industrial_products_and_services,6_industrial_products_and_services
107,107,422,Engineering consultants-Construction,1_facilities_and_construction,1_facilities_and_construction
108,108,1121,"Salt, sulphur, ores, earth and stone",6_industrial_products_and_services,6_industrial_products_and_services
109,109,655,Processing machinery,6_industrial_products_and_services,6_industrial_products_and_services
110,110,1263,Road motor vehicles Parts,5_transportation_and_logistics,5_transportation_and_logistics
