,economic_object_code,description_en,category
0,414,Human resources services,2_professional_services
1,0494,0493 Interpretation services,
2,0473,0473 Information Technology and Telecommunications Consultants,
3,0492,0492 Research Contracts,
4,0859,0859 Other business services not elsewhere specified,
5,0447,0447 Tuition fees and costs of attending courses including semina,
6,0351,Communications professional services not elsewhere specified,2_professional_services
7,0499,Other professional services not elsewhere specified,2_professional_services
8,0491,Management consulting,2_professional_services
9,0493,Interpretation services,2_professional_services
10,473,0473 Information Technology and Telecommunications Consultants,
11,499,0499 Other professional services not elsewhere specified,
12,351,0351 Communications professional services not elsewhere specified,
13,1231,"1231 Office furniture and furnishings, incl. Parts",
14,0332,0332 Audio visual services,
15,0424,0424 Interpretation Services,
16,0361,0361 Communications - Web Services Subscriptions,
17,813,Temporary help services,2_professional_services
18,494,Translation services,2_professional_services
19,491,Management consulting,2_professional_services
20,1284,Client software related to Distributed Computing ,
21,447,Tuition fees and costs of attending courses including seminars not elsewhere specified,9_human_capital
22,448,Purchase of training packages and courses,9_human_capital
23,332,Audio-visual services,3_information_technology
24,1223,"Image/Video communications equipment (includes telepresence/video conferencing equipment, cabling, parts and peripherals)",3_information_technology
25,361,Electronic subscriptions and electronic publications,9_human_capital
26,859,Other business services not elsewhere specified,2_professional_services
27,1249,Other equipment and Parts,6_industrial_products_and_services
28,1283,Computer equipment related to Distributed Computing Environment (DCE) - Desktop/personal/portable (includes all related parts and peripherals),3_information_technology
29,533,"Rental of machinery, office furniture and fixtures and other equipment",
30,493,Interpretation services,2_professional_services
31,460,Protection services,8_security_and_protection
32,1285,Application software (including COTS) and application development and delivery software,3_information_technology
33,672,"Computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",
34,583,License/Maintenance fees for application software (including COTS) and application development and delivery software,3_information_technology
35,585,License/Maintenance fees for networking software,3_information_technology
36,446,Training consultants,9_human_capital
37,401,Accounting and audit services,2_professional_services
38,582,License/Maintenance fees for client software related to Distributed Computing Environment (DCE),3_information_technology
39,212,POSTAGE AND PARCEL POST,10_office_management
40,668,"IMAGE/VIDEO COMMUNICATIONS EQUIPMENT (INCLUDES TELEPRESENCE/VIDEO CONFERENCING EQUIPMENT, CABLING, PARTS AND PERIFERALS)",
41,1282,"COMPUTER EQUIPMENT RELATED TO PRODUCTION AND OPERATIONS (P&O) ENVIRONMENT - ALL SERVERS, STORAGE, PRINTERS, ETC. (INCLUDES ALL RELATED PARTS AND PERIFERALS)",
42,301,ADVERTISING SERVICES,2_professional_services
43,1289,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",3_information_technology
44,0813,Temporary help services,2_professional_services
45,0533,"Rental of machinery, office furniture and fixtures and other equipment",
46,0672,"Computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",
47,0403,Financial management services,2_professional_services
48,0446,Training consultants,9_human_capital
49,0210,Transportation of things not elsewhere specified,5_transportation_and_logistics
50,0582,License/Maintenance Fees Client Software,
51,584,"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",3_information_technology
52,1287,Networking software,3_information_technology
53,0819,Non-professional personal service contracts not elsewhere specified,
54,0585,License/Maintenance fees for networking software,3_information_technology
55,311,Publishing services,2_professional_services
56,410,Legal services,2_professional_services
57,0410,Legal services,2_professional_services
58,341,Communications Research Services,2_professional_services
59,0664,"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",3_information_technology
60,0583,License/Maintenance fees for application software (including COTS) and application development and delivery software,3_information_technology
61,0584,"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",3_information_technology
62,1286,"Operating system and utility software related to servers, storage, peripherals and components",3_information_technology
63,0460,Protection services,8_security_and_protection
64,0448,Purchase of training packages and courses,9_human_capital
65,1291,Image/Video communications software (includes telepresence/video conferencing software),
66,0311,Publishing Services,2_professional_services
67,0401,Accounting and audit services,2_professional_services
68,0590,License/Maintenance fees for image/video communications software (includes telepresence/video conferencing software),3_information_technology
69,0665,Other equipment,3_information_technology
70,0668,"Image/Video communications equipment (includes telepresence/video conferencing equipment, cabling, parts, and peripherals)",3_information_technology
71,819,Non-professional personal service contracts not elsewhere specified,
72,630,Office buildings,1_facilities_and_construction
73,821,Membership fees,9_human_capital
74,210,Transportation of things not elsewhere specified,5_transportation_and_logistics
75,331,Exposition services,2_professional_services
76,611,Waterworks and Sewage Systems,1_facilities_and_construction
77,213,Courier services,5_transportation_and_logistics
78,430,Scientific services,2_professional_services
