d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,716701.88,738173.66
1_facilities_and_construction,2018-2019,929453.83,949207.98
1_facilities_and_construction,2019-2020,677656.58,670045.07
1_facilities_and_construction,2020-2021,879111.93,835083.12
1_facilities_and_construction,2021-2022,2146158.48,1995209.31
1_facilities_and_construction,2022-2023,1191335.29,1066413.54
10_office_management,2017-2018,20803.91,21416.24
10_office_management,2019-2020,5435.35,5311.28
10_office_management,2020-2021,14131.90,13349.41
10_office_management,2022-2023,149640.74,132423.89
11_defence,2017-2018,13355734.15,13773279.12
11_defence,2018-2019,10170639.54,10375251.38
11_defence,2019-2020,6097643.67,6057877.05
11_defence,2020-2021,4204469.84,3996809.82
11_defence,2021-2022,6495917.87,6020372.08
11_defence,2022-2023,7999146.58,7140457.40
2_professional_services,2017-2018,45120.89,46527.96
3_information_technology,2017-2018,17372.46,17939.93
3_information_technology,2018-2019,102265.99,104571.36
3_information_technology,2019-2020,36164.43,36276.34
3_information_technology,2020-2021,38514.92,36935.91
3_information_technology,2022-2023,2806.31,2483.43
4_medical,2017-2018,4164.52,4295.13
5_transportation_and_logistics,2017-2018,34953.91,36068.45
5_transportation_and_logistics,2018-2019,457565.34,467098.37
5_transportation_and_logistics,2019-2020,886029.85,882459.76
5_transportation_and_logistics,2020-2021,153011.59,145791.70
5_transportation_and_logistics,2021-2022,388519.09,355334.33
5_transportation_and_logistics,2022-2023,542416.49,485886.37
6_industrial_products_and_services,2017-2018,9862309.06,10168435.14
6_industrial_products_and_services,2018-2019,10040443.33,10232573.09
6_industrial_products_and_services,2019-2020,8578536.70,8523607.05
6_industrial_products_and_services,2020-2021,4731146.62,4503092.51
6_industrial_products_and_services,2021-2022,5602138.40,5225412.09
6_industrial_products_and_services,2022-2023,5359341.02,4787969.81
