d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
A NET SOLUTIONS,2017-2018,17515.00,18025.11
A NET SOLUTIONS,2018-2019,21017.84,21295.86
A NET SOLUTIONS,2019-2020,48393.26,48083.69
A NET SOLUTIONS,2020-2021,25939.13,24696.00
A NET SOLUTIONS,2021-2022,36090.46,33780.37
ACME FUTURE SECURITY CONTROLS,2017-2018,37536.34,38663.46
ACME FUTURE SECURITY CONTROLS,2018-2019,65121.02,66256.79
ACME FUTURE SECURITY CONTROLS,2019-2020,72857.82,72273.13
ACME FUTURE SECURITY CONTROLS,2020-2021,72658.75,69271.00
ACME FUTURE SECURITY CONTROLS,2021-2022,72658.75,67991.23
ACOSYS CONSULTING SERVICES,2021-2022,50850.00,47925.39
ADVANCED BUSINESS INTERIORS,2017-2018,15734.21,16280.97
ADVANCED BUSINESS INTERIORS,2018-2019,30940.35,31262.22
ADVANCED BUSINESS INTERIORS,2019-2020,399262.32,393417.99
ADVANCED BUSINESS INTERIORS,2020-2021,806507.88,769101.24
ADVANCED BUSINESS INTERIORS,2021-2022,473397.22,443570.89
ADVANCED CHIPPEWA TECHNOLOGIES,2018-2019,14119.46,14326.23
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,16127.71,16034.31
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,622198.90,590392.40
ADVANCED CHIPPEWA TECHNOLOGIES,2021-2022,2089250.42,1937967.45
ALGONQUIN COLLEGE,2019-2020,18645.00,18712.82
ALTIS HUMAN RESOURCES,2017-2018,138330.67,142512.02
ALTIS HUMAN RESOURCES,2018-2019,212833.37,216565.62
ALTIS HUMAN RESOURCES,2019-2020,248596.73,247100.64
ALTIS HUMAN RESOURCES,2020-2021,112241.36,107008.05
ALTIS HUMAN RESOURCES,2021-2022,127114.99,118555.24
AON REED STENHOUSE,2018-2019,10834.82,10927.23
AON REED STENHOUSE,2019-2020,72100.83,71522.21
APPLIED ELECTONICS,2021-2022,10146.27,9616.49
ARTEMP PERSONNEL SERVICES,2020-2021,12362.20,11825.32
ARUP CANADA,2017-2018,3161386.05,3258280.12
ARUP CANADA,2018-2019,3161386.05,3219172.96
ARUP CANADA,2019-2020,3170047.38,3144607.43
ARUP CANADA,2020-2021,3161386.05,3013984.73
ARUP CANADA,2021-2022,2381866.20,2249507.38
AVI SPL,2021-2022,318461.99,297677.09
BDO CANADA,2017-2018,83118.54,85750.17
BDO CANADA,2018-2019,13779.22,13896.73
CANADA POST,2021-2022,21264.37,19813.87
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,84599.69,87192.61
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,154528.30,157354.00
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,220102.48,218336.14
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,258535.78,246481.41
CANADIAN CORPS OF COMMISSIONAIRES,2021-2022,188860.06,176727.89
CANON,2017-2018,36611.82,37706.49
CANON,2018-2019,109660.39,111494.80
CANON,2019-2020,194735.11,192989.21
CANON,2020-2021,194846.49,185705.08
CANON,2021-2022,125707.64,117875.74
CANSEL SURVEY EQUIPMENT,2017-2018,16418.90,16921.95
CANSEL SURVEY EQUIPMENT,2018-2019,181.93,186.57
CANSEL SURVEY EQUIPMENT,2019-2020,87.36,85.28
CANSEL SURVEY EQUIPMENT,2020-2021,10630.74,10135.07
CANSEL SURVEY EQUIPMENT,2021-2022,10941.52,10237.23
CBCI TELECOM,2017-2018,101262.96,104143.45
CBCI TELECOM,2018-2019,174780.63,176271.21
CBCI TELECOM,2019-2020,15503.84,15169.52
CBCI TELECOM,2020-2021,92740.76,89125.02
CBCI TELECOM,2021-2022,87076.23,81556.62
CDW CANADA,2018-2019,22341.59,22532.13
CDW CANADA,2021-2022,19155.82,17787.87
CGI,2017-2018,3949589.60,4070641.51
CGI,2018-2019,3949589.60,4021784.06
CGI,2019-2020,3960410.39,3928627.70
CGI,2020-2021,2791764.70,2665040.41
CHARRON HUMAN RESOURCES,2021-2022,41923.00,38848.83
CIMA,2019-2020,10316.86,10071.11
CIMA,2020-2021,58650.19,55912.06
CIMA,2021-2022,130861.74,122455.32
CISION CANADA,2017-2018,85124.75,87733.76
CISION CANADA,2018-2019,87862.42,89468.46
CISION CANADA,2019-2020,92331.69,91590.72
CISION CANADA,2020-2021,92079.41,87786.16
CISION CANADA,2021-2022,96834.10,90518.64
CISTEL TECHNOLOGY,2021-2022,64406.53,59379.22
CLOSEREACH,2018-2019,121472.61,123221.75
CLOSEREACH,2019-2020,198477.58,196884.77
CLOSEREACH,2020-2021,197935.29,188706.45
CLOSEREACH,2021-2022,197935.29,185220.13
COLLIERS PROJECT LEADERS,2021-2022,39550.00,35961.65
CONTRACT COMMUNITY,2017-2018,1794.50,1844.47
CONTRACT COMMUNITY,2018-2019,5239.95,5335.73
CONTRACT COMMUNITY,2019-2020,5254.30,5212.14
CONVERSART CONSULTING,2017-2018,16780.50,17247.76
CORADIX TECHNOLOGY CONSULTING,2017-2018,1948642.97,2007814.08
CORADIX TECHNOLOGY CONSULTING,2018-2019,2371739.94,2414971.06
CORADIX TECHNOLOGY CONSULTING,2019-2020,2365705.81,2346720.79
CORADIX TECHNOLOGY CONSULTING,2020-2021,2359242.14,2249241.21
CORADIX TECHNOLOGY CONSULTING,2021-2022,2359242.14,2207686.88
CPCS TRANSCOM,2019-2020,40579.00,39612.38
CPCS TRANSCOM,2020-2021,167849.51,158180.58
DALIAN ENTERPRISES,2017-2018,121757.05,125488.81
DALIAN ENTERPRISES,2018-2019,34025.26,34882.44
DELL COMPUTER,2020-2021,30763.12,29563.17
DELOITTE,2017-2018,1828079.64,1883843.75
DELOITTE,2018-2019,194571.08,199166.36
DELOITTE,2019-2020,28198.64,28266.49
DELOITTE,2021-2022,61573.42,56744.12
DONNA CONA,2019-2020,58911.59,57663.56
DONNA CONA,2020-2021,47025.91,44317.00
DONNA CONA,2021-2022,89857.60,84586.37
DYNAMIC PERSONNEL CONSULTANTS,2017-2018,6919.19,7109.86
DYNAMIC PERSONNEL CONSULTANTS,2018-2019,61345.01,62379.25
DYNAMIC PERSONNEL CONSULTANTS,2019-2020,40236.67,39994.41
DYNAMIC PERSONNEL CONSULTANTS,2021-2022,60023.04,55301.15
EAGLE PROFESSIONAL RESOURCES,2017-2018,7488.82,7695.19
EAGLE PROFESSIONAL RESOURCES,2018-2019,16919.18,17350.96
EBERHARD VON HUENE ASSOCIATES,2017-2018,16858.20,17370.72
EBSCO CANADA,2018-2019,31270.72,31537.41
EBSCO CANADA,2019-2020,111401.95,111008.05
ERNST YOUNG,2017-2018,22600.00,23226.46
ERNST YOUNG,2019-2020,53763.78,52793.37
ERNST YOUNG,2020-2021,60360.57,57468.21
ESRI,2019-2020,24365.63,23785.22
ESRI,2020-2021,13881.50,13266.22
ESRI,2021-2022,36986.52,34165.10
EVALUATION PERSONNEL SELECTION,2017-2018,8839.50,9083.09
EVALUATION PERSONNEL SELECTION,2018-2019,6276.67,6382.00
EVALUATION PERSONNEL SELECTION,2019-2020,19371.43,19215.97
EVALUATION PERSONNEL SELECTION,2020-2021,56666.66,54024.55
EVALUATION PERSONNEL SELECTION,2021-2022,56666.66,53026.46
EXCEL HUMAN RESOURCES,2017-2018,104934.21,108174.71
EXCEL HUMAN RESOURCES,2018-2019,129270.35,130922.28
EXCEL HUMAN RESOURCES,2019-2020,461201.23,457465.63
EXCEL HUMAN RESOURCES,2020-2021,418415.39,398882.60
EXCEL HUMAN RESOURCES,2021-2022,444768.99,416658.64
FMC PROFESSIONALS,2018-2019,108667.35,110445.75
GARTNER,2017-2018,135279.67,139273.31
GARTNER,2018-2019,288277.23,292481.22
GARTNER,2019-2020,301139.86,298333.42
GARTNER,2020-2021,127003.01,121081.31
GARTNER,2021-2022,240492.07,223549.17
GC STRATEGIES,2017-2018,403867.24,416245.46
GC STRATEGIES,2018-2019,403867.24,411249.52
GC STRATEGIES,2019-2020,304283.54,303432.10
GOLDER ASSOCIATES,2017-2018,24661.24,25351.85
GOLDER ASSOCIATES,2018-2019,56258.45,57286.80
GOLDER ASSOCIATES,2019-2020,13717.81,13767.71
GOLDER ASSOCIATES,2020-2021,33272.39,31764.28
GOLDER ASSOCIATES,2021-2022,66727.59,62441.08
GOSS GILROY,2017-2018,81280.70,83623.42
GOSS GILROY,2018-2019,144719.30,147364.62
GRAYBRIDGE INTERNATIONAL CONSULTING,2017-2018,361391.19,372467.55
GRAYBRIDGE INTERNATIONAL CONSULTING,2018-2019,361391.19,367997.05
GRAYBRIDGE INTERNATIONAL CONSULTING,2019-2020,362381.30,359473.15
GRAYBRIDGE INTERNATIONAL CONSULTING,2020-2021,361391.19,344541.13
GRAYBRIDGE INTERNATIONAL CONSULTING,2021-2022,361391.19,338175.79
GROUPE ABS,2017-2018,670785.58,691344.64
GROUPE ABS,2018-2019,670785.58,683046.85
GROUPE ABS,2019-2020,672623.34,667225.47
GROUPE ABS,2020-2021,670785.58,639509.84
GROUPE ABS,2021-2022,670785.58,627695.01
HYPERTEC,2019-2020,35897.84,35743.95
HYPERTEC,2020-2021,50991.25,48419.38
HYPERTEC,2021-2022,108141.00,99622.79
IBISKA TELECOM,2020-2021,50499.81,48055.64
IBISKA TELECOM,2021-2022,460339.88,425639.34
IBM CANADA,2017-2018,48129.39,49475.56
IBM CANADA,2018-2019,118787.51,120942.79
IBM CANADA,2019-2020,122592.18,121608.36
IBM CANADA,2020-2021,122257.22,116556.92
IBM CANADA,2021-2022,122257.22,114403.55
INFO TECH RESEARCH GROUP,2017-2018,32746.82,33779.27
INFO TECH RESEARCH GROUP,2018-2019,36580.35,37236.08
INFO TECH RESEARCH GROUP,2019-2020,51399.91,50987.22
INFO TECH RESEARCH GROUP,2020-2021,51528.00,49125.48
INFO TECH RESEARCH GROUP,2021-2022,49269.24,46164.07
INSTITUTE ON GOVERNANCE,2020-2021,16950.00,16150.70
IRON MOUNTAIN,2017-2018,4628.77,4770.64
IRON MOUNTAIN,2018-2019,4628.77,4713.38
IRON MOUNTAIN,2019-2020,4641.45,4604.21
KPMG,2018-2019,960500.00,979232.96
KPMG,2021-2022,90058.46,85019.54
LEAN AGILITY,2021-2022,42491.63,38986.20
LEO PISCES SERVICES GROUP,2021-2022,153878.53,142738.02
LINOVATI,2017-2018,115913.22,119311.82
LINOVATI,2018-2019,53586.78,54872.43
LUMINA IT,2017-2018,11423.07,11737.86
LUMINA IT,2018-2019,38522.93,39154.74
MANIFEST COMMUNICATIONS,2017-2018,24860.00,25667.51
MAPLESOFT CONSULTING,2018-2019,28250.00,28586.47
MARKIDO,2018-2019,512.32,516.69
MARKIDO,2019-2020,4573.40,4536.69
MARKIDO,2020-2021,4560.90,4348.25
MARKIDO,2021-2022,4560.90,4267.91
MAVERIN,2018-2019,37713.34,38034.97
MAVERIN,2019-2020,109548.26,109352.47
MAXSYS STAFFING AND CONSULTING,2017-2018,23772.38,24491.99
MDOS CONSULTING,2017-2018,228969.92,235446.68
MDOS CONSULTING,2018-2019,444542.66,452668.44
MDOS CONSULTING,2019-2020,445760.58,442183.31
MDOS CONSULTING,2020-2021,148586.86,140755.04
MEDIA Q,2017-2018,12139.19,12511.24
MEDIA Q,2018-2019,12139.19,12361.08
MEDIA Q,2019-2020,12172.44,12074.76
MEDIA Q,2020-2021,12139.19,11573.19
MELTWATER,2019-2020,12746.67,12443.04
MELTWATER,2020-2021,4202.20,3960.13
MICROSOFT CANADA,2017-2018,88592.72,91308.02
MICROSOFT CANADA,2018-2019,88592.72,90212.10
MICROSOFT CANADA,2019-2020,701568.68,695008.45
MICROSOFT CANADA,2020-2021,868603.64,827874.20
MICROSOFT CANADA,2021-2022,1059058.67,991025.85
MITSUBISHI MOTOR SALES,2017-2018,44933.89,46194.14
MNP,2019-2020,16950.00,16629.66
"NATIONAL ARTS CENTRE",2019-2020,10424.25,10462.17
"NATIONS TRANSLATION GROUP",2020-2021,38081.43,36566.24
"NATIONS TRANSLATION GROUP",2021-2022,27328.62,25943.22
NEWFOUND RECRUITING,2017-2018,36448.87,37460.34
NEWFOUND RECRUITING,2018-2019,181442.16,184758.74
NEWFOUND RECRUITING,2019-2020,132027.30,131494.45
NISHA TECHONOLOGIES,2017-2018,609253.78,626853.20
NISHA TECHONOLOGIES,2018-2019,1419004.68,1434042.45
NISHA TECHONOLOGIES,2019-2020,312508.14,309933.05
NISHA TECHONOLOGIES,2020-2021,301118.28,287078.48
NORTHERN MICRO,2017-2018,11952.46,12281.84
NORTHERN MICRO,2018-2019,117741.11,119066.83
NORTHERN MICRO,2019-2020,191385.57,187446.05
NORTHERN MICRO,2020-2021,260411.67,249455.89
NORTHERN MICRO,2021-2022,1003488.68,930833.05
OPROMA,2017-2018,124945.12,128774.59
OPROMA,2018-2019,124945.12,127228.99
OPROMA,2019-2020,125287.43,124281.99
OPROMA,2020-2021,124945.12,119119.48
OPROMA,2021-2022,124945.12,116918.77
ORACLE CANADA,2018-2019,84016.31,85552.04
ORACLE CANADA,2019-2020,85696.63,85008.91
ORACLE CANADA,2020-2021,87410.56,83335.00
ORACLE CANADA,2021-2022,89158.78,83431.31
PRA,2020-2021,31786.68,30147.82
