d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
ADVANCED BUSINESS INTERIORS,2017-2018,24997.86,25587.11
ADVANCED BUSINESS INTERIORS,2018-2019,24553.48,24804.89
ADVANCED BUSINESS INTERIORS,2019-2020,50262.40,50173.52
ADVANCED BUSINESS INTERIORS,2021-2022,22645.99,0.00
ALTIS HUMAN RESOURCES,2020-2021,23052.00,22094.53
ALTIS HUMAN RESOURCES,2021-2022,64770.55,37393.96
ARI FINANCIAL SERVICES,2019-2020,30366.00,30109.74
ARI FINANCIAL SERVICES,2020-2021,16191.00,15392.30
ASOKAN BUSINESS INTERIORS,2018-2019,56515.37,57157.09
ASOKAN BUSINESS INTERIORS,2019-2020,24408.68,24365.52
AVI SPL CANADA,2018-2019,37160.03,37542.66
BELL CANADA,2017-2018,32321.10,33154.88
BELL CANADA,2018-2019,8358.90,8540.45
BELL CANADA,2019-2020,24943.82,24615.49
BELL CANADA,2020-2021,262013.92,249092.79
BELL CANADA,2021-2022,293166.67,176889.33
CANADA POST,2019-2020,39596.56,39262.41
CANADA POST,2020-2021,14271.90,13567.87
CANADA POST,2021-2022,20303.49,15882.70
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,149327.60,151576.29
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,167844.10,166427.67
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,171044.01,162606.46
CANON,2017-2018,26289.77,26972.68
CANON,2018-2019,13001.08,13227.74
CBCI TELECOM,2021-2022,90504.46,16529.98
CHARRON HUMAN RESOURCES,2019-2020,210.51,205.42
CHARRON HUMAN RESOURCES,2020-2021,17682.99,16822.50
DYNABOOK CANADA,2019-2020,105994.00,104302.23
DYNABOOK CANADA,2020-2021,167658.10,159480.03
FEDERAL EXPRESS CANADA,2020-2021,3148.27,2992.97
FEDERAL EXPRESS CANADA,2021-2022,9076.71,7100.39
FMC PROFESSIONALS,2019-2020,20622.50,20627.75
FMC PROFESSIONALS,2020-2021,36442.50,34419.45
FORD MOTOR COMPANY,2019-2020,128305.80,125648.04
FORD MOTOR COMPANY,2020-2021,94884.30,89640.55
GENERAL MOTORS,2021-2022,71634.15,45713.25
GLOBAL UPHOLSTERY,2018-2019,23263.88,23502.65
GLOBAL UPHOLSTERY,2021-2022,14178.68,212.93
GOSS GILROY,2018-2019,67290.60,67978.79
GRAND TOY,2017-2018,12743.83,13046.98
GRAND TOY,2018-2019,21581.26,21852.24
GRAND TOY,2021-2022,13295.58,5018.10
GRAYBRIDGE INTERNATIONAL CONSULTING,2019-2020,5453.81,5321.82
GRAYBRIDGE INTERNATIONAL CONSULTING,2020-2021,20629.62,19473.95
HAWORTH,2018-2019,19604.32,19797.21
HYPERTEC,2021-2022,18706.43,17586.88
IRON MOUNTAIN,2017-2018,58520.29,60080.80
IRON MOUNTAIN,2018-2019,52945.86,53769.25
IRON MOUNTAIN,2019-2020,38091.06,37769.61
IRON MOUNTAIN,2020-2021,43551.16,41402.79
IRON MOUNTAIN,2021-2022,30470.43,23471.71
KIA CANADA,2021-2022,38963.40,14705.80
LANGUAGE RESEARCH DEVELOPMENT GROUP,2020-2021,10169.50,9723.95
LANGUAGE RESEARCH DEVELOPMENT GROUP,2021-2022,36336.46,27073.61
LUMINA IT,2018-2019,18362.50,18564.64
LUMINA IT,2019-2020,18362.50,18155.45
NISHA TECHONOLOGIES,2019-2020,148584.69,146768.72
NISHA TECHONOLOGIES,2021-2022,176508.25,165906.85
NISSAN CANADA,2018-2019,27507.03,27793.92
NORTHERN MICRO,2020-2021,26161.65,25043.38
NORTHERN MICRO,2021-2022,84854.53,54881.38
PITNEY BOWES,2020-2021,4933.74,4687.76
PITNEY BOWES,2021-2022,23150.98,17113.62
PURESPIRIT SOLUTIONS,2021-2022,78785.41,72052.49
R E GILMORE INVESTMENTS,2017-2018,10032.14,10268.62
RHEA,2019-2020,12712.50,12404.85
RHEA,2020-2021,29238.75,27975.04
RICOH,2017-2018,0.00,0.00
SASKTEL,2020-2021,31500.00,29946.11
SASKTEL,2021-2022,31500.00,24641.34
SHARP ELECTRONICS,2017-2018,4546.30,4664.11
SHARP ELECTRONICS,2018-2019,2665.50,2715.64
SUBARU CANADA,2017-2018,60118.13,61535.24
TELECOM COMPUTER SERVICES,2020-2021,234475.45,221841.71
TELECOM COMPUTER SERVICES,2021-2022,160272.37,148309.20
TELUS CANADA,2020-2021,76020.00,72269.95
TELUS CANADA,2021-2022,75600.00,59139.21
TOSHIBA CANADA,2018-2019,15682.96,15837.26
TOTEM OFFISOURCE,2019-2020,23036.69,23090.83
TYCO INTEGRATED FIRE SECURITY,2020-2021,10652.96,10127.45
UNIVERSITY OF OTTAWA,2017-2018,21640.00,22198.92
UNIVERSITY OF OTTAWA,2018-2019,10396.00,10561.42
UNIVERSITY OF OTTAWA,2019-2020,87819.14,86582.86
UNIVERSITY OF OTTAWA,2020-2021,39870.86,38099.10
UNIVERSITY OF OTTAWA,2021-2022,12430.00,11512.28
WEST WIND AVIATION,2017-2018,42777.00,43885.49
WEST WIND AVIATION,2019-2020,75600.00,74962.01
WEST WIND AVIATION,2020-2021,15750.00,14975.16
XEROX,2017-2018,63948.49,65605.66
XEROX,2018-2019,58600.20,59535.59
XEROX,2019-2020,80650.22,79692.13
XEROX,2020-2021,36731.52,34926.71
XEROX,2021-2022,32636.64,25530.49
