d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
ADVANCED BUSINESS INTERIORS,2019-2020,38948.84,38006.26
ADVANCED BUSINESS INTERIORS,2020-2021,22310.27,21076.60
CEDROM SNI,2018-2019,10127.99,10285.50
CEDROM SNI,2019-2020,10403.34,10315.20
CEDROM SNI,2020-2021,28.50,26.91
FREEBALANCE,2017-2018,29395.82,30157.56
FREEBALANCE,2018-2019,30299.82,30771.03
FREEBALANCE,2019-2020,30896.81,30636.07
FREEBALANCE,2021-2022,31352.16,24525.69
INFO TECH RESEARCH GROUP,2020-2021,1396.56,1315.02
INFO TECH RESEARCH GROUP,2021-2022,40534.28,30673.38
INSA,2021-2022,50194.00,23712.78
ITEX,2018-2019,53296.89,53833.58
ITEX,2019-2020,9010.23,9018.15
ITEX,2020-2021,5109.38,4850.25
ITEX,2021-2022,38613.49,28827.29
LEO PISCES SERVICES GROUP,2018-2019,41569.39,42164.41
LEO PISCES SERVICES GROUP,2019-2020,50047.36,49625.01
LEO PISCES SERVICES GROUP,2020-2021,49910.62,47448.54
LEO PISCES SERVICES GROUP,2021-2022,49910.62,39043.31
MEGALEXIS COMMUNICATIONS,2021-2022,14690.00,11171.13
NOVA NETWORKS,2021-2022,49720.00,46049.12
PROMAXIS,2019-2020,10292.86,10067.54
PROMAXIS,2020-2021,24573.04,23430.74
PROTAK CONSULTING GROUP,2021-2022,24973.00,10880.72
RHEA,2018-2019,24973.00,25218.71
SOFTSIM TECHNOLOGIES,2019-2020,82487.04,81482.41
SOFTSIM TECHNOLOGIES,2020-2021,25721.76,24280.83
UNIVERSITY OF REGINA,2021-2022,22195.21,10390.18
ZAYO CANADA,2017-2018,3009.21,3080.14
ZAYO CANADA,2018-2019,9194.79,9354.98
ZAYO CANADA,2019-2020,12204.00,12101.01
ZAYO CANADA,2020-2021,12204.00,11601.98
ZAYO CANADA,2021-2022,1323.28,0.00
