d_vendor_name,d_fiscal_year,total
AMAZON,2020-2021,22600
BELL CANADA,2017-2018,41810
BELL CANADA,2018-2019,58760
BELL CANADA,2019-2020,57499.83495700294
BELL CANADA,2020-2021,58628.29439803907
CANADA POST,2017-2018,32148.5
CANADA POST,2018-2019,33900
CANADA POST,2019-2020,25000.000000000004
CANADA POST,2020-2021,22600
CDW CANADA,2020-2021,18989.24
CEDROM SNI,2018-2019,10127.99
CEDROM SNI,2019-2020,10403.337704918033
CEDROM SNI,2020-2021,28.502295081967212
CORADIX TECHNOLOGY CONSULTING,2017-2018,581213.1780821917
ECOLE DE LANGUES LA CITE,2017-2018,22476.164383561645
ECOLE DE LANGUES LA CITE,2018-2019,68699.04657534247
ECOLE DE LANGUES LA CITE,2019-2020,80434.12237442922
ECOLE DE LANGUES LA CITE,2020-2021,66594.66666666666
ERNST YOUNG,2018-2019,23340
EXCEL HUMAN RESOURCES,2017-2018,57048.877007706826
FREEBALANCE,2017-2018,29395.82
FREEBALANCE,2018-2019,30299.82
FREEBALANCE,2019-2020,30896.809999999998
GRAND TOY,2018-2019,45200
GRAND TOY,2019-2020,25000.000000000004
GRAND TOY,2020-2021,22600
INFO TECH RESEARCH GROUP,2020-2021,1396.5561643835617
ITEX,2018-2019,53296.88687671233
ITEX,2019-2020,9010.233123287671
ITEX,2020-2021,5109.383232876712
LEO PISCES SERVICES GROUP,2018-2019,66105
LIONBRIDGE,2017-2018,66012.46898263028
MICROSOFT CANADA,2019-2020,51101.70476277372
MICROSOFT CANADA,2020-2021,80283.89261861313
NISHA TECHONOLOGIES,2019-2020,123197.09999999999
OPENTEXT,2017-2018,9420.773753424657
OPENTEXT,2018-2019,19364.34095890411
OPENTEXT,2019-2020,20361.085287671234
OPENTEXT,2020-2021,21647.815424657536
PITNEY BOWES,2017-2018,9403.767123287671
PITNEY BOWES,2018-2019,14125
PITNEY BOWES,2019-2020,4721.232876712329
PROMAXIS,2019-2020,10292.858776595745
PROMAXIS,2020-2021,24573.041223404256
QUANTUM MANAGEMENT SERVICES,2017-2018,32692.555681818183
QUANTUM MANAGEMENT SERVICES,2018-2019,24905.2
ROGERS,2017-2018,32959.69676056338
ROGERS,2018-2019,42441.81323943662
ROGERS,2019-2020,18984
ROGERS,2020-2021,2983.034734917733
SOFTCHOICE,2017-2018,195092.52
SOFTCHOICE,2018-2019,8027.501424657535
SOFTCHOICE,2019-2020,13766.808575342468
SOFTCHOICE,2020-2021,16617.942465753425
SOFTSIM TECHNOLOGIES,2019-2020,82487.03606557377
SOFTSIM TECHNOLOGIES,2020-2021,25721.763934426228
ZAYO CANADA,2017-2018,3009.2054794520545
ZAYO CANADA,2018-2019,9194.794520547945
ZAYO CANADA,2019-2020,12204
ZAYO CANADA,2020-2021,12204
