d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,18432938.95,18926825.25
1_facilities_and_construction,2018-2019,18462201.05,18697799.55
1_facilities_and_construction,2019-2020,18509449.66,18471537.45
1_facilities_and_construction,2020-2021,18410270.98,18023429.50
1_facilities_and_construction,2021-2022,18410270.98,13985185.98
11_defence,2017-2018,607543.19,618456.33
3_information_technology,2018-2019,11800.00,12058.68
6_industrial_products_and_services,2019-2020,1266137.30,1263268.48
6_industrial_products_and_services,2020-2021,763411.16,757393.06
6_industrial_products_and_services,2021-2022,399520.23,303491.71
