d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2021-2022,41887.42,38029.25
1_facilities_and_construction,2017-2018,768515.27,788487.54
1_facilities_and_construction,2018-2019,1196661.70,1213451.06
1_facilities_and_construction,2019-2020,1465681.85,1451684.39
1_facilities_and_construction,2020-2021,1431623.15,1360324.02
1_facilities_and_construction,2021-2022,1365645.32,1266568.76
10_office_management,2017-2018,19478.41,19937.56
10_office_management,2018-2019,17731.35,17905.81
10_office_management,2019-2020,109118.65,107437.51
10_office_management,2020-2021,12635.75,12130.75
10_office_management,2021-2022,28331.21,25903.21
11_defence,2017-2018,11550.00,11828.95
11_defence,2018-2019,12226.86,12488.32
11_defence,2019-2020,12207.86,12171.60
11_defence,2021-2022,7109.17,6576.06
2_professional_services,2017-2018,89044.78,91297.77
2_professional_services,2018-2019,71801.01,72769.13
2_professional_services,2019-2020,121452.30,120291.60
2_professional_services,2020-2021,112856.31,107076.95
2_professional_services,2021-2022,105983.27,96078.83
3_information_technology,2017-2018,290585.05,298228.64
3_information_technology,2018-2019,273208.56,277550.77
3_information_technology,2019-2020,384670.70,378651.49
3_information_technology,2020-2021,175284.82,166698.00
3_information_technology,2021-2022,491801.65,450070.52
4_medical,2017-2018,106971.52,109629.10
4_medical,2018-2019,569000.55,575141.10
4_medical,2019-2020,232039.39,228062.57
4_medical,2020-2021,558374.98,529665.82
4_medical,2021-2022,488004.53,446101.84
6_industrial_products_and_services,2017-2018,12478697.15,12781565.45
6_industrial_products_and_services,2018-2019,8556477.17,8666860.90
6_industrial_products_and_services,2019-2020,9842617.51,9703773.19
6_industrial_products_and_services,2020-2021,18812006.25,17852222.86
6_industrial_products_and_services,2021-2022,12722357.68,11665523.55
9_human_capital,2018-2019,11042.54,11151.19
9_human_capital,2019-2020,46010.60,45862.29
9_human_capital,2021-2022,160316.16,146327.86
