d_vendor_name,total
IRVING SHIPBUILDING,1766338804.66
VANCOUVER SHIPYARDS,1063800809.05
AIRBUS,984724922.76
CALIAN,910483965.12
LOCKHEED MARTIN,705797929.74
MACK TRUCKS,598557085.41
L3HARRIS,568145239.29
THALES,499148514.75
FEDERAL FLEET SERVICES,448951903.51
SIKORSKY AIRCRAFT,438823237.7
SEASPAN VICTORIA SHIPYARDS,422570535.46
CAE,402344891.79
SNC LAVALIN,382437846.55
CASCADE AEROSPACE,349910409.67
KF AEROSPACE,324284466.58
TOP ACES,315163321.87
RAYTHEON,309516966.83
POMERLEAU,301723860.62
SERCO,268737540.86
RHEINMETALL,205486943.71
CHANTIER DAVIE CANADA,196974137.93
UNITED STATES DEPARTMENT OF THE NAVY,193943478.37
IBM CANADA,184631128.56
WEIR CANADA,166345151.32
MACDONALD DETTWILER AND ASSOCIATES,161967481.58
WEATHERHAVEN CANADA,145558410.94
WORLD FUEL SERVICES,142469772.95
SHELL CANADA PRODUCTS,139568004.5
SAAB,132101736.23
CUBIC DEFENSE APPLICATIONS,126839042.6
UNITED STATES DEPARTMENT OF THE AIR FORCE,119318309.3
IRVING OIL,114073999.09
COLT CANADA,111544872.31
CANADIAN CORPS OF COMMISSIONAIRES,108620296.29
IMPERIAL OIL,97595618.72
NISHA TECHONOLOGIES,87426660.87
FFG,81066368.11
SCA SHIPPING CONSULTANTS ASSOCIATED,75273506.22
BABCOCK INTERNATIONAL GROUP,70493100.02
SIMEX DEFENCE,69814017.3
MODIS CANADA,68658075.78
DADS,67748840.32
BROOKFIELD ASSET MANAGEMENT,64100656.95
QINETIQ,63536574.94
TOROMONT,60302081.92
THE BOEING COMPANY,59689206.01
PARKLAND REFINING,57393601.07
FLEETWAY,55718039.59
ATCO,55581968.06
DECISIVE TECHNOLOGIES,53274212.16
VALCOM CONSULTING,53209398.23
SI SYSTEMS,52382538.86
FORD MOTOR COMPANY,51899057.38
UNITED STATES DEPARTMENT OF THE ARMY,48829491.02
PURELOGIC,47138069.49
SANTE MONTFORT,46366212.75
IBISKA TELECOM,45751072.14
MOMENTUM SOLUTIONS,45070486.31
PROMAXIS,44719474.26
"NASITTUQ",43936706.36
MOTOROLA SOLUTIONS CANADA,43357404.07
CEGERCO,42619443.61
BMT FLEET TECHNOLOGY,41947760.77
DEW ENGINEERING,41367813.87
DECAREL,41113410
MAGELLAN AEROSPACE,40580058.85
"NATO SEASPARROW SURFACE MISSILE SYSTEM PROJECT",40536159.41
UTILITIES KINGSTON,40181575.82
ADGA GROUP,39981962.71
ELBIT SYSTEMS EW AND SIGINT ELISRA,39459788.81
DEXTERRA,39237001.95
LOGISTIK UNICORP,39071054.55
ALTIS HUMAN RESOURCES,39061359.69
CORADIX TECHNOLOGY CONSULTING,38701884.8
MLS OVERSEAS,38636915.56
NORTHROP GRUMMAN,37420063.73
GROUPE GEYSER,36912129.98
ENMAX,36661719.74
STONEWORKS TECHNOLOGIES,36543428.85
SOUCY INTERNATIONAL,35997444.39
DEXTER CONSTRUCTION,35351684.59
ITEX,33029460.49
VMWARE,32837011.1
BLACK MCDONALD,32077961.63
IMPERIAL CLEANERS,31227168.81
INDUSTRIES OCEAN,30951716.26
WARTSILA,29880702.68
PRICEWATERHOUSE COOPERS,29627934.4
EXCEL HUMAN RESOURCES,28539730.23
AMAN BUILDERS,28279274.17
SOUTHWEST RESEARCH INSTITUTE,28204407.8
BRONSWERK MARINE,27321803.97
STERLING FUELS,27290092.81
PENNANT CANADA,26455955.06
ULTRA ELECTRONICS,26291103.68
DRS TECHNOLOGIES CANADA,26029481.24
ORACLE CANADA,26020911.27
"NAV CANADA",25734436.32
SAP,25531507.01
KNAPPETT INDUSTRIES,25387282.67
WAJAX,25308868.49
EBC,24816531.46
GDI SERVICES,24451567.85
SANEXEN SERVICES ENVIRONMENTAUX,23938568.02
SITE ENERGY SERVICES,23904367.18
EXXONMOBIL,23829570.17
TITAN AEX,23703814.38
AEREX AVIONICS,23597510.23
MACKINNON AND OLDING,23234729.82
HYPERTEC,22774077.88
SIERRA SYSTEMS GROUP,22526790.33
DRS SUSTAINMENT SYSTEMS DRS SSI,22351797.44
BONDFIELD CONSTRUCTION COMPANY,22143129
CDW CANADA,22130896.67
UNISOURCE,21970466.54
MICHAEL WAGER CONSULTING,21772470.84
LLOYD S REGISTER CANADA,21625453.71
BOMBARDIER,21576855.18
BELL CANADA,21564702.52
PEERLESS GARMENTS,21457366.19
GUNTER LANGKOPF MASCHINENBAU,20675966.34
GENERAL MOTORS,20128794.69
QUAD PRO CONSTRUCTION,19826461.49
MILLER PAVING,19805059.44
PRIMEX PROJECT MANAGEMENT,19784401.34
ENVIROSAFE JANITORIAL,19762592.52
HARRIS TRANSPORT,19695855.19
ALMIQ CONTRACTING,19646749.68
MARINE RECYCLING,19314894
PURESPIRIT SOLUTIONS,19285334.67
JOWA FAHRZEUGTEILE VERTRIEBS,19268111.18
KONGSBERG,19173466.55
APRON FUEL SERVICES,19167429.04
MICROSOFT CANADA,18991195.24
INTER OUTAOUAIS,18957417.68
AERO FEU,18924955.45
BIRD CONSTRUCTION COMPANY,18790890.55
ELLISDON,18558955.87
AEG FUELS,18207178.9
BLUMETRIC ENVIRONMENTAL,18039953.71
ALLIANT TECHSYSTEMS OPERATIONS,18003693.68
STANTEC,17816101.32
UNIVERSITY OF TORONTO,17774771.84
GARTNER,17215428.18
MAXIM CONSTRUCTION,17018378.93
IT NET CONSULTANTS,16594034.03
KRAUSS MAFFEI WEGMANN,16548536.2
DIRECT ENERGY BUSINESS,16412543.37
MAN ENERGY SOLUTIONS CANADA,16380909.09
ESRI,16107069.15
TPG TECHNOLOGY CONSULTANTS,15993532.77
AEG,15902397.36
TELECOM COMPUTER SERVICES,15856876.3
MID VALLEY CONSTRUCTION,15752639.38
ROSCOE CONSTRUCTION,15559132.25
BARGREEN ELLINGSON,15558952.77
BAE SYSTEMS,15467420.54
AIRBORNE SYSTEMS,15414086.57
RGT CLOUTHIER CONSTRUCTION,15292104.17
"NATIONAL TEST PILOT SCHOOL",15030705.93
PATLON AIRCRAFT INDUSTRIES,14988728.89
ZODIAC HURRICANE TECHNOLOGIES,14971427.41
BLUE WATER SYSTEM,14876382
IPSS,14867751.87
LAURENTIAN TECHNOLOGIES,14851828.16
KINETIC CONSTRUCTION,14743791.64
DELOITTE AND TOUCHE,14498663.41
CO VEN,14443095
STRONG BROS GENERAL CONTRACTING,14405063.17
VAN KAPPEL INTERNATIONAL,14359449.03
COMPUCOM CANADA,14302118.85
HFI PYROTECHNICS,13909232.49
AQUA LUNG CANADA,13609849.83
LEVITT SAFETY,13529079.2
DEPARTMENT OF DEFENCE,13515311.98
QUEEN S UNIVERSITY,13500899.3
LYNLEY CONTRACTING SERVICES,13421519.39
ENTREPRISE DE CONSTRUCTION T E Q,13417218.06
FCA CANADA,13369836.06
EMERGENT BIOSOLUTIONS,13356680.2
INDUSTRA CONSTRUCTION,13204323.4
KPMG,13080993.2
CANADIAN BASE OPERATORS,13040859.74
DEFENCE CONSTRUCTION CANADA,12492510.52
THE HALIFAX COMPUTER CONSULTING GROUP,12341198.74
HAWBOLDT INDUSTRIES,12281206.11
FN HERSTAL,12047466.24
GEOSPECTRUM TECHNOLOGIES,12009270.07
RENK AKTIENGECELLSCHAFT,11958613.01
APPAREL TRIMMINGS,11926764.22
CONSTRUCTION COTE FILS,11885872
SYSTEMATIX SOLUTIONS,11818829.3
TACS,11801440.48
AECOM,11703613.85
MOBILE VALVE,11691015.16
FELIX TECHNOLOGY,11675205.49
PYLON ELECTRONICS,11626571.36
PCL CONSTRUCTORS,11598532.65
TELESAT,11381890.31
TORONTO INDUSTRIES,11368805.96
JHT DEFENSE,11356501.29
PERSISTENT SYSTEMS,11296059.54
ECLIPSYS SOLUTIONS,11235519.24
EMCON SERVICES,11175895.35
UVAIR,11167885.78
PACIFIC SAFETY PRODUCTS,11062570.78
OPSIS,11046988.4
TTC GP AND NOTRA JOINT VENTURE,10926624.07
C CORE,10774047.94
MACEWEN PETROLEUM,10598285.99
MEDAVIE,10512512.33
INTEGRATED DISTRIBUTION SYSTEMS,10407690.66
DAIMLER,10376375.01
NOVA SCOTIA POWER,10332648.83
STANLEY CONSTRUCTION,10249933.21
GENERAL ELECTRIC CANADA,10241349.39
A J HANNA CONSTRUCTION,10222631.66
ARTEX SPORTSWEAR,10121385.11
ABCO MAINTENANCE SYSTEMS,9961727.97
HONEYWELL,9881460.58
BLUEWAVE ENERGY,9748977.75
AVJET HOLDING,9711968.63
SUNCOR ENERGY,9706299.97
ABS AMERICAS,9614914.43
EMMONS MITCHELL CONSTRUCTION,9559175.29
MED ENG HOLDINGS,9367677.61
CARLETON UNIVERSITY,9325311.43
FORT GARRY FIRE TRUCK,9312543.1
MEAL KIT SUPPLY CANADA,9279419.16
PROCOM CONSULTANTS,9256887.78
EXCEL 7,9249520
LES HUILES DESROCHES,9201650.12
INTERNATIONAL SAFETY RESEARCH,9075362.16
MERCEDES BENZ CANADA,9070913.1
PETRO AIR SERVICES,8857864.98
CUMMINS CANADA,8797797.68
WAHL CONSTRUCTION,8735616.98
QM DBA QM ENVIRONMENTAL,8660387.33
UQSUQ,8650229
EBSCO CANADA,8591411.81
MARTEC,8554046.71
REVISION MILITARY,8538799.38
ARCHITECTURE 49,8534980.09
MWCO,8394239.77
BEST SERVICE PROS,8332254.73
EASTPOINT ENGINEERING,8305977.16
SUN LIFE ASSURANCE COMPANY,8304666.96
EVOLVECOMP CONSTRUCTION,8268928.49
14343878 ONTARIO,8259805.48
TOSHIBA CANADA,8213566.88
AMERESCO CANADA,8169629.12
MEGGITT,8078902.21
TECHNO FEU,8052423.3
TRM TECHNOLOGIES,8048645.65
NORTRAX CANADA,8046282.64
CASP AEROSPACE,7982759.85
TROY LIFE FIRE SAFETY,7892606.92
TULMAR SAFETY SYSTEMS,7867463.35
DELL COMPUTER,7864613.43
R J MACISAAC CONSTRUCTION,7698564.45
TESTFORCE SYSTEMS,7694970.53
TYR TACTICAL,7591171.84
EASTWAY CONTRACTING,7578985.03
REPUBLIC ARCHITECTURE,7570876.11
UNIVERSAL WEATHER AND AVIATION,7564358.74
ERNST YOUNG,7497360.87
MINDWIRE SYSTEMS,7493908.64
COREBUILD CONSTRUCTION,7447555.65
STOPS TACTICAL TRAINING,7434915.78
DRS ICAS,7424773.61
MARKLAND PAVING,7420317.9
HIGHLANDS FUEL DELIVERY,7375629.56
