d_vendor_name,contracts,contracts_with_amendments,has_amendments_percentage
10647802 CANADA,4,0,0
14343878 ONTARIO,1,0,0
2KEYS,4,2,0.5
3D DATACOMM,6,0,0
3M CANADA COMPANY,1,0,0
4 OFFICE AUTOMATION,6,0,0
4PLAN CONSULTING,9,0,0
73719 NEWFOUNDLAND LABRADOR,23,3,0.1304
A J HANNA CONSTRUCTION,271,1,0.0037
A SANTIN MASON CONTRACTOR,4,4,1
A TECH ROOFING,7,0,0
ABB,10,1,0.1
ABBOTT,1,0,0
ABCO INDUSTRIES,2,0,0
ABCO MAINTENANCE SYSTEMS,54,4,0.0741
ABS AMERICAS,1,0,0
ACCENTURE,15,0,0
ACCESS 2 NETWORKS,5,1,0.2
ACKLANDS GRAINGER,276,4,0.0145
ACME FUTURE SECURITY CONTROLS,3,1,0.3333
ACOSYS CONSULTING SERVICES,3,0,0
ACT,49,2,0.0408
ACTION PERSONNEL OF OTTAWA HULL,1,1,1
ADGA GROUP,35,13,0.3714
ADOBE,1,0,0
ADRM TECHNOLOGY CONSULTING,3,0,0
ADVANCED BUSINESS INTERIORS,11,0,0
ADVANCED CHIPPEWA TECHNOLOGIES,74,2,0.027
AECOM,63,26,0.4127
AEG FUELS,1293,4,0.0031
AEREX AVIONICS,12,2,0.1667
AERO FEU,11,2,0.1818
AFW CONSTRUCTION,48,19,0.3958
AGILENT,27,2,0.0741
AINSWORTH,6,3,0.5
AIR INUIT,5,0,0
AIR LIQUIDE CANADA,21,2,0.0952
AIR TINDI,20,0,0
AIRBUS,10,1,0.1
ALLEN HASTINGS,1,0,0
ALLIANT TECHSYSTEMS OPERATIONS,4,0,0
ALS CANADA,65,5,0.0769
ALTIS HUMAN RESOURCES,115,48,0.4174
AMAZON,9,0,0
AMEC FOSTER WHEELER AMERICAS,2,0,0
AMERESCO CANADA,2,1,0.5
AMRON CONSTRUCTION,138,5,0.0362
AMTECH AERONAUTICAL,10,0,0
ANIXTER CANADA,98,5,0.051
ANSYS CANADA,4,0,0
AON REED STENHOUSE,4,0,0
APEX STEEL GAS,81,2,0.0247
APOTEX,1,0,0
APPAREL TRIMMINGS,25,3,0.12
APPLIED ELECTONICS,78,0,0
APPLIED SYSTEMS ENGINEERING,1,0,0
APRON FUEL SERVICES,348,4,0.0115
AQUA LUNG CANADA,55,7,0.1273
ARCADIS CANADA,18,5,0.2778
ARCHITECTURE 49,131,38,0.2901
ARCP ATLANTIC ROAD CONSTRUCTION,1,0,0
ARI FINANCIAL SERVICES,19,0,0
ARTEMP PERSONNEL SERVICES,2,0,0
ARTEX SPORTSWEAR,9,0,0
ASBEX,1,0,0
ASC GERMANY,4,0,0
ASOKAN BUSINESS INTERIORS,3,0,0
ATCO,28,2,0.0714
ATLANTIC BUSINESS INTERIORS,18,2,0.1111
ATLANTIC ROOFERS,42,5,0.119
ATLANTIC TOWING,2,0,0
ATLANTICA MECHANICAL CONTRACTORS,7,1,0.1429
AV TECH,5,0,0
AVI SPL CANADA,72,0,0
AVJET HOLDING,281,4,0.0142
AVONDALE CONSTRUCTION,14,0,0
AXYS TECHNOLOGIES,3,0,0
B BRAUN OF CANADA,2,1,0.5
BABCOCK INTERNATIONAL GROUP,22,0,0
BAE SYSTEMS,82,1,0.0122
BAJA CONSTRUCTION CANADA,3,1,0.3333
BARGREEN ELLINGSON,230,7,0.0304
BARRON S REFRIGERATION HEATING,95,6,0.0632
BDO CANADA,8,1,0.125
BECKMAN COULTER CANADA,1,0,0
BELAND LAPOINTE,1,0,0
BELL CANADA,65,3,0.0462
BELL TEXTRON,6,4,0.6667
BEST SERVICE PROS,110,7,0.0636
