d_vendor_name,max_years,n
10647802 CANADA,1.23,4
1376387 FLEETWAY,0.64,2
14343878 ONTARIO,3,1
2553164 ONTARIO,0.6,1
2KEYS,3.07,7
3388646 CANADA COMMERCIAL BUILDING CLEANERS,3,3
3D DATACOMM,0.52,9
3M CANADA COMPANY,0.59,2
3V MECHANICAL,0.09,1
4 OFFICE AUTOMATION,5.07,24
6771581 CANADA,0.19,115
828778852PG0001 4527984CANADA,2,1
9172 8766 QUEBEC,1.41,2
9205187 CANADA,0.02,1
A J HANNA,0.85,91
A J HANNA CONSTRUCTION,1.74,297
A O CONTRACTING,0.67,3
A SANTIN MASON CONTRACTOR,2.59,4
A TECH ROOFING,0.58,7
AA STURGEON CONSTRUCTION,1.83,5
ABB,4.21,15
ABBOTT,1.47,1
ABCO INDUSTRIES,0.01,2
ABCO MAINTENANCE SYSTEMS,3.05,56
ABS AMERICAS,5.01,2
ACCENTURE,1.23,20
ACCESS 2 NETWORKS,1.01,5
ACKLANDS GRAINGER,1.92,353
ACME FUTURE SECURITY CONTROLS,1.85,3
ACOSYS CONSULTING SERVICES,2,5
ACRES ENTERPRISES,1.36,3
ACT,5,72
ACTION EXPRESS,0.29,17
ACTION PERSONNEL OF OTTAWA HULL,1.38,1
ADGA GROUP,12.01,65
ADOBE,0.01,1
ADOR TECH,3.47,13
ADRM TECHNOLOGY CONSULTING,1.1,3
ADVANCED BUSINESS INTERIORS,1.44,12
ADVANCED CHIPPEWA TECHNOLOGIES,3.93,100
ADVANCED ENERGY MANAGEMENT,2.04,98
AECOM,9.98,100
AEG FUELS,0.5,2191
AEREX AVIONICS,5.03,26
AERO FEU,3.76,16
AERO SUPPLIES,0.1,1
AG CREATIONS,1.02,45
AGILENT,4.07,40
AINSWORTH,1.91,15
AIR BRAVO,0.02,132
AIR CHARTER SERVICE,0.11,1
AIR INUIT,0.08,5
AIR LIQUIDE CANADA,4.96,31
AIR NORTH,1.02,73
AIR TINDI,3.1,32
AIRBORNE SYSTEMS,2.9,2
