d_vendor_name,mean_original_value,mean_overall_value,n
10647802 CANADA,64541.72,64541.72,4
14343878 ONTARIO,9915385.33,9915385.33,1
2KEYS,649757.83,1878533.27,7
3D DATACOMM,29607.60,29607.60,6
3M CANADA COMPANY,24636.16,24636.16,1
4 OFFICE AUTOMATION,114724.51,114724.51,22
4PLAN CONSULTING,82335.69,88776.69,12
73719 NEWFOUNDLAND LABRADOR,82917.50,90099.57,23
A J HANNA CONSTRUCTION,39714.94,39816.41,272
A SANTIN MASON CONTRACTOR,1319572.89,1630408.91,4
A TECH ROOFING,791006.79,791006.79,7
ABB,242710.49,341564.49,13
ABBOTT,81809.81,81809.81,1
ABCO INDUSTRIES,15772.25,15772.25,2
ABCO MAINTENANCE SYSTEMS,196726.96,196726.96,55
ABS AMERICAS,6196042.00,6196042.00,2
ACCENTURE,124345.67,124345.67,15
ACCESS 2 NETWORKS,90738.14,110039.22,5
ACKLANDS GRAINGER,24015.71,24008.97,280
ACME FUTURE SECURITY CONTROLS,183177.53,497592.51,3
ACOSYS CONSULTING SERVICES,158230.16,158230.16,4
ACT,85984.39,107303.31,54
ACTION PERSONNEL OF OTTAWA HULL,62376.00,93148.16,1
ADGA GROUP,5327059.86,6260634.95,56
ADOBE,25080.90,25080.90,1
ADRM TECHNOLOGY CONSULTING,49300.43,49300.43,3
ADVANCED BUSINESS INTERIORS,19847.19,19847.19,11
ADVANCED CHIPPEWA TECHNOLOGIES,129176.06,129741.06,75
AECOM,165198.44,229750.66,75
AEG FUELS,39926.95,39926.95,1293
AEREX AVIONICS,2431637.69,2431908.76,24
AERO FEU,168656.24,1574618.82,15
AFW CONSTRUCTION,107479.88,109314.64,49
AGILENT,70467.94,70436.79,31
AINSWORTH,147651.37,158806.12,6
AIR INUIT,47202.59,47202.59,5
AIR LIQUIDE CANADA,17167.86,16193.11,23
AIR TINDI,516288.40,516288.40,20
AIRBORNE SYSTEMS,5372993.08,8114692.65,2
AIRBOSS DEFENSE,5955337.00,5955337.00,1
AIRBUS,184708204.06,194936155.35,15
ALLEN HASTINGS,531373.06,531373.06,1
ALLIANT TECHSYSTEMS OPERATIONS,5265479.51,5352224.63,7
ALMIQ CONTRACTING,55857000.00,55857000.00,1
ALPINE HELICOPTERS,15750.00,22601.25,1
ALS CANADA,31894.16,32725.37,68
ALTIS HUMAN RESOURCES,256674.45,374332.80,157
AMAN BUILDERS,28986316.50,28986316.50,2
AMAZON,464707.46,464707.46,9
AMEC FOSTER WHEELER AMERICAS,33261.94,33261.94,3
AMERESCO CANADA,20551671.98,20694275.92,2
AMERICAN BUREAU OF SHIPPING,18086.25,18086.25,2
AMRON CONSTRUCTION,84740.93,82848.15,142
AMTECH AERONAUTICAL,611423.08,668123.08,13
AMTEK ENGINEERING,298831.95,495006.72,28
ANIXTER CANADA,52369.37,52239.96,98
ANSYS CANADA,153454.41,153454.41,6
AON REED STENHOUSE,37595.38,37595.38,5
APEX STEEL GAS,79820.43,80116.77,82
APOTEX,17600.00,17600.00,1
APPAREL TRIMMINGS,387319.79,581988.00,30
APPLIED ELECTONICS,60845.68,60845.68,78
APPLIED SYSTEMS ENGINEERING,6044170.82,6044170.82,1
APRON FUEL SERVICES,72707.54,58816.69,356
AQUA LUNG CANADA,296143.57,296160.35,59
ARC TERYX EQUIPMENT A DIVISION OF AMER SPORTS CANADA,4860684.00,4860684.00,2
ARCADIS CANADA,103030.50,109818.97,19
ARCHITECTURE 49,62310.13,77384.14,136
ARCP ATLANTIC ROAD CONSTRUCTION,263350.00,263350.00,1
ARI FINANCIAL SERVICES,63827.71,63827.71,20
ARTEMP PERSONNEL SERVICES,120522.04,210820.34,6
ARTEX SPORTSWEAR,1291877.88,1292300.21,12
ASBEX,705535.46,705535.46,1
ASC GERMANY,1347366.47,1347366.47,4
