d_vendor_name,total
VANCOUVER SHIPYARDS,1490928362.08
AIRBUS,1231820582.63
MACK TRUCKS,618055360.70
FEDERAL FLEET SERVICES,581316560.04
SEASPAN VICTORIA SHIPYARDS,576813631.87
SIKORSKY AIRCRAFT,548453957.59
CASCADE AEROSPACE,446374481.34
KF AEROSPACE,408833111.26
TOP ACES,370961426.88
POMERLEAU,360020412.45
RAYTHEON,352849989.50
SERCO,324328877.67
CHANTIER DAVIE CANADA,311823275.86
UNITED STATES DEPARTMENT OF THE NAVY,264258497.40
BELL TEXTRON,208724397.40
WEIR CANADA,207902974.89
MACDONALD DETTWILER AND ASSOCIATES,201932389.10
SAP,181199947.15
WEATHERHAVEN CANADA,173127692.71
UNITED STATES DEPARTMENT OF THE AIR FORCE,159720717.54
IRVING OIL,153177778.86
WORLD FUEL SERVICES,148253106.00
SAAB,147767566.11
CUBIC DEFENSE APPLICATIONS,143501028.82
FFG,86175480.66
AEG FUELS,81503133.82
BROOKFIELD ASSET MANAGEMENT,80114852.56
QINETIQ,78591140.83
PURELOGIC,75743145.99
BABCOCK INTERNATIONAL GROUP,70723025.50
FLEETWAY,68215669.75
DADS,67748840.32
EBC,67342512.61
VALCOM CONSULTING,65070768.92
PARKLAND REFINING,62506291.03
UNITED STATES DEPARTMENT OF THE ARMY,61462330.01
THE BOEING COMPANY,59689206.01
SANTE MONTFORT,57949831.95
PROMAXIS,57676977.69
BMT FLEET TECHNOLOGY,57314666.62
STONEWORKS TECHNOLOGIES,55950917.81
DECISIVE TECHNOLOGIES,54622150.54
"NASITTUQ",54577381.91
MLS OVERSEAS,53817973.18
ELBIT SYSTEMS,53634950.49
VMWARE,52292312.38
"NATO SEASPARROW SURFACE MISSILE SYSTEM PROJECT",50663262.89
NORTHROP GRUMMAN,48042424.27
ENMAX,47623537.42
INDUSTRIES OCEAN,46908462.64
MAGELLAN AEROSPACE,46605646.48
MOMENTUM SOLUTIONS,46429641.24
CEGERCO,42619443.61
GROUPE GEYSER,42059721.71
DEXTERRA,42020769.62
SOUTHWEST RESEARCH INSTITUTE,41640266.21
DECAREL,41113410.00
ITEX,40776900.56
KNAPPETT INDUSTRIES,39743217.47
IMPERIAL CLEANERS,37446096.68
DEXTER CONSTRUCTION,36846177.16
ORACLE CANADA,35394984.27
DRS TECHNOLOGIES CANADA,34088871.67
WARTSILA,34056262.63
EXXONMOBIL,32746676.81
AEREX AVIONICS,31925669.44
"NAV CANADA",31509349.55
ULTRA ELECTRONICS,31363562.52
ZODIAC HURRICANE TECHNOLOGIES,30337986.89
TITAN AEX,30327889.04
PENNANT CANADA,30223364.16
GDI SERVICES,29018709.42
MICHAEL WAGER CONSULTING,28297999.55
AMAN BUILDERS,28279274.17
DRS SUSTAINMENT SYSTEMS DRS SSI,28233849.40
GENERAL MOTORS,28038620.00
STERLING FUELS,27827142.81
MACKINNON AND OLDING,27118858.42
LLOYD S REGISTER CANADA,27024113.69
UNISOURCE,26582758.30
BARGREEN ELLINGSON,26497892.34
COREBUILD CONSTRUCTION,26457050.83
EMMONS MITCHELL CONSTRUCTION,25747717.64
GARTNER,25258503.42
PEERLESS GARMENTS,24751126.78
HARNOIS ENERGIES,24627726.29
HFI PYROTECHNICS,24549603.56
PYLON ELECTRONICS,24294328.21
SITE ENERGY SERVICES,23904367.18
TELECOM COMPUTER SERVICES,23828089.04
DIRECT ENERGY BUSINESS,23456465.03
CANADIAN BORDER OPERATIONS,22560663.93
APRON FUEL SERVICES,22171090.32
KINETIC CONSTRUCTION,22157939.84
BONDFIELD CONSTRUCTION COMPANY,22143129.00
BIRD CONSTRUCTION COMPANY,22058482.00
PRIMEX PROJECT MANAGEMENT,21509915.90
PURESPIRIT SOLUTIONS,21404653.96
HARRIS TRANSPORT,21065958.19
KONGSBERG,20827283.04
INTER OUTAOUAIS,20379787.79
KRAUSS MAFFEI WEGMANN,20104329.46
ENVIROSAFE JANITORIAL,20007886.70
QUAD PRO CONSTRUCTION,19826461.49
MILLER PAVING,19805059.44
ALMIQ CONTRACTING,19646749.68
BAE SYSTEMS,19498496.70
MARINE RECYCLING,19314894.00
UNITED STATES DEPARTMENT OF DEFENCE,19220416.20
AERO FEU,18924955.45
ALLIANT TECHSYSTEMS OPERATIONS,18671192.07
MID VALLEY CONSTRUCTION,18562516.58
LAURENTIAN TECHNOLOGIES,18384210.64
VAN KAPPEL INTERNATIONAL,18212278.93
UNIVERSITY OF TORONTO,18129184.25
HAWBOLDT INDUSTRIES,17901926.58
ROSCOE CONSTRUCTION,17682769.94
MAN ENERGY SOLUTIONS CANADA,17437015.17
GENERAL ELECTRIC CANADA,17048603.71
MAXIM 2000,17018378.93
IT NET CONSULTANTS,16799627.20
NOTRA,16553087.89
THE HALIFAX COMPUTER CONSULTING GROUP,16397349.69
M SULLIVAN SON,15945345.38
MERCEDES BENZ CANADA,15699779.47
RGT CLOUTHIER CONSTRUCTION,15607216.39
STRONG BROS GENERAL CONTRACTING,15534530.53
AIRBORNE SYSTEMS,15414086.57
"NATIONAL TEST PILOT SCHOOL",15030705.93
MOBILE VALVE,15026760.33
BLUE WATER SYSTEM,14876382.00
FCA CANADA,14690821.55
EMCON SERVICES,14616163.98
RENK AKTIENGECELLSCHAFT,14532891.37
CO VEN,14443095.00
MEDAVIE,14299703.80
JHT DEFENSE,14014999.23
NOVA SCOTIA POWER,14009860.64
QM ENVIRONMENTAL,13973801.39
LYNLEY CONTRACTING SERVICES,13921249.75
AQUA LUNG CANADA,13898122.11
CANADIAN BASE OPERATORS,13886062.64
OPTIMUM SOLUTIONS,13599867.74
GEOSPECTRUM TECHNOLOGIES,13535204.18
ENTREPRISE DE CONSTRUCTION T E Q,13417218.06
C CORE,12749438.05
MACEWEN PETROLEUM,12605237.02
PROCOM CONSULTANTS,12587665.74
DEFENCE CONSTRUCTION CANADA,12492510.52
PCL CONSTRUCTORS,12489384.26
TELESAT,12375977.76
STANLEY CONSTRUCTION,12149457.42
MARKLAND PAVING,12118389.00
ABS AMERICAS,12065508.72
FN HERSTAL,12047466.24
PETRO AIR SERVICES,12006884.54
ECLIPSYS SOLUTIONS,11981423.15
CONSTRUCTION COTE FILS,11885872.00
SYSTEMATIX SOLUTIONS,11818829.30
TACS,11801440.48
ARTEX SPORTSWEAR,11711468.23
PERSISTENT SYSTEMS,11514093.08
SUN LIFE ASSURANCE COMPANY,11494877.77
TORONTO INDUSTRIES,11368805.96
DYNABOOK CANADA,11317614.61
AVJET HOLDING,11256117.85
LES HUILES DESROCHES,11206035.75
EBSCO CANADA,11182542.47
REVISION MILITARY,11180737.12
UVAIR,11167885.78
MARTEC,11044545.22
AMERESCO CANADA,10928107.03
EXCEL 7,10875655.25
EASTPOINT ENGINEERING,10677870.92
WAHL CONSTRUCTION,10627949.74
INTEGRATED DISTRIBUTION SYSTEMS,10606921.93
TEAM CERTAS,10589617.10
VAN HORNE CONSTRUCTUION,10551267.00
MEAL KIT SUPPLY CANADA,10449371.35
DAIMLER,10376375.01
SUNCOR ENERGY,10010110.65
ABCO MAINTENANCE SYSTEMS,9961727.97
TULMAR SAFETY SYSTEMS,9952523.55
14343878 ONTARIO,9915385.33
UQSUQ,9856699.36
