d_vendor_name,mean_number_of_amendments,n
2KEYS,2.5,2
73719 NEWFOUNDLAND LABRADOR,1.33,3
A J HANNA CONSTRUCTION,1,1
A SANTIN MASON CONTRACTOR,2.75,4
ABB,1,1
ABCO MAINTENANCE SYSTEMS,1,4
ACCESS 2 NETWORKS,1,1
ACKLANDS GRAINGER,1,4
ACME FUTURE SECURITY CONTROLS,1,1
ACT,1.5,2
ACTION PERSONNEL OF OTTAWA HULL,2,1
ADGA GROUP,1.69,13
ADVANCED CHIPPEWA TECHNOLOGIES,1,2
AECOM,2.23,26
AEG FUELS,1,4
AEREX AVIONICS,1,2
AERO FEU,1,2
AFW CONSTRUCTION,1.11,19
AGILENT,1,2
AINSWORTH,1.33,3
AIR LIQUIDE CANADA,1,2
AIRBUS,1,1
ALS CANADA,1,5
ALTIS HUMAN RESOURCES,1.38,48
AMERESCO CANADA,2,1
AMRON CONSTRUCTION,1,5
ANIXTER CANADA,1.2,5
APEX STEEL GAS,1,2
APPAREL TRIMMINGS,1,3
APRON FUEL SERVICES,1,4
AQUA LUNG CANADA,1,7
ARCADIS CANADA,1.4,5
ARCHITECTURE 49,1.82,38
ATCO,1,2
ATLANTIC BUSINESS INTERIORS,1,2
ATLANTIC ROOFERS,1.2,5
ATLANTICA MECHANICAL CONTRACTORS,1,1
AVJET HOLDING,1,4
B BRAUN OF CANADA,3,1
BAE SYSTEMS,1,1
BAJA CONSTRUCTION CANADA,1,1
BARGREEN ELLINGSON,2.86,7
BARRON S REFRIGERATION HEATING,1,6
BDO CANADA,1,1
BELL CANADA,1,3
BELL TEXTRON,1,4
BEST SERVICE PROS,1.14,7
BIGHORN CONSTRUCTION,1,1
BLACK MCDONALD,1.39,28
BLACKBERRY,1,1
BLUEWAVE ENERGY,1,29
BLUMETRIC ENVIRONMENTAL,1.33,3
BMT FLEET TECHNOLOGY,1,3
BOUTHILLETTE PARIZEAU,1,1
BRONSWERK MARINE,1,1
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,1.5,2
BUREAU VERITAS CANADA,1.5,2
C CORE,1,2
CACHE COMPUTER CONSULTING,1,3
CAE,1,4
CALIAN,1.7,197
CANADIAN BASE OPERATORS,1.61,44
CANADIAN BORDER OPERATIONS,1,1
CANADIAN CORPS OF COMMISSIONAIRES,1.16,151
CANADIAN DEVELOPMENT CONSULTANTS,1,1
CANADIAN MARITIME ENGINEERING,1,3
CANADIAN NORTH,1,1
CANADIAN NUCLEAR LABORATORIES,1,1
CANON,1.33,6
CANSEL SURVEY EQUIPMENT,1,1
CANTEC SYSTEMS,1,2
CARAHSOFT TECHNOLOGY,1,2
CARLETON LIFE SUPPORT SYSTEMS,1,1
CARLETON UNIVERSITY,1,1
CARMICHAEL ENGINEERING,2,9
CASP AEROSPACE,2,1
CBCI TELECOM,1,2
CBCL,2,1
CDW CANADA,1.11,9
CGI,1,1
CHANNEL MANAGEMENT INTERNATIONAL,2.5,2
CHARRON HUMAN RESOURCES,1.33,3
CLARIANT CANADA,1,5
CLERMARK,1.5,2
CLICK NETWORKS,1,1
CLOSEREACH,1.75,4
CO VEN,1,1
COASTAL RESTORATION MASONRY,1,5
COCO PAVING,1.33,3
COLLIERS PROJECT LEADERS,2.75,4
COLT CANADA,1,3
COMBAT NETWORKS,2,1
COMPUCOM CANADA,1,1
CON PRO INDUSTRIES CANADA,3,1
CONCEPT CONTROLS,1,3
CONNEX TELECOMMUNICATIONS,1,1
CONOSCENTI TECHNOLOGIES,1,2
CONSTRUCTION JESSIKO,1,1
CONTRACT COMMUNITY,1.45,11
CONVERGINT TECHNOLOGIES,1,3
COPCAN CIVIL,2.67,3
