d_vendor_name,max_overall_value,n
10647802 CANADA,143000.00,4
1376387 FLEETWAY,1358487.87,2
14343878 ONTARIO,9915385.33,1
2553164 ONTARIO,3390000.00,1
2KEYS,6566710.24,7
3388646 CANADA COMMERCIAL BUILDING CLEANERS,4186237.30,3
3D DATACOMM,39826.99,6
3M CANADA COMPANY,24636.16,1
4 OFFICE AUTOMATION,1902976.50,23
5029406 MANITOBA,2280900.00,7
6771581 CANADA,29924.54,92
73719 NEWFOUNDLAND LABRADOR,318382.94,23
9205187 CANADA,17260.75,1
A J HANNA CONSTRUCTION,450000.00,272
A SANTIN MASON CONTRACTOR,3307486.86,4
A TECH ROOFING,1920500.00,7
AA STURGEON CONSTRUCTION,1275294.99,5
ABB,1379655.00,13
ABBOTT,81809.81,1
ABCO INDUSTRIES,19607.50,2
ABCO MAINTENANCE SYSTEMS,4795875.00,55
ABS AMERICAS,12236047.00,2
ACCENTURE,974598.70,15
ACCESS 2 NETWORKS,206610.08,5
ACKLANDS GRAINGER,266739.82,280
ACME FUTURE SECURITY CONTROLS,1226399.30,3
ACOSYS CONSULTING SERVICES,325440.00,4
ACRES ENTERPRISES,3336847.51,3
ACT,1666993.17,55
ACTION PERSONNEL OF OTTAWA HULL,93148.16,1
ADGA GROUP,318780410.53,58
ADOBE,25080.90,1
ADRM TECHNOLOGY CONSULTING,64071.00,3
ADVANCED BUSINESS INTERIORS,49993.19,11
ADVANCED CHIPPEWA TECHNOLOGIES,2235137.54,75
AECOM,2479699.45,75
AEG FUELS,248550.31,1293
AEREX AVIONICS,11497500.00,26
AERO FEU,23082955.75,15
AFW CONSTRUCTION,1347000.00,49
AG CREATIONS,387000.00,36
AGC AND ASSOCIATES,2093700.00,10
AGILENT,759106.00,31
AINSWORTH,238240.19,6
AIR CHARTER SERVICE,4055381.49,1
AIR INUIT,65395.92,5
AIR LIQUIDE CANADA,67120.46,23
AIR NORTH,160472.00,47
AIR TINDI,7381621.00,20
AIRBORNE SYSTEMS,16205262.01,2
AIRBOSS DEFENSE,5955337.00,1
AIRBUS,2900107494.23,15
AIWORX,3449250.00,3
AKM GROUP,2593350.00,1
ALGONQUIN COLLEGE,3873454.05,24
ALLEN HASTINGS,531373.06,1
ALLIANT TECHSYSTEMS OPERATIONS,21406295.61,7
ALLIED CONTAINER SYSTEMS,3150000.00,2
ALLSEATING,24854.00,7
ALMIQ CONTRACTING,55857000.00,1
ALPINE HELICOPTERS,22601.25,1
ALS CANADA,350000.00,68
ALTIS HUMAN RESOURCES,6898146.00,158
AMAN BUILDERS,36987000.00,2
AMAZON,3063995.00,9
AMEC CONSTRUCTION,2386842.00,6
AMER SPORTS CANADA,8291487.00,6
AMERESCO CANADA,20952959.95,2
AMERICAN BUREAU OF SHIPPING,18587.10,2
AMERICAN CHEMICAL SOCIETY,99875.00,5
AMRON CONSTRUCTION,2586760.00,142
AMS IMAGING,14539.50,1
AMTECH AERONAUTICAL,1155000.00,15
AMTEK ENGINEERING,1935719.00,30
ANALYTICAL GRAPHICS,615000.00,22
ANIXTER,1391587.96,153
ANSYS CANADA,398737.46,6
AON REED STENHOUSE,77381.95,9
APEX STEEL GAS,1382640.00,82
APOTEX,17600.00,1
APPAREL TRIMMINGS,10515025.00,31
APPLIED ELECTONICS,1444247.30,78
