d_vendor_name,mean_amendment_increase_percentage,n
2553164 ONTARIO,2,1
2KEYS,2.0458,4
4 OFFICE AUTOMATION,0,2
73719 NEWFOUNDLAND LABRADOR,0.5327,3
9205187 CANADA,0,1
A J HANNA CONSTRUCTION,0.8,1
A SANTIN MASON CONTRACTOR,0.3644,4
ABB,-0.3834,3
ABCO MAINTENANCE SYSTEMS,0,4
ACCESS 2 NETWORKS,1,1
ACKLANDS GRAINGER,-0.0029,4
ACME FUTURE SECURITY CONTROLS,3.3312,1
ACRES ENTERPRISES,0.0038,2
ACT,0.2367,9
ACTION PERSONNEL OF OTTAWA HULL,0.4933,1
ADGA GROUP,1.4369,28
ADVANCED CHIPPEWA TECHNOLOGIES,0.0626,8
AECOM,1.9336,29
AEG FUELS,0,4
AEREX AVIONICS,0.0852,3
AERO FEU,0.1311,3
AFW CONSTRUCTION,0.1001,19
AGC AND ASSOCIATES,0.1083,1
AGILENT,-0.0716,2
AINSWORTH,0.1272,3
AIR LIQUIDE CANADA,0,2
AIRBORNE SYSTEMS,0.5114,1
AIRBUS,0.0909,4
AKM GROUP,0.1504,1
ALGONQUIN COLLEGE,1.0377,3
ALLIED CONTAINER SYSTEMS,-0.7062,1
ALLSEATING,0,1
ALPINE HELICOPTERS,0.435,1
ALS CANADA,0.875,6
ALTIS HUMAN RESOURCES,1.2315,76
AMEC CONSTRUCTION,0.1547,1
AMERESCO CANADA,0.0142,1
AMRON CONSTRUCTION,-0.3363,5
AMTECH AERONAUTICAL,-0.375,1
AMTEK ENGINEERING,1.0827,21
ANALYTICAL GRAPHICS,1.3043,7
ANIXTER,0.1219,8
AON REED STENHOUSE,0,1
APEX STEEL GAS,0.6234,2
APPAREL TRIMMINGS,0.5774,4
APRON FUEL SERVICES,-0.5093,4
AQUA LUNG CANADA,-0.0593,9
ARCADIS CANADA,0.5074,5
ARCHITECTURE 49,1.5584,39
ARRM ELECTRIC,0.2996,1
ARTEMP PERSONNEL SERVICES,1.6944,1
ATCO,-0.1873,3
ATLANTIC BUSINESS INTERIORS,0,2
ATLANTIC ROOFERS,0.2181,5
ATLANTICA MECHANICAL CONTRACTORS,-0.0333,2
AVALERION,0,3
AVI SPL,0,2
AVJET HOLDING,0.016,4
AXYS TECHNOLOGIES,-0.455,1
B BRAUN OF CANADA,3.3625,1
BABCOCK INTERNATIONAL GROUP,0.8881,3
BAE SYSTEMS,0.0333,3
BAJA CONSTRUCTION CANADA,-0.0476,1
BARDON SUPPLIES,9e-4,3
BARGREEN ELLINGSON,0.1058,7
BARRON S REFRIGERATION HEATING,0.657,6
BARTA MACHINE,11.869,1
BAVARIAN NORDIC,-0.9864,1
BDO CANADA,-0.1727,1
BEE CLEAN BUILDING MAINTENANCE,-0.2252,12
BELL CANADA,0.3991,7
BELL TEXTRON,0,5
BERLITZ CANADA,0.0994,5
BEST SERVICE PROS,2.3013,7
BIGHORN CONSTRUCTION,0.0318,1
BLACK MCDONALD,1.3638,29
BLACKBERRY,0.6662,1
BLUEDROP TRAINING SIMULATION,0.1139,1
BLUEWAVE ENERGY,-0.2471,27
BLUMETRIC ENVIRONMENTAL,0.3087,3
BMT FLEET TECHNOLOGY,0.7721,5
BOMBARDIER,7.3185,1
BOUTHILLETTE PARIZEAU,0,1
BRONSWERK MARINE,0.3153,5
BROOKFIELD ASSET MANAGEMENT,0,1
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,0.0265,2
BUREAU VERITAS,0.0215,6
C CORE,0.5996,5
CACHE COMPUTER CONSULTING,0.2,3
CADEX,-0.6667,1
CAE,0.7412,7
CALIAN,1.2794,225
CAMPBELL SCIENTIFIC CANADA,0,1
CANADIAN BANK NOTE COMPANY,6.8925,1
CANADIAN BASE OPERATORS,0.0408,44
CANADIAN BORDER OPERATIONS,0.4371,1
CANADIAN CORPS OF COMMISSIONAIRES,0.491,156
CANADIAN DEVELOPMENT CONSULTANTS,2.8692,1
CANADIAN HELICOPTERS,4.3364,1
CANADIAN MARITIME ENGINEERING,-0.0195,3
CANADIAN NORTH,-0.1459,1
CANADIAN NUCLEAR LABORATORIES,0.52,2
CANADYNE TECHNOLOGIES,0,1
CANON,2e-4,11
CANSEL SURVEY EQUIPMENT,-0.0027,1
CANTEC SYSTEMS,-0.1288,2
CARAHSOFT TECHNOLOGY,0.125,2
CARLETON LIFE SUPPORT SYSTEMS,-6e-4,2
CARLETON UNIVERSITY,3.1667,1
CARMICHAEL ENGINEERING,1.5305,9
CAS ELL STRUCTURES,-0.0125,17
CASCADE AEROSPACE,0.4409,4
CASP AEROSPACE,1.2695,2
CBCI TELECOM,10.7536,2
CBCL,0.0619,1
CDW CANADA,0.0752,29
CENTURY GROUP,0.1645,1
CGI,0.9963,1
CHANNEL MANAGEMENT INTERNATIONAL,2.2374,3
CHARRON HUMAN RESOURCES,0,3
CISION CANADA,2.0604,1
CIVIL UNDERGROUND EXCAVATION,0.0922,1
CLARIANT CANADA,0.0179,5
CLERMARK,3.8562,3
CLICK NETWORKS,0.4733,1
CLOSEREACH,1.2175,5
CO VEN,0.3366,1
COASTAL RESTORATION MASONRY,0.1204,6
COCO PAVING,0.2096,3
COLLIERS PROJECT LEADERS,1.4624,4
COLT CANADA,0.0451,4
COMBAT NETWORKS,0.3442,4
COMMUNITECH,1.8461,1
COMMVAULT SYSTEMS,2.3431,1
COMPUCOM CANADA,-0.0078,5
COMPUGEN,0.0765,6
CON PRO INDUSTRIES CANADA,0.0726,1
CONCEPT CONTROLS,0.3396,3
CONNEX TELECOMMUNICATIONS,0.05,1
CONOSCENTI TECHNOLOGIES,1.4373,3
CONSTRUCTION JESSIKO,3.326,1
CONTRACT COMMUNITY,1.0603,14
CONTROLS EQUIPMENT,1.447,11
CONVERGINT TECHNOLOGIES,1.3404,3
CONVERSART CONSULTING,0,1
COPCAN CIVIL,0.2961,3
CORADIX TECHNOLOGY CONSULTING,0.8077,8
CORCAN,-0.1836,3
CORPORATION DU FORT ST JEAN,3.1393,1
CRESTLINE COACH,0.1835,1
CSDC SYSTEMS,0,1
CSI CONSULTING,1.2703,3
CTOMS,0,1
CUBIC DEFENSE APPLICATIONS,0.0747,1
CUMMINS CANADA,0.0027,3
DADS,0.0606,22
DALCON CONSTRUCTORS,0.1525,2
DALHOUSIE UNIVERSITY,1,1
DALIAN ENTERPRISES,0.7622,3
DARE HUMAN RESOURCES,0,1
DASCO STORAGE SOLUTIONS,0,3
DAVTAIR INDUSTRIES,0.1307,1
DECISIVE GROUP,0.047,22
DEFENCE CONSTRUCTION CANADA,0.4345,2
DEFENSE INFORMATION SYSTEMS AGENCY,0.4274,1
DELCO AUTOMATION,-0.0107,3
DELL COMPUTER,0.0011,16
DELOITTE,0.6511,6
DEW ENGINEERING,-0.0025,10
DEXTER CONSTRUCTION,-0.0233,4
DEXTERRA,0.0448,11
DILLON CONSULTING,0.6996,7
DIRECT ENERGY BUSINESS,6.1309,17
DO ALL CONSTRUCTION,0.1894,3
DON SAYWELL DEVELOPMENTS,0,1
DONNA CONA,0.4719,6
DRAEGER,0,1
DST CONSULTING ENGINEERS,1.8833,5
DUFFERIN CONSTRUCTION COMPANY,0.13,1
DWP SOLUTIONS,1.9896,2
DYNABOOK CANADA,0.2463,4
DYNAMIC PERSONNEL CONSULTANTS,0.3767,27
EAGLE PROFESSIONAL RESOURCES,0.2545,1
EASTPOINT ENGINEERING,0.998,43
EASTWAY CONTRACTING,-0.0043,4
EBSCO CANADA,1.4552,3
ECLIPSYS SOLUTIONS,0.45,11
