d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
A NET SOLUTIONS,2017-2018,25027.23,25783.29
A NET SOLUTIONS,2018-2019,38707.36,39449.12
A NET SOLUTIONS,2019-2020,38813.41,38503.80
A NET SOLUTIONS,2020-2021,40868.33,38919.76
A NET SOLUTIONS,2021-2022,40868.33,37996.34
A NET SOLUTIONS,2022-2023,48194.87,43054.22
ADVANCED BUSINESS INTERIORS,2017-2018,11435.60,11762.18
ADVANCED BUSINESS INTERIORS,2018-2019,10879.64,10981.27
ADVANCED BUSINESS INTERIORS,2019-2020,176.25,172.23
ADVANCED BUSINESS INTERIORS,2020-2021,12866.45,12252.98
APPLIED ELECTONICS,2019-2020,982.27,959.85
APPLIED ELECTONICS,2020-2021,44815.99,42679.20
APPLIED ELECTONICS,2021-2022,13376.94,12180.15
BMC SOFTWARE CANADA,2019-2020,18.44,18.02
BMC SOFTWARE CANADA,2020-2021,6730.98,6410.05
BMC SOFTWARE CANADA,2021-2022,6730.98,6257.97
BMC SOFTWARE CANADA,2022-2023,6730.98,6022.91
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,15211.71,15648.91
CANON,2017-2018,754.69,776.25
CANON,2018-2019,5674.87,5775.84
CANON,2019-2020,7724.61,7663.00
CANON,2020-2021,7703.51,7336.21
CANON,2021-2022,7703.51,7162.15
CANON,2022-2023,6948.82,6225.27
CONTRACT COMMUNITY,2017-2018,22148.00,22780.51
CONTRACT COMMUNITY,2018-2019,24521.00,24750.07
CONTRACT COMMUNITY,2022-2023,2987.32,2643.62
CSDC SYSTEMS,2017-2018,2191.07,2261.36
DECISIVE GROUP,2020-2021,3463.96,3264.00
DECISIVE GROUP,2021-2022,20068.96,18658.63
ECLIPSYS SOLUTIONS,2021-2022,32938.04,30492.41
EXCEL HUMAN RESOURCES,2017-2018,4520.10,4649.19
EXCEL HUMAN RESOURCES,2018-2019,115262.58,117689.64
GARTNER,2017-2018,22188.79,22903.46
GRAND TOY,2020-2021,13342.65,12849.95
HUMANSCALE CANADA,2017-2018,24965.38,25678.35
IDS SYSTEMS CONSULTANTS,2022-2023,35332.28,31685.34
ITEX,2017-2018,40856.89,42061.13
ITEX,2018-2019,9888.43,10085.06
ITEX,2019-2020,64915.11,63433.41
ITEX,2020-2021,27777.88,26496.26
ITEX,2021-2022,18504.97,17051.69
ITEX,2022-2023,29157.70,26118.29
JIM PATTISON INDUSTRIES,2018-2019,21541.09,22036.40
LUMINA IT,2019-2020,28966.83,28694.16
LUMINA IT,2020-2021,15780.17,15027.78
MAXSYS STAFFING AND CONSULTING,2018-2019,24998.97,25351.34
MICROSOFT CANADA,2017-2018,10729.19,11037.27
MICROSOFT CANADA,2018-2019,11069.60,11281.73
MICROSOFT CANADA,2019-2020,26037.79,25830.09
MICROSOFT CANADA,2020-2021,14557.91,13863.80
MICROSOFT CANADA,2021-2022,14557.91,13534.86
MICROSOFT CANADA,2022-2023,14557.91,13026.48
NISHA TECHONOLOGIES,2020-2021,16473.16,15720.67
NORTHERN MICRO,2018-2019,24754.82,24986.07
PURELOGIC,2021-2022,11766.26,10735.05
PURESPIRIT SOLUTIONS,2021-2022,26283.28,23759.67
QMR,2017-2018,108214.12,111596.27
SOFTCHOICE,2018-2019,3534.49,3567.51
SOFTCHOICE,2019-2020,10799.84,10766.75
SOFTCHOICE,2020-2021,1122.35,1057.56
SOFTCHOICE,2021-2022,73661.05,69187.76
TAG HR,2018-2019,17284.59,17485.49
TAG HR,2019-2020,25304.65,25326.79
TEKNION,2018-2019,18433.63,18605.83
TERAMACH TECHNOLOGIES,2020-2021,23533.09,22664.08
VMWARE,2017-2018,3205.63,3297.18
VMWARE,2018-2019,18496.83,18867.76
VMWARE,2019-2020,9463.40,9387.91
VMWARE,2020-2021,3981.87,3791.43
ZYCOM,2017-2018,224726.24,231353.83
ZYCOM,2018-2019,67631.58,68468.59
ZYCOM,2020-2021,4900.44,4635.39
ZYCOM,2021-2022,13810.83,12843.26
ZYCOM,2022-2023,12912.38,11564.79
