d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
4 OFFICE AUTOMATION,2019-2020,9005.80,8787.85
4 OFFICE AUTOMATION,2020-2021,54785.28,52082.74
4 OFFICE AUTOMATION,2021-2022,54785.28,42856.59
ADVANCED BUSINESS INTERIORS,2017-2018,98516.00,101254.66
ADVANCED CHIPPEWA TECHNOLOGIES,2017-2018,51588.90,52925.73
ADVANCED CHIPPEWA TECHNOLOGIES,2018-2019,51588.90,52391.18
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,61717.73,61178.34
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,74580.40,70851.98
ADVANCED CHIPPEWA TECHNOLOGIES,2021-2022,67224.66,52566.39
AMAZON,2020-2021,13954.55,13291.14
AMAZON,2021-2022,17685.45,13834.70
AVI SPL CANADA,2021-2022,17769.35,0.00
BDO CANADA,2018-2019,89713.97,90737.20
BDO CANADA,2019-2020,39137.61,38485.69
BDO CANADA,2020-2021,118044.03,112220.95
BDO CANADA,2021-2022,5580.80,5276.98
BELL CANADA,2018-2019,13058.30,13245.53
BELL CANADA,2019-2020,17538.80,17405.57
BELL CANADA,2020-2021,2673.21,2523.45
BELL CANADA,2021-2022,14572.05,8147.66
BLACKBERRY,2017-2018,1912.19,1957.27
BLACKBERRY,2018-2019,11012.81,11195.00
BLACKBERRY,2020-2021,9657.79,9194.34
BLACKBERRY,2021-2022,1937.91,1832.41
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,326966.00,335438.76
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,361645.00,367161.25
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,346584.56,343659.74
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,353644.80,336199.60
CANADIAN CORPS OF COMMISSIONAIRES,2021-2022,254815.00,199332.76
CAREWORX,2018-2019,3811.95,3861.84
CAREWORX,2019-2020,5558.46,5511.55
CAREWORX,2020-2021,5543.27,5269.82
CAREWORX,2021-2022,1731.32,1634.60
CBCI TELECOM,2017-2018,27155.56,27840.19
CDW CANADA,2021-2022,99108.68,93713.32
CGI,2017-2018,18485.55,18953.77
CGI,2018-2019,28135.61,28572.19
CGI,2019-2020,20998.80,20860.97
CGI,2020-2021,17283.12,16430.59
CGI,2021-2022,25494.09,19278.64
CISTEL TECHNOLOGY,2018-2019,5299.59,5351.73
CISTEL TECHNOLOGY,2019-2020,10775.82,10785.30
CNW GROUP,2017-2018,21470.00,22026.36
CNW GROUP,2018-2019,28250.00,28689.33
CNW GROUP,2019-2020,28250.00,28011.60
CNW GROUP,2020-2021,28250.00,26856.44
CNW GROUP,2021-2022,28250.00,22098.98
COMPUCOM CANADA,2017-2018,11387.05,11685.50
CONEXSYS,2017-2018,31097.54,31898.80
CONEXSYS,2018-2019,54624.55,55448.02
CONEXSYS,2019-2020,14670.56,14722.72
CONTRACT COMMUNITY,2019-2020,24973.00,24656.19
DELL COMPUTER,2017-2018,91401.85,93765.66
DELL COMPUTER,2018-2019,125501.85,127313.76
DELL COMPUTER,2019-2020,101416.40,100317.70
DELL COMPUTER,2020-2021,454555.66,433946.78
DELL COMPUTER,2021-2022,8025.92,5371.16
DELOITTE AND TOUCHE,2017-2018,72800.00,74719.27
DILIGENS,2020-2021,14918.02,14047.08
DILIGENS,2021-2022,82315.53,76062.37
DONNA CONA,2017-2018,101574.00,103968.31
DYNABOOK CANADA,2021-2022,135572.88,91858.73
EAGLE PROFESSIONAL RESOURCES,2017-2018,24578.00,25171.11
ELSEVIER,2017-2018,497631.42,510469.03
ELSEVIER,2018-2019,487147.54,494721.52
ELSEVIER,2019-2020,17474.63,17325.38
ELSEVIER,2020-2021,23859.02,22626.93
ELSEVIER,2021-2022,67077.83,35189.53
EMPOWERED NETWORKS,2020-2021,20978.68,19971.42
EMPOWERED NETWORKS,2021-2022,4195.74,3967.33
ERNST YOUNG,2017-2018,104631.34,107342.68
ERNST YOUNG,2018-2019,42663.18,43465.69
ERNST YOUNG,2019-2020,65653.17,65380.41
ERNST YOUNG,2020-2021,65654.71,62458.19
ERNST YOUNG,2021-2022,40681.71,31823.87
EXCEL HUMAN RESOURCES,2017-2018,81725.92,83807.42
EXCEL HUMAN RESOURCES,2018-2019,78835.68,80139.48
EXCEL HUMAN RESOURCES,2019-2020,17106.96,17092.26
EXCEL HUMAN RESOURCES,2021-2022,95885.10,72948.94
FAST FORWARD FRENCH,2019-2020,21000.00,20807.22
FAST FORWARD FRENCH,2021-2022,28769.23,18636.77
FORD MOTOR COMPANY,2018-2019,34255.00,34685.11
FREEBALANCE,2017-2018,54393.00,55802.50
FREEBALANCE,2018-2019,54393.00,55238.89
FREEBALANCE,2019-2020,55520.00,55051.47
FREEBALANCE,2020-2021,55673.52,52927.16
FREEBALANCE,2021-2022,55673.52,43551.43
GARTNER,2017-2018,173.77,177.87
GARTNER,2018-2019,63431.71,64418.14
GARTNER,2019-2020,104041.42,102803.80
GARTNER,2020-2021,156297.81,148477.59
GARTNER,2021-2022,158166.33,121613.05
GENESIS INTEGRATION,2018-2019,57197.00,57841.13
GOSS GILROY,2017-2018,53625.71,55078.91
GOSS GILROY,2018-2019,48152.00,48658.20
GOSS GILROY,2019-2020,61074.13,60184.08
GOSS GILROY,2020-2021,35887.58,33820.63
GOSS GILROY,2021-2022,41887.05,39606.76
HYPERTEC,2020-2021,14690.00,14102.90
HYPERTEC,2021-2022,25566.25,15531.92
IBM CANADA,2017-2018,26451.11,27134.86
IBM CANADA,2018-2019,73558.50,74730.54
IBM CANADA,2019-2020,55534.59,55060.86
IBM CANADA,2020-2021,57261.34,54439.89
IBM CANADA,2021-2022,58479.27,45688.34
INFO TECH RESEARCH GROUP,2017-2018,82159.07,84288.86
INFO TECH RESEARCH GROUP,2018-2019,123048.93,124726.97
INFO TECH RESEARCH GROUP,2019-2020,141.17,137.76
INFO TECH RESEARCH GROUP,2020-2021,51469.89,48931.42
INFO TECH RESEARCH GROUP,2021-2022,51176.09,21687.99
INSA,2020-2021,5040.96,4746.65
INSA,2021-2022,49807.65,42098.69
INSTRUX MEDIA,2018-2019,268.76,271.40
INSTRUX MEDIA,2019-2020,34207.58,33807.50
INSTRUX MEDIA,2020-2021,15243.67,14523.19
IRON MOUNTAIN,2017-2018,14916.00,15302.52
IRON MOUNTAIN,2018-2019,14916.00,15127.28
IRON MOUNTAIN,2019-2020,15311.68,15182.47
IRON MOUNTAIN,2020-2021,15115.52,14369.88
ITEX,2017-2018,18362.92,18838.55
ITEX,2018-2019,28954.14,29390.45
ITEX,2019-2020,37494.37,37142.59
ITEX,2020-2021,41504.37,39464.86
ITEX,2021-2022,37714.16,29725.54
LIONBRIDGE,2017-2018,55000.00,56425.23
LIONBRIDGE,2018-2019,91259.00,92413.33
LIONBRIDGE,2019-2020,90400.00,89637.12
LIONBRIDGE,2020-2021,0.00,0.00
MANPOWER SERVICES CANADA,2017-2018,127540.06,130845.04
MANPOWER SERVICES CANADA,2018-2019,126841.21,128817.77
MAPLESOFT CONSULTING,2017-2018,741209.02,760474.18
MAPLESOFT CONSULTING,2018-2019,702162.23,713081.89
MAPLESOFT CONSULTING,2020-2021,173304.79,165055.57
MAPLESOFT CONSULTING,2021-2022,218124.99,170631.46
MDOS CONSULTING,2019-2020,217030.49,214523.88
MDOS CONSULTING,2020-2021,98444.51,93588.27
MDOS CONSULTING,2021-2022,98444.51,77009.65
MICRO FOCUS CANADA,2021-2022,13012.96,9124.46
MICROSOFT CANADA,2017-2018,136490.94,140027.87
MICROSOFT CANADA,2018-2019,193190.00,196194.39
MICROSOFT CANADA,2019-2020,262389.38,259991.55
MICROSOFT CANADA,2020-2021,515342.52,490169.83
MICROSOFT CANADA,2021-2022,350392.38,274099.56
