d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2020-2021,1896.3824830699773
2_professional_services,2017-2018,118226.8631338227
2_professional_services,2018-2019,2774063.798769057
2_professional_services,2019-2020,2604414.689395821
2_professional_services,2020-2021,2767280.822375614
4_medical,2020-2021,24950
9_human_capital,2017-2018,95700
9_human_capital,2018-2019,52244.00000000001
9_human_capital,2019-2020,51647.21372335341
9_human_capital,2020-2021,52239.05037759296
