d_vendor_name,overall_total
PROLINE ADVANTAGE,373182500.00
MUFACTOR,256160830.00
FTI PROFESSIONAL GRADE,237300000.00
THORNHILL MEDICAL,200451118.94
SUPERMAX HEALTHCARE CANADA,173645010.81
VIRTUAL POSSIBILITIES DIVISION,172977959.20
CANADIAN EMERGENCY VENTILATORS,169500000.00
CAMPBELL DRUG STORES,165206000.00
SPARTAN BIOSCIENCE,149048550.00
DYNACARE,132774448.34
ISOPLEX,113565000.00
THE STEVENS COMPANY,109171005.45
FLUID ENERGY GROUP,107384630.58
LUMINULTRA TECHNOLOGIES,103121706.07
WAZANA CLOTHING,99491989.67
CANADIAN RED CROSS,95139567.98
FEDERAL EXPRESS CANADA,90484000.00
METRO LOGISTICS,72702376.78
GLAXOSMITHKLINE,70970337.39
WOOLLY MAMMOTH OUTERWEAR,69643195.87
PRIMED MEDICAL PRODUCTS,67337400.15
ROUDEL MEDICAL AND SURGICAL,62257350.00
INKSMITH,56529832.00
ESBE SCIENTIFIC INDUSTRIES,53564004.70
BIRON GROUPE SANTE,53460393.73
WINMAR CANADA INTERNATIONAL,53100000.00
JOSEPH RIBKOFF,49048335.01
J STERLING INDUSTRIES,48840242.00
REACTOR ENGINEERING GROUP,48307500.00
GREATER TORONTO AIRPORT AUTHORITY,43723168.03
STRYKER CANADA,42495837.34
CEPHEID CAD FUNDS,40505521.81
GEORGE COUREY,39664078.02
AMD MEDICOM,37558716.45
PALADIN GROUP,35835771.72
SEQIRUS CANADA,28984623.03
STANFIELDS,28046600.00
TORONTO STAMP,27177969.00
GROUPE ROBERT,25271142.09
GARDA SECURITY GROUP,21906322.69
CALKO GROUP,21081186.52
MICRONOSTYX,20626652.75
MEDTRONIC CANADA,18754700.40
TRUDELL HEALTHCARE SOLUTIONS,18381302.09
PRECISION ADM,18283200.00
GETINGE CANADA,16870058.01
URBAN VALLEY TRANSPORT,16580000.00
G4S SECURITY SERVICES,16362400.00
BAXTER,15326469.68
CONFECTION AVENTURE,15084720.00
MERIDIAN MEDICAL TECHNOLOGIES,13403710.80
CANADIAN PAEDIATRIC SOCIETY,12663659.57
BOMIMED,12570869.01
VANCOUVER AIRPORT AUTHORITY,11791021.92
WESTCOMB OUTERWEAR,11757606.62
GALENVS SCIENCES,11442375.00
