d_most_recent_category,total,percentage
4_medical,3521836908.219659,0.8564425206222965
2_professional_services,209685110.56053928,0.0509913574380181
6_industrial_products_and_services,194260634.61402872,0.04724042364887072
1_facilities_and_construction,73293971.50244838,0.017823674217699047
3_information_technology,43886111.15299116,0.01067225218988868
8_security_and_protection,38401076.21832837,0.009338397934974112
5_transportation_and_logistics,13231558.397590892,0.003217658716491329
9_human_capital,9698686.216247352,0.0023585326311906358
10_office_management,6751778.312598667,0.0016419017085172473
NA,1081839.58,2.630824313987166e-4
7_travel,41937.8,1.0198460654871859e-5
