d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
ACT,2021-2022,35291.58,32764.56
AVI SPL,2019-2020,184084.14,179882.39
CANON,2019-2020,1231.43,1203.32
CANON,2020-2021,14499.08,13807.77
CANON,2021-2022,14499.08,13480.16
CANON,2022-2023,13267.65,11884.09
COMPUGEN,2022-2023,25221.26,22525.28
DECISIVE GROUP,2017-2018,4731.04,4877.29
DECISIVE GROUP,2018-2019,4731.04,4821.71
DECISIVE GROUP,2019-2020,3953.34,3933.54
DONNA CONA,2022-2023,61631.03,55515.39
ECOLE DE LANGUES ABCE,2017-2018,21911.77,22558.67
ECOLE DE LANGUES EAGLE,2021-2022,12300.00,11582.10
EXCEL HUMAN RESOURCES,2017-2018,19736.41,20313.05
EXCEL HUMAN RESOURCES,2018-2019,24164.59,24809.71
EXCEL HUMAN RESOURCES,2020-2021,71404.70,68067.77
FACTIVA,2017-2018,4815.97,4955.33
FACTIVA,2018-2019,6825.29,6987.53
FACTIVA,2019-2020,5135.91,5043.26
FACTIVA,2020-2021,12812.85,12200.37
FACTIVA,2021-2022,7910.97,7443.67
FAST FORWARD FRENCH,2021-2022,33000.00,31074.20
IFATHOM,2019-2020,144640.00,143486.21
IFATHOM,2020-2021,14741.39,13890.46
IFATHOM,2021-2022,158826.61,148044.64
INTEGRA NETWORKS,2017-2018,17984.83,18536.47
INTEGRA NETWORKS,2018-2019,24894.76,25391.50
INTEGRA NETWORKS,2019-2020,16283.94,16189.61
INTEGRA NETWORKS,2022-2023,2385.05,2110.64
IPSS,2022-2023,26194.80,23200.25
IQVIA,2017-2018,1143961.82,1179301.65
IQVIA,2018-2019,1134921.82,1156670.49
IQVIA,2019-2020,1132743.49,1123786.13
IQVIA,2020-2021,1203650.36,1148145.94
IQVIA,2021-2022,1342681.61,1243492.86
IQVIA,2022-2023,1081958.94,970983.22
KNOWLEDGE CIRCLE,2020-2021,8925.57,8410.35
KNOWLEDGE CIRCLE,2021-2022,10470.38,9915.40
LEXISNEXIS CANADA,2021-2022,1999.58,1807.59
LEXISNEXIS CANADA,2022-2023,8109.40,7256.33
NORTHERN MICRO,2019-2020,72395.93,72300.34
NOVIPRO,2021-2022,28537.41,26531.97
NOVIPRO,2022-2023,4769.27,4307.91
ORANGUTECH,2017-2018,51655.88,53252.62
ORANGUTECH,2018-2019,51655.88,52645.77
ORANGUTECH,2019-2020,51797.40,51384.21
SAS INSTITUTE,2017-2018,19123.66,19710.56
SAS INSTITUTE,2018-2019,18284.99,18659.22
SAS INSTITUTE,2020-2021,27514.37,26202.50
THE AIM GROUP,2018-2019,12070.75,12183.51
THE AIM GROUP,2019-2020,12789.25,12828.83
THE RIGHT DOOR CONSULTING,2018-2019,102748.00,104871.52
TRM TECHNOLOGIES,2018-2019,5364.97,5415.09
TRM TECHNOLOGIES,2019-2020,33281.03,33015.54
