d_most_recent_category,total,percentage
3_information_technology,398202326.5270712,0.3601225189049255
2_professional_services,325970496.6779036,0.29479816799703146
10_office_management,320462696.10444355,0.2898170745076001
8_security_and_protection,27648782.633464374,0.025004749051713644
4_medical,23431312.761761133,0.021190592849137692
9_human_capital,6199190.146821845,0.005606365965549694
6_industrial_products_and_services,2266900.8712699166,0.0020501187398612388
5_transportation_and_logistics,1208173.1723261476,0.0010926364240161413
7_travel,274571.2071630434,2.483141562850692e-4
1_facilities_and_construction,76806.34,6.946140387953694e-5
