d_most_recent_category,total,percentage
3_information_technology,510537457.88,0.34902791679650425
10_office_management,442227095.90,0.3023276738100633
2_professional_services,418348627.71,0.28600320656303363
8_security_and_protection,46414535.56,0.03173120484237534
4_medical,30451128.60,0.02081785344900998
9_human_capital,8933409.22,0.006107307427349118
6_industrial_products_and_services,3341024.53,0.002284084772286981
5_transportation_and_logistics,1405835.52,9.610966564388165e-4
7_travel,829932.94,5.67382004994975e-4
1_facilities_and_construction,251991.78,1.7227367794363504e-4
