d_vendor_name,overall_total
OKANAGAN AGGREGATES,101696340.57
WSP,65081211.01
MCELHANNEY ASSOCIATES,55805478.57
PCL CONSTRUCTORS,53409217.59
METRO PAVING AND ROAD BUILDING,35180568.20
STANTEC,34545920.13
DEXTER CONSTRUCTION,30879029.30
WILCO CONTRACTORS SOUTHWEST,29975956.11
JOHNSON S CONSTRUCTION,28960942.81
HAZELWOOD CONSTRUCTION SERVICES,28307309.53
EIFFAGE INNOVATIVE CANADA,24600190.12
DAWSON CONSTRUCTION,24571475.86
AECOM,23423630.09
COWI NORTH AMERICA,22668196.09
INTEROUTE CONSTRUCTION,20983504.81
EMIL ANDERSON CONSTRUCTION,19722916.84
BARRIE MACKAY CONTRACTING,19096043.53
PETERS CONSTRUCTION,18797993.67
VVI CONSTRUCTION,17966792.10
MCNALLY CONSTRUCTION,17188413.88
DCL CONSTRUCTION SERVICES,16764169.93
TISSEUR,16525393.29
ZUTPHEN CONTRACTOR,16142255.18
CONSTRUCTION CYBCO,15798815.43
FIRST PEOPLES INFRA,15363059.81
CWP CONSTRUCTORS,15152580.79
GRAHAM CONSTRUCTION,14671901.95
9090 5092 QUEBEC,13713766.32
GREENFIELD CONSTRUCTION,13572696.20
MACONNERIE RAINVILLE ET FRERES,13258098.22
MASKIMO CONSTRUCTION,13129266.67
CONSTRUCTION DEMATHIEU BARD,13031991.98
EMMANUEL CONSTRUCTION SERVICES,12883254.09
SNC LAVALIN,12576964.43
CONSTRUCTION J R SAVARD,12427658.49
ROSCOE CONSTRUCTION,12268208.72
MASONTECH,12007037.22
CRANDALL ENGINEERING,11594777.05
E CONSTRUCTION,11461594.95
CONSTRUCTION LFG,11331088.47
EVEREST CONSTRUCTION MANAGEMENT,11294585.09
MARINE CONTRACTORS,11292219.64
EUROVIA QUEBEC CONSTRUCTION,11272803.84
MIKE KELLY SONS,10769065.34
COSSETTE COMMUNICATIONS,9775020.61
WILDSTONE CONSTRUCTION,9621339.52
S W WEEKS CONSTRUCTION,9536869.10
COUGAR ENGINEERING CONSTRUCTION,9197587.93
CARMACKS ENTERPRISES,9192185.33
HARBOURSIDE ENGINEERING CONSULTANTS,9146438.95
MUNICIPAL READY MIX,9122178.07
AMEC FOSTER WHEELER AMERICAS,9117140.12
ROSS AND ANGLIN,8933021.45
KAYWAY INDUSTRIES,8789471.53
ALLEN HASTINGS,8707981.98
CANADIAN CORPS OF COMMISSIONAIRES,8647888.62
9099 3593 QUEBEC INTER PROJE,8638684.87
NORTHERN CONTRACTING,8634311.83
CANTEX OKANAGAN CONSTRUCTION,8578045.33
ALPINE HELICOPTERS,8384447.48
N P A,8239003.66
PIDHERNEY S,8093659.72
MCKNIGHT ENTERPRISES,7800623.68
ENTREPRISE CLAVEAU,7789657.34
ATWILL MORIN,7556737.40
FORD MOTOR COMPANY,7491734.17
NISHA TECHONOLOGIES,7380175.79
TDI INTERNATIONAL,7306881.80
HORSESHOE HILL CONSTRUCTION,7034015.38
CONSTRUCTIONS BSL,7006950.00
J 1 CONTRACTING,6977682.50
PIONEER CONSTRUCTION,6953121.07
JIM PATTISON INDUSTRIES,6931979.84
9275 0181 QUEBEC,6893315.18
MUSTANG HELICOPTERS,6778455.82
736902 ONTARIO,6748220.08
INDUSTRA CONSTRUCTION,6606673.77
FLOYD S CONSTRUCTION,6315800.95
ASSOCIATED ENGINEERING,6278522.83
727619 ALBERTA O A ROUGHRIDER,6192473.04
H J R ASPHALT,6143681.25
BIGHORN CONSTRUCTION,6073219.42
GEMTEC,6056354.24
LES ENTREPRISES MICHAUDVILLE,5967749.10
WYSSEN AVALANCHE CONTROL,5863645.22
CEGERCO,5793471.62
BIGHORN HELICOPTERS,5770068.56
"NAPPAQ DESIGN CONSTRUCTION",5676050.82
"NATIONAL STRUCTURES",5603683.80
ALVA CONSTRUCTION,5550590.31
EDWARD COLLINS CONTRACTING,5405441.27
PARKLAND INDUSTRIES,5390991.58
BARR ENGINEERING AND ENVIRONMENTAL,5381021.60
IMPERIAL OIL,5279960.56
FACCA,5179562.75
SECURE ENERGY ONSITE SERVICES,5065365.20
BELVEDERE PLACE CONTRACTING,5046921.85
PARSONS CANADA,5009772.58
BAJA CONSTRUCTION CANADA,5008183.38
TRAINOR MECHANICAL CONTRACTORS,4987818.71
GOLDER ASSOCIATES,4880990.12
SUNCOR ENERGY,4800719.50
TETRA TECH,4790834.07
DILLON CONSULTING,4748682.51
NOVA CONSTRUCTION,4745274.25
HERITAGE RESTORATION,4580519.77
GENERAL MOTORS,4556855.67
COFOMO,4340348.76
IRONCLAD EARTHWORKS,4172281.20
BAY CONSTRUCTION MANAGEMENT,4139487.78
SPERRA CONSTRUCTION,4047798.89
EXCEL HUMAN RESOURCES,4033593.51
WOOD CANADA,3925675.35
4083261 CANADA,3837285.67
CDW CANADA,3821906.90
WESTCO CONSTRUCTION,3809039.47
TRAUGOTT BUILDING CONTRACTORS,3778591.16
ESRI,3749518.96
CRUICKSHANK CONSTRUCTION,3519082.52
MODERN CONSTRUCTION,3503234.65
PATTISON SIGN GROUP,3489054.32
BGLA,3415795.21
CONSTRUCTION DERIC,3245460.78
CANADIAN MARITIME ENGINEERING,3232538.99
OSKAR CONSTRUCTION,3215261.80
MTM 2 CONTRACTING,3091294.14
L A HEBERT,3053079.18
A SANTIN MASON CONTRACTOR,2917606.35
BELL CANADA,2886413.68
