d_most_recent_category,total,percentage
1_facilities_and_construction,1550809327.9229333,0.763437462758734
5_transportation_and_logistics,140729277.94697514,0.06927866692393692
2_professional_services,134724690.42703116,0.06632270903885087
6_industrial_products_and_services,74762919.94378917,0.03680453353138276
10_office_management,62659897.34011584,0.03084641817710166
3_information_technology,50848274.14937137,0.025031753874120183
8_security_and_protection,11443774.816135682,0.00563357870803772
9_human_capital,3393571.9684197907,0.001670598652336914
7_travel,1051670.44,5.17719746661119e-4
4_medical,554814.0240202524,2.7312565327955885e-4
NA,372616.6469275848,1.8343293555827704e-4
