d_most_recent_category,total,percentage
1_facilities_and_construction,1556663741.2682755,0.7668879117891358
5_transportation_and_logistics,140101745.83460227,0.06902090185101432
2_professional_services,134573073.03703117,0.0662972100065314
6_industrial_products_and_services,74364209.28378917,0.036635409213701835
10_office_management,56518196.77051858,0.027843599584401652
3_information_technology,50821337.71937137,0.025037051050077957
8_security_and_protection,11443774.816135682,0.005637757428962254
9_human_capital,3380013.0984197906,0.0016651580673133692
7_travel,1051670.44,5.181037665622399e-4
4_medical,554814.0240202524,2.733282449076403e-4
NA,372616.6469275848,1.835689973914014e-4
