d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2018-2019,47912.00
10_office_management,2017-2018,12365882.52
10_office_management,2018-2019,6908078.40
10_office_management,2019-2020,5955412.10
10_office_management,2020-2021,5530316.64
2_professional_services,2017-2018,4409269.54
2_professional_services,2018-2019,63425.14
2_professional_services,2019-2020,63598.91
2_professional_services,2020-2021,63425.14
6_industrial_products_and_services,2017-2018,102116.77
6_industrial_products_and_services,2018-2019,107472.09
6_industrial_products_and_services,2019-2020,155392.86
6_industrial_products_and_services,2020-2021,104863.91
