owner_org,d_fiscal_year,total,total_constant_2019_dollars
cbsa-asfc,2017-2018,12430.00,12823.47
cbsa-asfc,2018-2019,14395.50,14762.88
cfia-acia,2017-2018,78032.93,80331.60
cfia-acia,2018-2019,126497.27,128770.03
cfia-acia,2019-2020,105151.21,104307.36
cfia-acia,2020-2021,104863.91,99974.58
cfia-acia,2021-2022,112305.82,105059.15
cgc-ccg,2017-2018,56866.43,58609.34
cgc-ccg,2018-2019,56866.43,57905.89
cgc-ccg,2019-2020,9659.50,9694.64
cgc-ccg,2020-2021,104040.70,99423.48
cgc-ccg,2021-2022,125329.55,117278.51
cic,2017-2018,341626.42,352097.01
cic,2018-2019,240512.28,244768.28
cic,2019-2020,260601.62,258510.27
cic,2020-2021,259889.59,247772.10
cic,2021-2022,223050.88,209100.49
cra-arc,2017-2018,16051457.81,16497120.37
cra-arc,2018-2019,6322584.07,6398760.60
cra-arc,2019-2020,5325737.42,5233575.90
cra-arc,2020-2021,5055322.52,4803429.39
cra-arc,2021-2022,4907575.88,4498384.66
csc-scc,2020-2021,7810.44,7407.75
csc-scc,2021-2022,118458.40,112868.16
dnd-mdn,2017-2018,36612.74,37771.72
ec,2017-2018,15234.19,15671.22
ec,2018-2019,10449.08,10538.19
elections,2017-2018,285008.31,293743.60
elections,2018-2019,355583.00,361394.54
elections,2019-2020,473254.11,469264.39
elections,2020-2021,166678.53,157798.87
elections,2021-2022,137570.27,129192.44
