d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
10647802 CANADA,2018-2019,113724.41,114887.69
10647802 CANADA,2019-2020,31746.95,31781.13
10647802 CANADA,2020-2021,410534.13,391340.64
10647802 CANADA,2021-2022,163520.50,152029.20
1320376 ONTARIO,2017-2018,6798482.87,7008572.55
1320376 ONTARIO,2019-2020,145680.98,143776.72
1320376 ONTARIO,2021-2022,2387274.85,2205145.69
1320376 ONTARIO,2022-2023,3239239.11,2898484.74
14343878 ONTARIO,2018-2019,1646532.97,1668695.26
14343878 ONTARIO,2019-2020,3311159.70,3284746.65
14343878 ONTARIO,2020-2021,3302112.82,3144670.33
14343878 ONTARIO,2021-2022,1655579.85,1561301.02
1456812 ALBERTA,2020-2021,1881285.00,1779530.07
1456812 ALBERTA,2021-2022,1984920.00,1814473.56
152610 CANADA,2017-2018,86784.00,89366.66
152610 CANADA,2019-2020,71020.50,70622.15
152610 CANADA,2020-2021,4068.71,3833.85
152610 CANADA,2021-2022,99005.32,92047.79
152610 CANADA,2022-2023,1938830.62,1729525.49
1X1 ARCHITECTURE,2017-2018,364891.47,376009.54
1X1 ARCHITECTURE,2018-2019,763829.85,777344.93
1X1 ARCHITECTURE,2019-2020,1494932.20,1480849.16
1X1 ARCHITECTURE,2020-2021,1783852.83,1697237.58
1X1 ARCHITECTURE,2021-2022,1349094.57,1256484.34
1X1 ARCHITECTURE,2022-2023,1253803.33,1120452.89
2099042 ONTARIO,2017-2018,14586.79,15044.29
2099042 ONTARIO,2018-2019,776694.24,788314.09
2099042 ONTARIO,2019-2020,1627301.53,1613476.69
2099042 ONTARIO,2020-2021,1312469.43,1249891.78
2099042 ONTARIO,2021-2022,834940.95,784424.43
2099042 ONTARIO,2022-2023,62595.29,56010.53
2145675 ONTARIO,2019-2020,1598786.03,1579223.18
2145675 ONTARIO,2020-2021,375099.80,354330.33
2145675 ONTARIO,2021-2022,1751586.90,1623804.82
2145675 ONTARIO,2022-2023,2023193.72,1810362.23
2220742 ONTARIO,2017-2018,4030101.83,4148195.21
2220742 ONTARIO,2018-2019,7825486.37,7961373.24
2220742 ONTARIO,2019-2020,6606678.11,6557415.74
2220742 ONTARIO,2020-2021,2587421.58,2459852.42
2220742 ONTARIO,2021-2022,2032932.26,1895890.61
2220742 ONTARIO,2022-2023,396351.35,354340.74
2553164 ONTARIO,2019-2020,986739.16,964216.69
2553164 ONTARIO,2020-2021,3399725.57,3251501.04
3388646 CANADA COMMERCIAL BUILDING CLEANERS,2021-2022,2455585.35,2268936.87
3388646 CANADA COMMERCIAL BUILDING CLEANERS,2022-2023,3271126.47,2927017.68
3469051 CANADA,2017-2018,255380.82,263244.11
3469051 CANADA,2018-2019,1200407.45,1220047.04
3469051 CANADA,2020-2021,23693.33,22325.65
3469051 CANADA,2021-2022,370571.32,336238.89
3469051 CANADA,2022-2023,1603859.10,1433991.36
3D DATACOMM,2018-2019,19554.81,19737.48
3D DATACOMM,2021-2022,10515.21,9772.36
3V MECHANICAL,2017-2018,730086.42,751968.35
3V MECHANICAL,2018-2019,663905.64,677331.19
3V MECHANICAL,2019-2020,2696.42,2674.92
3V MECHANICAL,2020-2021,66600.09,62925.42
3V MECHANICAL,2021-2022,1319077.64,1230000.54
3V MECHANICAL,2022-2023,601400.40,537910.67
4083261 CANADA,2017-2018,4139309.15,4267826.33
4083261 CANADA,2018-2019,1345967.14,1369773.34
4083261 CANADA,2019-2020,846020.03,839297.37
4083261 CANADA,2020-2021,1160834.09,1106018.68
4083261 CANADA,2021-2022,1023462.25,954015.97
4083261 CANADA,2022-2023,12735.10,11384.76
520571 ONTARIO,2017-2018,275222.00,283729.41
520571 ONTARIO,2018-2019,341936.92,347834.27
520571 ONTARIO,2019-2020,270793.99,268633.88
520571 ONTARIO,2020-2021,270054.12,257178.12
520571 ONTARIO,2021-2022,270054.12,251076.25
520571 ONTARIO,2022-2023,331210.45,296068.24
5581 NUNAVUT,2021-2022,737769.29,673305.91
5581 NUNAVUT,2022-2023,1790138.89,1602007.23
6771581 CANADA,2020-2021,279300.00,266627.74
6771581 CANADA,2021-2022,383250.00,356317.36
6771581 CANADA,2022-2023,383250.00,342933.71
6834973 CANADA,2017-2018,2379087.92,2452628.09
6834973 CANADA,2018-2019,2379087.92,2424678.72
6834973 CANADA,2019-2020,2385605.97,2366576.04
6834973 CANADA,2020-2021,2379087.92,2265654.63
6834973 CANADA,2021-2022,2379087.92,2211899.09
6834973 CANADA,2022-2023,2379087.92,2128817.84
727619 ALBERTA O A ROUGHRIDER,2017-2018,148884.04,153135.94
727619 ALBERTA O A ROUGHRIDER,2018-2019,2012691.59,2051261.09
727619 ALBERTA O A ROUGHRIDER,2019-2020,2018205.82,2002106.63
