d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,136230.43,140281.40
1_facilities_and_construction,2018-2019,418413.95,425264.29
1_facilities_and_construction,2019-2020,640789.10,635138.51
1_facilities_and_construction,2020-2021,1471075.75,1402503.66
1_facilities_and_construction,2021-2022,1097674.10,1020468.76
1_facilities_and_construction,2022-2023,1057748.85,946384.68
2_professional_services,2017-2018,2301564.25,2371585.36
2_professional_services,2018-2019,3271097.07,3333756.40
2_professional_services,2019-2020,3269193.05,3243036.10
2_professional_services,2020-2021,3344439.13,3184009.12
2_professional_services,2021-2022,6568873.53,6112303.33
2_professional_services,2022-2023,4868779.08,4355919.80
