d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
CBCI TELECOM,2017-2018,288699.25,295586.38
CBCI TELECOM,2018-2019,25494.23,25955.17
CBCI TELECOM,2019-2020,12600.00,12577.72
CISTEL TECHNOLOGY,2021-2022,17651.79,15943.10
GARDA SECURITY GROUP,2019-2020,14487.96,14137.34
IDS SYSTEMS CONSULTANTS,2019-2020,24690.50,24376.27
IDS SYSTEMS CONSULTANTS,2020-2021,24860.00,23633.66
IDS SYSTEMS CONSULTANTS,2021-2022,35074.07,32554.21
IRON MOUNTAIN,2019-2020,107824.60,106138.73
MNP,2019-2020,45832.80,45113.79
NISHA TECHONOLOGIES,2019-2020,100168.35,99845.47
NORTHERN MICRO,2018-2019,6616.14,6683.80
NORTHERN MICRO,2019-2020,16445.83,16400.02
PANASONIC,2021-2022,10042.88,9070.73
PRA,2017-2018,13673.98,14003.12
PRA,2018-2019,4212.08,4253.52
PRA,2019-2020,19676.12,19505.84
SOFTCHOICE,2017-2018,5796.72,5946.94
SOFTCHOICE,2018-2019,5796.72,5886.87
SOFTCHOICE,2019-2020,15.88,15.94
TELUS CANADA,2017-2018,17017.80,17418.94
THE AIM GROUP,2021-2022,138848.75,128913.43
XEROX,2018-2019,25236.30,25550.10
XEROX,2019-2020,19788.66,19382.31
XEROX,2020-2021,4590.01,4363.59
XEROX,2021-2022,4590.01,4261.58
