d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,107920.60,102007.78
ADVANCED CHIPPEWA TECHNOLOGIES,2021-2022,38118.19,17231.40
ATLANTIC BUSINESS INTERIORS,2020-2021,19144.05,18893.97
AVI SPL CANADA,2017-2018,14960.73,15491.00
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,11571.82,11882.01
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,10206.02,10336.26
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,13541.94,13514.20
EVALUATION PERSONNEL SELECTION,2017-2018,62.63,64.30
GLOBAL TOTAL OFFICE,2019-2020,1216.06,1217.73
GLOBAL TOTAL OFFICE,2020-2021,27023.34,26582.13
GLOBAL UPHOLSTERY,2018-2019,21116.91,21321.27
GLOBAL UPHOLSTERY,2020-2021,23526.70,23219.37
LUMINA IT,2018-2019,26967.50,27228.48
LUMINA IT,2019-2020,23747.50,23736.67
NISHA TECHONOLOGIES,2017-2018,167338.58,173106.15
NISHA TECHONOLOGIES,2019-2020,73412.16,73146.90
PURESPIRIT SOLUTIONS,2020-2021,89613.75,87573.43
PURESPIRIT SOLUTIONS,2021-2022,39367.38,11451.84
TEKNION,2017-2018,19869.01,20210.31
TELUS CANADA,2017-2018,45843.39,46630.86
