d_most_recent_category,d_fiscal_year,total
2_professional_services,2017-2018,4731523.481686841
2_professional_services,2018-2019,4731523.481686841
2_professional_services,2019-2020,4744486.559718859
2_professional_services,2020-2021,4731523.481686841
4_medical,2017-2018,17220.38
4_medical,2020-2021,56346475.27148437
6_industrial_products_and_services,2017-2018,16615948.956426658
6_industrial_products_and_services,2018-2019,18956629.09990425
6_industrial_products_and_services,2019-2020,18437280.93188586
6_industrial_products_and_services,2020-2021,10910603.632678214
