d_vendor_name,overall_total
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,1056273014.54
D H PARTNERSHIP,950085944.55
MACDONALD DETTWILER AND ASSOCIATES,674976605.77
COSSETTE COMMUNICATIONS,435431199.72
PRICEWATERHOUSE COOPERS,293056391.05
HEWLETT PACKARD,219110272.59
PARSONS CANADA,212216520.37
SUN LIFE ASSURANCE COMPANY,207448932.29
VFS GLOBAL,202784205.87
ACCENTURE,189819952.89
SERCO,187994542.44
DELOITTE AND TOUCHE,177679957.36
PAL AEROSPACE,159508477.89
IBM CANADA,145648573.85
COLLIERS PROJECT LEADERS,139200711.92
MEDAVIE,135532238.80
CALIAN,132463796.29
PCL CONSTRUCTORS,114321975.67
PMG TECHNOLOGIES,114135202.56
EXCEL HUMAN RESOURCES,112312801.60
CGI,111667676.82
ALTIS HUMAN RESOURCES,107627614.85
SI SYSTEMS,107284789.59
KPMG,97522693.72
MILESTONE ENVIRONMENTAL,94219262.54
FEDERAL EXPRESS CANADA,90642570.86
2KEYS,88510427.08
MODIS CANADA,83625805.18
BROOKFIELD ASSET MANAGEMENT,81216644.87
QUANTUM MANAGEMENT SERVICES,80519762.83
LIFELABS,80353250.00
GARTNER,76966964.32
TIREE,76859771.24
ELLISDON,76174999.31
SYSTEMATIX SOLUTIONS,73499438.30
METRO LOGISTICS,72702376.78
IRON MOUNTAIN,72488879.07
DONNA CONA,71086000.66
ATCO,69355636.64
"NAHANNI CONSTRUCTION",68961957.37
STANTEC,65337387.79
GLAXOSMITHKLINE,64596409.51
LIONBRIDGE,59546285.15
TPG TECHNOLOGY CONSULTANTS,58712555.15
ENGLOBE,58080355.09
GABRIELA OLIVEIRA,56258191.97
PROTAK CONSULTING GROUP,55920054.31
ERNST YOUNG,55849021.16
DYNACARE,54845901.96
BIRON GROUPE SANTE,53460393.73
"NASITTUQ",53232530.27
COWATERSOGEMA,52733557.53
RAYMOND CHABOT GRANT THORNTON,51466578.88
THE AIM GROUP,51398075.45
GOLDER ASSOCIATES,50365047.66
IBISKA TELECOM,46579964.55
BRIDGES OF CANADA,45480272.86
QMR,45056758.69
EMS TECHNOLOGIES,44510666.81
GATESTONE,44440424.78
ATLANTIC TOWING,44433132.54
"NAV CANADA",44103976.84
GREATER TORONTO AIRPORT AUTHORITY,43768368.03
MCKINSEY AND COMPANY,43106772.50
NUNA EAST,41592473.91
AMERESCO CANADA,41153345.03
BUREAU VERITAS CANADA,40416403.02
MLS OVERSEAS,40318648.55
BDO CANADA,40147715.36
QM ENVIRONMENTAL,38274924.75
MINDWIRE SYSTEMS,37962616.93
SLR CONSULTING CANADA,36829076.10
BMC SOFTWARE CANADA,36307601.56
TOROMONT,35591922.86
APPLIED ELECTONICS,35258240.04
TEKSYSTEMS CANADA,34988184.67
ADGA GROUP,34844281.30
CORADIX TECHNOLOGY CONSULTING,33254708.47
AGRITEAM CANADA,32719918.60
CANADIAN BUREAU FOR INTERNATIONAL EDUCATION,32369643.74
VALCOM CONSULTING,31826048.48
SNC LAVALIN,31506988.43
FRANNAN INTERNATIONAL,31286948.45
PROMAXIS,30545160.68
RANDSTAD,29987256.93
PENNANT CANADA,29423408.09
MAPLESOFT CONSULTING,27519245.31
TERVITA,27124086.47
9053 9776 QUEBEC,27105442.05
KUDLIK CONSTRUCTION,26520470.53
UBIQUS CANADA,25834467.72
THE RIGHT DOOR CONSULTING,25830594.17
FUJITSU,25620775.50
"NATIONS TRANSLATION GROUP",25320201.68
GROUPE ROBERT,25271142.09
KING HOE EXCAVATING,24690243.04
THE MASHA KRUPP TRANSLATION GROUP,24624187.51
851791 NWT,24483565.68
ARCADIS CANADA,23740396.87
SOMOS,23673863.65
HONEYWELL,23661828.78
LOGISTIK UNICORP,23657617.41
WORLD UNIVERSITY SERVICE OF CANADA,23283179.02
MAXXAM ANALYTICS,23117298.40
SILLIKER,22983810.45
CANADIAN BORDER OPERATIONS,22560663.93
MAXSYS STAFFING AND CONSULTING,22420631.25
IIC TECHNOLOGIES,21987556.32
LUMINA IT,21862800.20
WSP,21480309.80
MAXIMUS CANADA,21444515.08
NOTRA,21431119.18
TES CONTRACT SERVICES,20984978.01
TALIGENT CONSULTING,20062246.41
SIERRA SYSTEMS GROUP,19762624.38
SCA SHIPPING CONSULTANTS ASSOCIATED,19488943.52
VANCOUVER SHIPYARDS,19264963.35
SOLUDOC,19066475.51
NEPTEC DESIGN GROUP,18516086.17
MCNALLY CONSTRUCTION,18391744.56
SECUREKEY TECHNOLOGIES,18330855.23
VAN KAPPEL INTERNATIONAL,18003151.76
THE CANADA LIFE ASSURANCE COMPANY,17935425.62
CANADIAN CORPS OF COMMISSIONAIRES,17791870.08
MICHAEL WAGER CONSULTING,17462357.62
PROCOM CONSULTANTS,17423337.49
MATCON ENVIRONMENTAL,17058088.65
ANCHOR QEA,17039249.88
TURNER TOWNSEND,16965507.92
HEMMERA ENVIROCHEM,16694302.28
URBAN VALLEY TRANSPORT,16580000.00
WPP GROUP CANADA COMMUNICATIONS,16552329.81
IT NET CONSULTANTS,16491437.19
SYSTEMSCOPE,16340813.66
TRM TECHNOLOGIES,16255068.62
DILLON CONSULTING,16067340.84
ARDENT GLOBAL,15924435.88
R R INTERNATIONAL TRANSLATION,15721316.14
CISTEL TECHNOLOGY,15675962.83
FVB ENERGY,15548310.92
ISM INFORMATION SYSTEMS MANAGEMENT,15483522.04
KEYSTONE ENVIRONMENTAL,15438767.76
CONTRACT COMMUNITY,15322346.05
CANADIAN RED CROSS,15117659.45
COFOMO,14942471.27
TSUU T INA CONTRACTING GP,14859000.00
GROUPE ONSCOPE,14834529.07
CO VEN,14443095.00
ARTEMP PERSONNEL SERVICES,14430825.87
VERITAAQ TECHNOLOGY HOUSE,14405646.61
MCW CUSTOM ENERGY SOLUTIONS,14253009.69
UNITED STATES DEPARTMENT OF THE AIR FORCE,14092823.86
BELL CANADA,14060082.66
M SULLIVAN SON,13880944.27
PR3 MEDIAS,13804814.16
BANFIELD SEGUIN,13703782.64
PROOF EXPERIENCES,13702446.11
QINETIQ,13700966.46
SDL INTERNATIONAL CANADA,13513050.23
MEGALEXIS COMMUNICATIONS,13291290.96
SAP,13257747.70
UNIVERSITY OF WATERLOO,13161006.23
CANADIAN PAEDIATRIC SOCIETY,12684559.57
ABB,12632519.34
KANIYASIHK CULTURE CAMPS,12547554.52
DEXTERRA,12522234.36
SIMPLEX GRINNELL,12431369.33
LES TRADUCTIONS TESSIER,12355819.94
GOSS GILROY,12259041.57
FELIX TECHNOLOGY,12164540.83
KYNDRYL CANADA,12147868.02
ABS AMERICAS,11974583.78
VANCOUVER AIRPORT AUTHORITY,11791021.92
STRATOS,11689011.11
VISA SERVICES,11674267.35
MNP,11547571.23
"NAUT MAWT TRIBAL COUNCIL",11509289.71
HITACHI DATA SYSTEMS,11191318.38
WILLS TRANSFER,11108266.81
UNIVERSITY OF REGINA,10999411.07
TURTLE ISLAND STAFFING,10991361.35
UNIVERSITY OF GUELPH,10828430.47
IBI GROUP ARCHITECTS CANADA,10799400.06
AECOM,10792046.63
WOOD CANADA,10764783.97
UNIVERSITY OF OTTAWA,10486601.28
CHU SAINTE JUSTINE,10391690.42
DYNAMIC PERSONNEL CONSULTANTS,10326262.24
UNITED STATES DEPARTMENT OF THE ARMY,10322154.09
PLEIAD CANADA,10279355.46
AGILEC,10263999.49
APS AVIATION,10151817.47
JOHN HOWARD SOCIETY,10115896.72
ASBEX,9935269.96
CIMA,9932203.62
LANNICK CONTRACT SOLUTIONS,9846144.88
COMPAGNIE AMPLEXOR CANADA,9682908.16
ST JOHN AMBULANCE,9581363.86
POSTMEDIA NETWORK,9405053.68
DST CONSULTING ENGINEERS,9263640.16
UNIVERSITY OF CALGARY,9197429.18
ACART COMMUNICATIONS,8988320.65
SEYEM,8911167.15
XPERA RISK MITIGATION INVESTIGATION,8832069.70
BLACK MCDONALD,8777762.15
STIFF SENTENCES,8725781.36
CANADIAN NUCLEAR LABORATORIES,8659984.84
3469051 CANADA,8634603.24
LES TRADUCTEURS REUNIS,8622747.44
ATS SERVICES,8494105.61
ENVIRONICS RESEARCH GROUP,8473001.52
HASKONING UK,8468172.95
LAZY H TRAIL COMPANY,8395304.75
GC STRATEGIES,8328439.22
IFATHOM,8318284.20
AEROPORTS DE MONTREAL,8294161.13
QUINTET CONSULTING,8292776.40
D F S,8286173.40
ALINEA INTERNATIONAL,8232894.98
CARLETON UNIVERSITY,8089466.62
TAG HR,7979093.01
IPSOS,7954893.03
CORSORTIUM TRANSTEC,7954428.00
RACING FORENSICS,7941487.64
MAKWA RESOURCING,7724021.78
2536 4589 QUEBEC,7703495.40
TT VISA SERVICES,7636445.15
EKOS RESEARCH ASSOCIATES,7594901.56
PRA,7545093.04
LANSDOWNE TECHNOLOGIES,7468275.73
MDOS CONSULTING,7458838.48
MCGREGOR GEOSCIENCE,7425204.64
JJM CONSTRUCTION,7414117.97
STOPS TACTICAL TRAINING,7386065.58
J M LEDRESSAY ASSOCIATES,7363038.24
RISK SCIENCES INTERNATIONAL,7269350.20
WAMPUM RECORDS,7244413.59
CANADA POST,7117017.38
FMC PROFESSIONALS,7108492.10
UNIVERSITY OF ALBERTA,7074731.14
GHD,7046477.65
NELSON ENVIRONMENTAL REMEDIATION,7020662.20
A HUNDRED ANSWERS,6975910.07
FSC,6913925.93
OPSIS,6877566.10
SYM COMMUNICATIONS,6767910.18
INTERNATIONAL REPORTING,6764187.24
FUGRO GEOSURVEYS,6739956.96
CARO ANALYTICAL SERVICES,6702457.81
GENOME QUEBEC,6651126.30
UNIVERSITY OF SASKATCHEWAN,6615502.73
CPCS TRANSCOM,6613689.87
HOLLAND COLLEGE,6587598.89
DALHOUSIE UNIVERSITY,6574877.95
SGS AXYS ANALYTICAL SERVICES,6552771.85
EXACT LEGAL TRANSLATIONS,6548001.22
TECHNOREM,6515612.62
RESOLVE SALVAGE FIRE AMERICAS,6510000.00
THE VCAN GROUP,6464378.06
QUORUM,6450553.42
KFN ENTERPRISES PARTNERSHIP,6426204.49
C2D SERVICES,6381391.41
CISION CANADA,6352669.95
CACHE COMPUTER CONSULTING,6333373.26
MORNEAU SHEPELL,6333110.66
PORTAGE PERSONNEL,6321980.95
INVENTA SALES AND PROMOTIONS,6306197.77
FEAST INTERACTIVE,6295013.78
"NATTIQ",6292463.44
MTC LAW,6264363.25
GINO PELLETIER FOREX MALI DIELY MOUSSA KOUYATE GID,6264240.49
THG THE HISTORY GROUP,6250953.18
TORONTO BAIL PROGRAM,6248640.77
THE CALGARY AIRPORT AUTHORITY,6239203.19
RGB MEDIA,6218741.91
UNIVERSITY OF TORONTO,6172188.83
CNW GROUP,6119154.02
HERRING CONSERVATION AND RESEARCH SOCIETY,6101628.45
CORBEL MANAGEMENT,6098604.15
PROLOGIC SYSTEMS,6092721.67
MCCARTHY TETRAULT,6055259.06
YAMNUSKA,6035558.95
FISH FOOD AND ALLIED WORKERS,6021220.80
POMERLEAU,6018761.18
J O THOMAS ASSOCIATES,5971742.16
CEDROM SNI,5871010.39
CBRE,5819734.61
MICHEL BASTARACHE SOCIETE PROFESSIONNELLE,5807601.76
JONES LANG LASALLE,5777363.73
MOTOROLA SOLUTIONS CANADA,5763660.82
SOFTSIM TECHNOLOGIES,5637543.12
INSTALLATIONS DELIVERIES PLUS OTTAW,5633544.32
UNIVERSITE LAVAL,5622802.23
UNITED STATES DEPARTMENT OF THE NAVY,5592237.92
HUBSPOKE,5587652.04
SKY CANOE,5578607.79
AMEC FOSTER WHEELER AMERICAS,5559271.07
GILMORE REPRODUCTIONS,5541251.81
PETRO AIR SERVICES,5539712.40
ECOPIA TECH,5510858.83
ISLAND CATERING,5497800.00
4PLAN CONSULTING,5469451.98
TRANSTEC,5426993.31
LES TRAITEURS BYTOWN CATERING,5386395.58
AON REED STENHOUSE,5364379.14
MANIFEST COMMUNICATIONS,5341196.42
AZIMUTH CONSULTING GROUP,5335112.87
MULTINATIONAL LOGISTIC SERVICES,5323203.49
TRADUCTIONS SCRIPTIS,5286015.67
GAT INTL LOCALIZATION SERVICES,5275546.95
AEROPRO,5266229.24
ACOSYS CONSULTING SERVICES,5263089.81
SAMSON AND ASSOCIATES,5260327.17
MEDIA Q,5256596.77
OGILVY MONTREAL,5248251.12
SOLOTECH,5237149.79
CHARRON HUMAN RESOURCES,5236754.13
CANADIAN DEVELOPMENT CONSULTANTS,5188592.75
ADRM TECHNOLOGY CONSULTING,5126363.11
TRADUCTIONS PIERRE CLOUTIER,5107237.04
MARINE RECYCLING,5106748.53
LRO STAFFING,5071217.90
SELECT GLOBAL INTERNATIONAL,5067053.88
METRO SUPPLY CHAIN,5061771.51
CDCI RESEARCH,5051017.46
EVALUATION PERSONNEL SELECTION,5049125.93
UNIVERSITY OF WESTERN ONTARIO,5038806.36
MGIS,5024656.43
