d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2022-2023,33925.00,30064.97
1_facilities_and_construction,2018-2019,1599.80,1614.74
1_facilities_and_construction,2019-2020,122123.20,120546.41
1_facilities_and_construction,2021-2022,42833.70,39286.50
1_facilities_and_construction,2022-2023,91198.80,81771.46
11_defence,2017-2018,219056.28,225826.23
11_defence,2018-2019,67318.38,68608.41
2_professional_services,2017-2018,1437030.97,1480559.76
2_professional_services,2018-2019,4214524.21,4291743.87
2_professional_services,2019-2020,3892178.33,3857694.98
2_professional_services,2020-2021,3770364.66,3589140.08
2_professional_services,2021-2022,3688099.01,3415951.98
2_professional_services,2022-2023,4597496.43,4109806.16
3_information_technology,2017-2018,3462512.05,3567310.38
3_information_technology,2018-2019,4532479.19,4618984.80
3_information_technology,2019-2020,5528951.24,5487832.77
3_information_technology,2020-2021,4727936.32,4502170.33
3_information_technology,2021-2022,4855673.84,4503016.08
3_information_technology,2022-2023,5615795.22,5027676.21
4_medical,2017-2018,135590.68,139781.93
4_medical,2018-2019,93613.29,95749.89
4_medical,2020-2021,31586.75,29967.04
4_medical,2021-2022,43981.25,41300.17
9_human_capital,2017-2018,29515.60,30371.30
9_human_capital,2019-2020,66839.50,65581.47
9_human_capital,2021-2022,67800.00,63012.51
9_human_capital,2022-2023,39832.50,35362.87
