d_most_recent_category,total,percentage
1_facilities_and_construction,389965469.84,0.9557598159615442
2_professional_services,15683741.14,0.03843901756377134
5_transportation_and_logistics,749778.42,0.0018376193206981273
NA,616138.69,0.0015100839675664317
3_information_technology,512049.75,0.0012549741216117047
6_industrial_products_and_services,262331.18,6.429430801079866e-4
11_defence,109960.00,2.6949911592161565e-4
7_travel,79270.07,1.9428168228487254e-4
10_office_management,22600.00,5.538996016577404e-5
9_human_capital,14841.68,3.637522632788645e-5
