d_most_recent_category,total,percentage
3_information_technology,185634968.99551898,0.45809747883371466
2_professional_services,174728142.23402527,0.4311823460408357
10_office_management,30693911.289584033,0.07574436784937622
9_human_capital,5924645.775090664,0.014620441974040822
6_industrial_products_and_services,3530749.9332493013,0.008712946981734105
5_transportation_and_logistics,3312245.51628514,0.008173736492099853
8_security_and_protection,973076.560455908,0.0024012928246713817
1_facilities_and_construction,209879.35,5.179261300524668e-4
7_travel,165722.34351590034,4.08958442268931e-4
4_medical,56936.64980874317,1.405044312058088e-4
