d_vendor_name,overall_total
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,5306091076.67
VANCOUVER SHIPYARDS,1993321494.2
PCL CONSTRUCTORS,1857417624.62
IRVING SHIPBUILDING,1842335424.96
IBM CANADA,1765483842.81
BELL CANADA,1494706938.7
CHANTIER DAVIE CANADA,1059136893.43
CALIAN,1053789513.39
AIRBUS,1007684405.12
CANADIAN CORPS OF COMMISSIONAIRES,952615303.06
D H PARTNERSHIP,915988969.46
MACDONALD DETTWILER AND ASSOCIATES,884400577.77
MICROSOFT CANADA,750500514.58
CAE,709799272.81
LOCKHEED MARTIN,706074720.85
POMERLEAU,651527491.63
MACK TRUCKS,598954467.13
L3HARRIS,590388717.15
SIGNATURE SUR LE SAINT LAURENT,578395163.57
"NAVTECH",541680794.25
THALES,507860071.8
SNC LAVALIN,463935221.24
FEDERAL FLEET SERVICES,448951903.51
SIKORSKY AIRCRAFT,438823237.7
SEASPAN VICTORIA SHIPYARDS,422629733.41
WSP,408016180.77
ELLISDON,399126328.02
TELUS CANADA,393417236.31
PROLINE ADVANTAGE,373182500
CASCADE AEROSPACE,349910409.67
SI SYSTEMS,337859940.76
DELOITTE AND TOUCHE,336385125.81
KF AEROSPACE,328830651.69
ORACLE CANADA,322486201.18
MAPLE REINDERS CONSTRUCTORS,316957190.49
PRICEWATERHOUSE COOPERS,315260520.45
TOP ACES,315163321.87
RAYTHEON,310819584.02
NISHA TECHONOLOGIES,310058054.4
CANADIAN BANK NOTE COMPANY,309804773.84
MOTOROLA SOLUTIONS CANADA,309522567.08
VERITAAQ TECHNOLOGY HOUSE,300621943.45
HEWLETT PACKARD,287792850.55
COSSETTE COMMUNICATIONS,277895846.9
SERCO,269764363.2
MUFACTOR,256160830
FORD MOTOR COMPANY,253309225.76
TPG TECHNOLOGY CONSULTANTS,241160797.94
FTI PROFESSIONAL GRADE,237300000
IRVING OIL,222434589.1
MODIS CANADA,213682154.55
RHEINMETALL,209408944.92
EXCEL HUMAN RESOURCES,206346147.25
THORNHILL MEDICAL,200695001.3
UNITED STATES DEPARTMENT OF THE NAVY,193943478.37
WCG INTERNATIONAL CONSULTANTS,185850575.39
PARSONS CANADA,182044148.85
ROGERS,181860605.23
TEKSYSTEMS CANADA,180055188.9
IBISKA TELECOM,175517441.79
SUN LIFE ASSURANCE COMPANY,174355590.07
VIRTUAL POSSIBILITIES DIVISION,172977959.2
CGI,172647779.83
GARTNER,171264480.98
CANADIAN EMERGENCY VENTILATORS,169500000
MCKESSON CANADA,168925897.03
TERAMACH TECHNOLOGIES,167048245.87
WEIR CANADA,166349070.37
VFS GLOBAL,165303213.57
CAMPBELL DRUG STORES,165206000
COFOMO,164215631.41
PAL AEROSPACE,164051948.09
MAPLESOFT CONSULTING,162862166.71
ACCENTURE,161681849.5
GENERAL MOTORS,160674548.2
STANTEC,157629018.41
SPARTAN BIOSCIENCE,149048550
DONNA CONA,145877470.87
WEATHERHAVEN CANADA,145628692.51
SYSTEMATIX SOLUTIONS,145485897.26
ADGA GROUP,144278590.05
HOLMAN FENWICK WILLAN,144098850
WORLD FUEL SERVICES,142882969.93
SHELL CANADA PRODUCTS,142486807.57
LOGISTIK UNICORP,140223215.28
PMG TECHNOLOGIES,138001723.1
COLLIERS PROJECT LEADERS,134828853.93
DECISIVE TECHNOLOGIES,132564427.05
SAAB,132313882.31
EXPRESS SCRIPTS CANADA,127094684.76
CUBIC DEFENSE APPLICATIONS,126877137.3
CORADIX TECHNOLOGY CONSULTING,126693920.51
CDW CANADA,124784512.54
VMWARE,124306258.96
COLT CANADA,121342360.27
MINDWIRE SYSTEMS,121216560.47
UNITED STATES DEPARTMENT OF THE AIR FORCE,119318309.3
MEDAVIE,117809010.9
2KEYS,117801387.55
ITEX,116755809.97
MONERIS,115212325.5
NEWDOCK ST JOHN S DOCKYARD,114989975.77
IMPERIAL OIL,114332743.51
COMPUTER ASSOCIATES CANADA,114302521.48
RANDSTAD,113714747.96
ISOPLEX,113565000
SAP,112735195.19
WARTSILA,110596767.62
ATCO,110297942.58
THE STEVENS COMPANY,109820308.77
PETER KIEWIT SONS,106851380.45
ZAYO CANADA,105794727.91
ALTIS HUMAN RESOURCES,105410649.95
CISTEL TECHNOLOGY,104256209.72
TEKNION,103794875.7
LUMINULTRA TECHNOLOGIES,102986210.97
STONEWORKS TECHNOLOGIES,101915765.35
INSA,100082080.08
PARKLAND REFINING,99100108.55
GOLDER ASSOCIATES,98606353.49
TELESAT,98522691.8
AECOM,95656351.44
OKANAGAN AGGREGATES,94995216.26
DEXTER CONSTRUCTION,94644765.88
ADVANCED CHIPPEWA TECHNOLOGIES,92152129.86
JOHN HOWARD SOCIETY,92130804.09
INMARSAT SOLUTIONS,91988981.88
CACHE COMPUTER CONSULTING,87652579.99
SALVATION ARMY,86308046.2
THE AIM GROUP,86236014.23
HYPERTEC,85279935.01
MILESTONE ENVIRONMENTAL,84871243.56
BLACK MCDONALD,84751551.14
HONEYWELL,84411383.82
COMPUTERSHARE INVESTOR SERVICES,83667675.93
TIREE,81670573.59
HIKE METAL PRODUCTS,81123379.1
FFG,81066368.11
QUANTUM MANAGEMENT SERVICES,78966226.74
TOSHIBA CANADA,78916913.16
TOROMONT,78748666.03
KPMG,76419315.06
SCA SHIPPING CONSULTANTS ASSOCIATED,75606200.51
FLUID ENERGY GROUP,74641995.15
INFOSYS,73152778.02
ATLANTIC TOWING,72193770.46
ECLIPSYS SOLUTIONS,72059995.73
COMPUCOM CANADA,72053761.75
SIMEX DEFENCE,71940826.81
BABCOCK INTERNATIONAL GROUP,70493100.02
AMERESCO CANADA,69409440.71
SUPERMAX HEALTHCARE CANADA,69305076.93
"NAHANNI CONSTRUCTION",68949706.96
ENGLOBE,68921979.11
ABB,68901475.71
LEONARDO,68143879.72
TELECOM COMPUTER SERVICES,67800239.04
IRON MOUNTAIN,67794220.93
DELL COMPUTER,67758690.39
DADS,67748840.32
XEROX,67718412.3
11983890 CANADA CENTRE,65812562.19
ONX ENTERPRISE SOLUTIONS,65575729.88
QINETIQ,65401142.19
BROOKFIELD ASSET MANAGEMENT,65249697.4
TES CONTRACT SERVICES,64631280.71
