d_most_recent_category,total,percentage
10_office_management,453389052.9072038,0.3559979514786763
3_information_technology,331260447.8974638,0.2601034147190636
2_professional_services,166326532.72413936,0.13059844419857147
8_security_and_protection,102226558.19010489,0.08026758711759538
4_medical,89776338.31748813,0.07049176050314504
6_industrial_products_and_services,67683839.37001234,0.0531448829861091
1_facilities_and_construction,38849055.100979686,0.030504009622970858
5_transportation_and_logistics,17863935.274170823,0.014026638539625476
9_human_capital,3105848.1664995467,0.0024386905192965535
7_travel,3045536.6411926607,0.0023913343263710037
NA,44939.25,3.5285988575164185e-5
